t,stamp,mug_elara,tablet_elara,laptop_elara,phone_elara,keys_elara,wallet_elara,book_elara,water_bottle_elara,remote_elara,charger_elara,backpack_elara,jacket_elara,headphones_elara,glasses_elara,notebook_elara,pen_elara,medication_bottle_elara,blanket_elara,towel_elara,lunchbox_elara
600,d00 Mon 10:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
660,d00 Mon 11:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
720,d00 Mon 12:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
780,d00 Mon 13:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
840,d00 Mon 14:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
900,d00 Mon 15:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
960,d00 Mon 16:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
1020,d00 Mon 17:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
1080,d00 Mon 18:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
1140,d00 Mon 19:00,kitchen,bedroom,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
1200,d00 Mon 20:00,kitchen,bedroom,bedroom,outside,bedroom,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
1260,d00 Mon 21:00,kitchen,bedroom,bedroom,outside,bedroom,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
1320,d00 Mon 22:00,kitchen,bedroom,bedroom,outside,bedroom,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
1380,d00 Mon 23:00,kitchen,bedroom,bedroom,outside,bedroom,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
1440,d01 Tue 00:00,kitchen,bedroom,bedroom,outside,bedroom,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
1500,d01 Tue 01:00,kitchen,bedroom,bedroom,outside,bedroom,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
1560,d01 Tue 02:00,kitchen,bedroom,bedroom,outside,bedroom,outside,bedroom,outside,kitchen,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
1620,d01 Tue 03:00,kitchen,bedroom,bedroom,outside,bedroom,outside,bedroom,outside,kitchen,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
1680,d01 Tue 04:00,kitchen,bedroom,bedroom,outside,bedroom,outside,bedroom,outside,kitchen,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
1740,d01 Tue 05:00,kitchen,bedroom,bedroom,outside,bedroom,outside,bedroom,outside,kitchen,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
1800,d01 Tue 06:00,kitchen,bedroom,bedroom,bedroom,bedroom,entry,bedroom,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,entry
1860,d01 Tue 07:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,kitchen,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
1920,d01 Tue 08:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
1980,d01 Tue 09:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
2040,d01 Tue 10:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
2100,d01 Tue 11:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
2160,d01 Tue 12:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
2220,d01 Tue 13:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
2280,d01 Tue 14:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
2340,d01 Tue 15:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
2400,d01 Tue 16:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
2460,d01 Tue 17:00,bedroom,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
2520,d01 Tue 18:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
2580,d01 Tue 19:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
2640,d01 Tue 20:00,kitchen,kitchen,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
2700,d01 Tue 21:00,kitchen,kitchen,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
2760,d01 Tue 22:00,kitchen,kitchen,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
2820,d01 Tue 23:00,kitchen,kitchen,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
2880,d02 Wed 00:00,kitchen,kitchen,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
2940,d02 Wed 01:00,kitchen,kitchen,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen
3000,d02 Wed 02:00,kitchen,kitchen,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen
3060,d02 Wed 03:00,kitchen,kitchen,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen
3120,d02 Wed 04:00,kitchen,kitchen,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen
3180,d02 Wed 05:00,kitchen,kitchen,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen
3240,d02 Wed 06:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,entry
3300,d02 Wed 07:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,living,bedroom,kitchen,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
3360,d02 Wed 08:00,kitchen,kitchen,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
3420,d02 Wed 09:00,kitchen,kitchen,bedroom,bedroom,entry,kitchen,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
3480,d02 Wed 10:00,kitchen,kitchen,bedroom,bedroom,entry,kitchen,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
3540,d02 Wed 11:00,kitchen,kitchen,bedroom,bedroom,entry,kitchen,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
3600,d02 Wed 12:00,kitchen,kitchen,bedroom,bedroom,entry,kitchen,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
3660,d02 Wed 13:00,kitchen,kitchen,bedroom,bedroom,entry,kitchen,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
3720,d02 Wed 14:00,kitchen,kitchen,bedroom,bedroom,entry,kitchen,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
3780,d02 Wed 15:00,kitchen,kitchen,bedroom,bedroom,entry,kitchen,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
3840,d02 Wed 16:00,kitchen,kitchen,bedroom,bedroom,entry,kitchen,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
3900,d02 Wed 17:00,kitchen,kitchen,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,bedroom
3960,d02 Wed 18:00,kitchen,kitchen,bedroom,bedroom,kitchen,kitchen,bedroom,kitchen,living,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
4020,d02 Wed 19:00,kitchen,living,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
4080,d02 Wed 20:00,kitchen,living,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
4140,d02 Wed 21:00,kitchen,living,bedroom,outside,outside,outside,bedroom,outside,living,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
4200,d02 Wed 22:00,kitchen,living,bedroom,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
4260,d02 Wed 23:00,kitchen,living,bedroom,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
4320,d03 Thu 00:00,kitchen,living,bedroom,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
4380,d03 Thu 01:00,kitchen,living,bedroom,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
4440,d03 Thu 02:00,kitchen,living,bedroom,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
4500,d03 Thu 03:00,kitchen,living,bedroom,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
4560,d03 Thu 04:00,kitchen,living,bedroom,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
4620,d03 Thu 05:00,kitchen,living,bedroom,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
4680,d03 Thu 06:00,kitchen,living,bedroom,entry,entry,entry,bedroom,entry,bedroom,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,entry
4740,d03 Thu 07:00,kitchen,living,bedroom,bathroom,bathroom,bathroom,bedroom,bathroom,bedroom,bedroom,bathroom,bathroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
4800,d03 Thu 08:00,kitchen,living,bedroom,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
4860,d03 Thu 09:00,kitchen,living,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
4920,d03 Thu 10:00,kitchen,living,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
4980,d03 Thu 11:00,kitchen,living,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
5040,d03 Thu 12:00,kitchen,living,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
5100,d03 Thu 13:00,kitchen,living,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
5160,d03 Thu 14:00,kitchen,living,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
5220,d03 Thu 15:00,kitchen,living,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
5280,d03 Thu 16:00,kitchen,living,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
5340,d03 Thu 17:00,bedroom,living,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
5400,d03 Thu 18:00,kitchen,living,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
5460,d03 Thu 19:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
5520,d03 Thu 20:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
5580,d03 Thu 21:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
5640,d03 Thu 22:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
5700,d03 Thu 23:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
5760,d04 Fri 00:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
5820,d04 Fri 01:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
5880,d04 Fri 02:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
5940,d04 Fri 03:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
6000,d04 Fri 04:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
6060,d04 Fri 05:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
6120,d04 Fri 06:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,entry
6180,d04 Fri 07:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen
6240,d04 Fri 08:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bathroom,kitchen
6300,d04 Fri 09:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bathroom,kitchen
6360,d04 Fri 10:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bathroom,kitchen
6420,d04 Fri 11:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bathroom,kitchen
6480,d04 Fri 12:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bathroom,kitchen
6540,d04 Fri 13:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bathroom,kitchen
6600,d04 Fri 14:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bathroom,kitchen
6660,d04 Fri 15:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bathroom,kitchen
6720,d04 Fri 16:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bathroom,kitchen
6780,d04 Fri 17:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bathroom,kitchen
6840,d04 Fri 18:00,kitchen,bedroom,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen
6900,d04 Fri 19:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen
6960,d04 Fri 20:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen
7020,d04 Fri 21:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen
7080,d04 Fri 22:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen
7140,d04 Fri 23:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen
7200,d05 Sat 00:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen
7260,d05 Sat 01:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen
7320,d05 Sat 02:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen
7380,d05 Sat 03:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen
7440,d05 Sat 04:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen
7500,d05 Sat 05:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen
7560,d05 Sat 06:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,entry
7620,d05 Sat 07:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bathroom,kitchen
7680,d05 Sat 08:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,kitchen,kitchen
7740,d05 Sat 09:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,kitchen,kitchen
7800,d05 Sat 10:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,kitchen,kitchen
7860,d05 Sat 11:00,kitchen,kitchen,bedroom,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,kitchen,kitchen
