t,stamp,mug_elara,tablet_elara,laptop_elara,phone_elara,keys_elara,wallet_elara,book_elara,water_bottle_elara,remote_elara,charger_elara,backpack_elara,jacket_elara,headphones_elara,glasses_elara,notebook_elara,pen_elara,medication_bottle_elara,blanket_elara,towel_elara,lunchbox_elara
600,d00 Mon 10:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,cupboard_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
660,d00 Mon 11:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,cupboard_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
720,d00 Mon 12:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,cupboard_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
780,d00 Mon 13:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,cupboard_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
840,d00 Mon 14:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,cupboard_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
900,d00 Mon 15:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,cupboard_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
960,d00 Mon 16:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,cupboard_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
1020,d00 Mon 17:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,cupboard_k1,bed_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
1080,d00 Mon 18:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,cupboard_k1,bed_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
1140,d00 Mon 19:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,bed_b1,nightstand_b1,entry_hook_e1,person:resident_1,desk_b1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
1200,d00 Mon 20:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,bed_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
1260,d00 Mon 21:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,bed_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
1320,d00 Mon 22:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,bed_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
1380,d00 Mon 23:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,bed_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
1440,d01 Tue 00:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,bed_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
1500,d01 Tue 01:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,bed_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
1560,d01 Tue 02:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,bed_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
1620,d01 Tue 03:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,bed_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
1680,d01 Tue 04:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,bed_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
1740,d01 Tue 05:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,bedroom_floor_b1,entry_hook_e1,nightstand_b1,sink_k1,bed_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
1800,d01 Tue 06:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,bed_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
1860,d01 Tue 07:00,sink_k1,counter_k1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,bed_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,desk_b1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,counter_k1
1920,d01 Tue 08:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,couch_l1,counter_k1,couch_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,couch_l1,couch_l1,nightstand_b1,desk_b1,nightstand_b1,couch_l1,bathroom_shelf_ba1,cupboard_k1
1980,d01 Tue 09:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,nightstand_b1,nightstand_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,cupboard_k1
2040,d01 Tue 10:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,cupboard_k1
2100,d01 Tue 11:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,cupboard_k1
2160,d01 Tue 12:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,cupboard_k1
2220,d01 Tue 13:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,cupboard_k1
2280,d01 Tue 14:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,cupboard_k1
2340,d01 Tue 15:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,cupboard_k1
2400,d01 Tue 16:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,cupboard_k1
2460,d01 Tue 17:00,bed_b1,coffee_table_l1,desk_b1,bed_b1,bed_b1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,bed_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,nightstand_b1,desk_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,cupboard_k1
2520,d01 Tue 18:00,bed_b1,coffee_table_l1,desk_b1,desk_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,bedroom_floor_b1,coffee_table_l1,nightstand_b1,desk_b1,desk_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,cupboard_k1
2580,d01 Tue 19:00,sink_k1,nightstand_b1,desk_b1,desk_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,bedroom_floor_b1,coffee_table_l1,nightstand_b1,desk_b1,bedroom_floor_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,counter_k1
2640,d01 Tue 20:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,nightstand_b1,desk_b1,bedroom_floor_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,counter_k1
2700,d01 Tue 21:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,nightstand_b1,desk_b1,bedroom_floor_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,counter_k1
2760,d01 Tue 22:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,nightstand_b1,desk_b1,bedroom_floor_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,counter_k1
2820,d01 Tue 23:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,nightstand_b1,desk_b1,bedroom_floor_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,counter_k1
2880,d02 Wed 00:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,nightstand_b1,desk_b1,bedroom_floor_b1,nightstand_b1,bed_b1,nightstand_b1,counter_k1
2940,d02 Wed 01:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,nightstand_b1,desk_b1,bedroom_floor_b1,nightstand_b1,bed_b1,nightstand_b1,counter_k1
3000,d02 Wed 02:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,nightstand_b1,desk_b1,bedroom_floor_b1,nightstand_b1,bed_b1,nightstand_b1,counter_k1
3060,d02 Wed 03:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,nightstand_b1,desk_b1,bedroom_floor_b1,nightstand_b1,bed_b1,nightstand_b1,counter_k1
3120,d02 Wed 04:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,nightstand_b1,desk_b1,bedroom_floor_b1,nightstand_b1,bed_b1,nightstand_b1,counter_k1
3180,d02 Wed 05:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,nightstand_b1,desk_b1,bedroom_floor_b1,nightstand_b1,bed_b1,nightstand_b1,counter_k1
3240,d02 Wed 06:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,entry_table_e1,entry_hook_e1,nightstand_b1,sink_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,desk_b1,bedroom_floor_b1,nightstand_b1,bed_b1,nightstand_b1,counter_k1
3300,d02 Wed 07:00,counter_k1,counter_k1,desk_b1,desk_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,sink_k1,bedroom_floor_b1,nightstand_b1,bed_b1,towel_rack_ba1,counter_k1
3360,d02 Wed 08:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,sink_k1,bedroom_floor_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
3420,d02 Wed 09:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
3480,d02 Wed 10:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
3540,d02 Wed 11:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
3600,d02 Wed 12:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
3660,d02 Wed 13:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
3720,d02 Wed 14:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
3780,d02 Wed 15:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
3840,d02 Wed 16:00,counter_k1,coffee_table_l1,desk_b1,desk_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
3900,d02 Wed 17:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,bedroom_floor_b1,entry_hook_e1,nightstand_b1,sink_k1,coffee_table_l1,nightstand_b1,bedroom_floor_b1,bedroom_floor_b1,coffee_table_l1,nightstand_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
3960,d02 Wed 18:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_hook_e1,entry_hook_e1,nightstand_b1,sink_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,nightstand_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,cupboard_k1
4020,d02 Wed 19:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,nightstand_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,counter_k1
4080,d02 Wed 20:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,nightstand_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,counter_k1
4140,d02 Wed 21:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,nightstand_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,counter_k1
4200,d02 Wed 22:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,bedroom_floor_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,counter_k1
4260,d02 Wed 23:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,bedroom_floor_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,counter_k1
4320,d03 Thu 00:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,bedroom_floor_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,counter_k1
4380,d03 Thu 01:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,bedroom_floor_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,counter_k1
4440,d03 Thu 02:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,bedroom_floor_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,counter_k1
4500,d03 Thu 03:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,bedroom_floor_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,counter_k1
4560,d03 Thu 04:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,bedroom_floor_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,counter_k1
4620,d03 Thu 05:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,person:resident_1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,person:resident_1,coffee_table_l1,bedroom_floor_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,counter_k1
4680,d03 Thu 06:00,sink_k1,coffee_table_l1,desk_b1,nightstand_b1,entry_table_e1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,coffee_table_l1,bedroom_floor_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,towel_rack_ba1,counter_k1
4740,d03 Thu 07:00,sink_k1,bed_b1,desk_b1,nightstand_b1,nightstand_b1,entry_hook_e1,nightstand_b1,counter_k1,coffee_table_l1,nightstand_b1,entry_hook_e1,entry_hook_e1,sink_k1,bedroom_floor_b1,sink_k1,nightstand_b1,nightstand_b1,bed_b1,bathroom_shelf_ba1,counter_k1
