household,object_id,object_class,n_questions,moves_per_day,displaced_share
hh_006,book_marie,book,91,1.5357,0.6314
hh_006,bowl_marie,bowl,85,2.3929,0.3175
hh_006,charger_marie,charger,90,2.8929,0.5154
hh_006,hairbrush_marie,hairbrush,89,2.5,0.3163
hh_006,headphones_marie,headphones,92,3.3571,0.4954
hh_006,jacket_marie,jacket,90,2.5,0.4817
hh_006,keys_marie,keys,95,2.6786,0.5555
hh_006,laptop_marie,laptop,90,2.6786,0.5005
hh_006,laundry_basket_marie,laundry_basket,88,0.3571,0.1992
hh_006,mug_marie,mug,90,2.8214,0.4614
hh_006,notebook_marie,notebook,89,3.0714,0.5097
hh_006,pan_shared_1,pan,88,2.3929,0.4933
hh_006,pen_marie,pen,89,3.0357,0.5969
hh_006,phone_marie,phone,91,4.9286,0.7694
hh_006,plate_marie,plate,95,3.3929,0.7342
hh_006,pot_shared_1,pot,92,0.8929,0.4821
hh_006,remote_shared_1,remote,86,0.6071,0.5438
hh_006,suitcase_marie,suitcase,95,2.25,0.2528
hh_006,towel_marie,towel,92,0.75,0.4923
hh_006,umbrella_marie,umbrella,88,2.3214,0.693
hh_006,wallet_marie,wallet,91,2.4643,0.3882
hh_006,water_bottle_marie,water_bottle,90,2.8929,0.6075
hh_006,yoga_mat_marie,yoga_mat,93,0.4286,0.5257
hh_007,backpack_leo,backpack,52,3.5357,0.6406
hh_007,backpack_mara,backpack,52,3.1429,0.2926
hh_007,backpack_sofia,backpack,53,2.3929,0.5674
hh_007,blanket_1,blanket,50,1.5,0.3023
hh_007,book_sofia,book,50,3.3214,0.5522
hh_007,bowl_leo,bowl,51,3.8929,0.5809
hh_007,charger_leo,charger,51,3.2857,0.5216
hh_007,charger_sofia,charger,51,2.5714,0.3725
hh_007,gaming_controller_leo,gaming_controller,51,1.5714,0.1545
hh_007,glasses_mara,glasses,50,5.5357,0.3677
hh_007,hairbrush_sofia,hairbrush,50,3.1786,0.2494
hh_007,headphones_leo,headphones,51,1.3571,0.2758
hh_007,jacket_leo,jacket,50,2.8214,0.444
hh_007,jacket_mara,jacket,50,2.8571,0.2733
hh_007,jacket_sofia,jacket,53,2.3214,0.3839
hh_007,keys_leo,keys,51,4.3929,0.5814
hh_007,keys_mara,keys,54,2.9643,0.2344
hh_007,keys_sofia,keys,52,2.6429,0.4388
hh_007,laptop_leo,laptop,52,3.3571,0.4167
hh_007,laptop_mara,laptop,51,3.5,0.3464
hh_007,laundry_basket_1,laundry_basket,51,0.8929,0.4807
hh_007,lunchbox_sofia,lunchbox,52,3.5,0.6821
hh_007,makeup_kit_sofia,makeup_kit,51,3.4643,0.1509
hh_007,medication_bottle_sofia,medication_bottle,50,0.5,0.093
hh_007,mug_leo,mug,51,7.5,0.3372
hh_007,mug_mara,mug,54,3.0357,0.3427
hh_007,notebook_leo,notebook,52,1.6071,0.6252
hh_007,notebook_mara,notebook,50,3.2143,0.3013
hh_007,pan_1,pan,51,2.0714,0.4253
hh_007,pen_mara,pen,50,1.75,0.1745
hh_007,phone_leo,phone,51,3.9643,0.5425
hh_007,phone_mara,phone,51,3.1786,0.38
hh_007,phone_sofia,phone,52,2.8214,0.5283
hh_007,plate_1,plate,51,5.7143,0.3965
hh_007,plate_2,plate,52,5.25,0.4308
hh_007,pot_1,pot,52,3.4286,0.4427
hh_007,remote_1,remote,50,0.7857,0.7776
hh_007,umbrella_mara,umbrella,50,2.8929,0.2359
hh_007,vacuum_cleaner_1,vacuum_cleaner,51,0.5714,0.4744
hh_007,wallet_leo,wallet,50,2.7857,0.4469
hh_007,wallet_mara,wallet,50,2.7857,0.2297
hh_007,wallet_sofia,wallet,51,2.4286,0.4504
hh_007,water_bottle_mara,water_bottle,52,3.8571,0.4785
hh_007,water_bottle_sofia,water_bottle,50,2.4286,0.534
hh_008,backpack_mateo,backpack,50,3.1786,0.3289
hh_008,backpack_nia,backpack,50,3.1429,0.361
hh_008,backpack_priya,backpack,50,4.4643,0.4518
hh_008,blanket_nia,blanket,50,0.7143,0.1862
hh_008,book_nia,book,48,1.3571,0.6374
hh_008,bowl_shared_1,bowl,50,0.0,0.0
hh_008,charger_mateo,charger,47,1.7143,0.6017
hh_008,charger_nia,charger,48,0.4643,0.6246
hh_008,gaming_controller_mateo,gaming_controller,49,2.1786,0.5295
hh_008,hairbrush_priya,hairbrush,50,4.8929,0.298
hh_008,headphones_mateo,headphones,48,3.9286,0.5221
hh_008,jacket_mateo,jacket,48,3.25,0.38
hh_008,jacket_nia,jacket,50,3.1071,0.4735
hh_008,jacket_priya,jacket,49,3.7857,0.3434
hh_008,keys_mateo,keys,48,3.4286,0.5367
hh_008,keys_nia,keys,49,3.0714,0.3185
hh_008,keys_priya,keys,50,4.1429,0.4225
hh_008,laptop_mateo,laptop,49,3.7857,0.4984
hh_008,laptop_nia,laptop,49,3.1071,0.4392
hh_008,laundry_basket_nia,laundry_basket,50,2.6429,0.222
hh_008,laundry_basket_shared_1,laundry_basket,49,0.3929,0.0679
hh_008,lunchbox_priya,lunchbox,49,3.9286,0.2941
hh_008,medication_bottle_priya,medication_bottle,49,1.3214,0.3787
hh_008,mug_mateo,mug,49,4.8929,0.5574
hh_008,mug_nia,mug,49,8.5,0.3984
hh_008,notebook_mateo,notebook,49,2.2857,0.5621
hh_008,notebook_nia,notebook,49,3.1429,0.3865
hh_008,pan_shared_1,pan,50,1.8571,0.4503
hh_008,pen_mateo,pen,50,0.7857,0.6365
hh_008,pen_nia,pen,50,2.6071,0.3908
hh_008,phone_mateo,phone,48,3.5714,0.4179
hh_008,phone_nia,phone,50,4.5714,0.5203
hh_008,phone_priya,phone,49,3.8929,0.4214
hh_008,plate_shared_1,plate,49,6.1429,0.4911
hh_008,plate_shared_2,plate,50,6.6429,0.5696
hh_008,pot_shared_1,pot,50,0.4286,0.462
hh_008,remote_shared_1,remote,47,0.8214,0.5275
hh_008,towel_shared_1,towel,47,4.3571,0.4724
hh_008,umbrella_priya,umbrella,48,3.9286,0.3079
hh_008,vacuum_cleaner_shared_1,vacuum_cleaner,49,0.0,0.0
hh_008,wallet_mateo,wallet,48,3.6071,0.4713
hh_008,wallet_nia,wallet,49,3.1071,0.3967
hh_008,wallet_priya,wallet,49,3.6429,0.3168
hh_008,water_bottle_nia,water_bottle,47,3.5,0.5013
hh_008,water_bottle_priya,water_bottle,47,4.25,0.3438
hh_008,yoga_mat_priya,yoga_mat,48,0.5,0.4763
hh_009,backpack_elias,backpack,57,2.2143,0.4498
hh_009,backpack_noa,backpack,55,2.5714,0.5515
hh_009,backpack_priya,backpack,53,3.0,0.4428
hh_009,blanket_noa,blanket,54,4.25,0.4807
hh_009,book_noa,book,56,7.3214,0.5501
hh_009,bowl_shared_1,bowl,55,10.9643,0.6401
hh_009,charger_elias,charger,53,2.2857,0.4198
hh_009,charger_shared_1,charger,59,1.3929,0.2256
hh_009,hairbrush_priya,hairbrush,53,5.2143,0.3084
hh_009,headphones_elias,headphones,57,2.2857,0.4643
hh_009,jacket_elias,jacket,56,1.9643,0.4912
hh_009,jacket_priya,jacket,54,2.1429,0.3342
hh_009,keys_elias,keys,56,2.7857,0.4858
hh_009,keys_priya,keys,55,2.7143,0.4663
hh_009,laptop_elias,laptop,53,2.25,0.3819
hh_009,laundry_basket_shared_1,laundry_basket,57,0.5,0.1744
hh_009,lunchbox_priya,lunchbox,54,2.9286,0.5153
hh_009,makeup_kit_priya,makeup_kit,57,4.9286,0.2469
hh_009,medication_bottle_noa,medication_bottle,54,0.3571,0.0074
hh_009,mug_elias,mug,54,4.8214,0.6154
hh_009,mug_priya,mug,55,2.8571,0.3971
hh_009,notebook_elias,notebook,55,0.3571,0.5572
hh_009,pan_shared_1,pan,53,0.8929,0.4109
hh_009,pen_elias,pen,53,1.8214,0.423
hh_009,phone_elias,phone,56,4.6786,0.5124
hh_009,phone_priya,phone,57,3.75,0.6902
hh_009,plate_shared_1,plate,55,6.3929,0.4851
hh_009,pot_shared_1,pot,54,1.8214,0.2735
hh_009,remote_shared_1,remote,55,0.8214,0.7041
hh_009,suitcase_shared_1,suitcase,52,1.0,0.2747
hh_009,tablet_shared_1,tablet,51,3.7143,0.4626
hh_009,towel_noa,towel,56,1.1786,0.6435
hh_009,toy_noa,toy,57,6.2857,0.4832
hh_009,umbrella_shared_1,umbrella,51,1.0714,0.4791
hh_009,vacuum_cleaner_shared_1,vacuum_cleaner,56,0.2857,0.0039
hh_009,wallet_elias,wallet,57,2.25,0.5183
hh_009,wallet_priya,wallet,55,2.3214,0.3901
hh_009,water_bottle_elias,water_bottle,55,3.6429,0.5
hh_009,water_bottle_noa,water_bottle,56,5.3571,0.5438
hh_009,water_bottle_priya,water_bottle,54,3.0357,0.5101
hh_009,yoga_mat_priya,yoga_mat,55,2.5,0.3484
hh_010,backpack_marisol,backpack,44,2.6786,0.4329
hh_010,backpack_nikhil,backpack,45,2.3929,0.3714
hh_010,backpack_owen,backpack,45,3.2857,0.4449
hh_010,backpack_tessa,backpack,43,2.75,0.5369
hh_010,blanket_owen,blanket,42,9.1786,0.3328
hh_010,book_marisol,book,39,3.2143,0.7015
hh_010,book_tessa,book,42,3.3571,0.6089
hh_010,bowl_shared_1,bowl,46,4.3214,0.5302
hh_010,charger_nikhil,charger,42,2.2857,0.4634
hh_010,charger_shared_1,charger,39,0.0,0.0
hh_010,charger_tessa,charger,37,3.0,0.6975
hh_010,gaming_controller_owen,gaming_controller,43,1.5714,0.3852
hh_010,gaming_controller_tessa,gaming_controller,40,0.7143,0.2974
hh_010,glasses_marisol,glasses,45,11.2857,0.6475
hh_010,glasses_nikhil,glasses,44,2.2857,0.513
hh_010,hairbrush_marisol,hairbrush,43,1.0,0.1889
hh_010,headphones_tessa,headphones,40,2.4286,0.6057
hh_010,jacket_nikhil,jacket,42,2.5,0.4768
hh_010,jacket_owen,jacket,42,3.1071,0.6225
hh_010,keys_marisol,keys,41,2.3214,0.5004
hh_010,keys_nikhil,keys,42,2.1786,0.4405
hh_010,keys_tessa,keys,42,2.9286,0.5211
hh_010,laptop_marisol,laptop,44,2.3214,0.4055
hh_010,laptop_nikhil,laptop,39,2.1429,0.3509
hh_010,laptop_tessa,laptop,42,2.9286,0.6425
hh_010,laundry_basket_shared_1,laundry_basket,40,1.1071,0.4929
hh_010,lunchbox_owen,lunchbox,38,3.6071,0.5252
hh_010,makeup_kit_marisol,makeup_kit,45,2.6429,0.5071
hh_010,mug_marisol,mug,39,2.5357,0.4127
hh_010,mug_nikhil,mug,42,2.5,0.4251
hh_010,notebook_nikhil,notebook,40,3.0714,0.5536
hh_010,notebook_owen,notebook,39,3.6429,0.5868
hh_010,notebook_tessa,notebook,46,2.3214,0.4843
hh_010,pan_shared_1,pan,42,9.1429,0.645
hh_010,pen_owen,pen,38,2.5,0.7587
hh_010,pen_tessa,pen,44,3.1071,0.3034
hh_010,phone_marisol,phone,40,2.7857,0.6076
hh_010,phone_nikhil,phone,39,3.1429,0.6482
hh_010,phone_owen,phone,40,2.4286,0.3821
hh_010,phone_tessa,phone,41,2.6786,0.4927
hh_010,plate_shared_1,plate,39,3.9643,0.5276
hh_010,pot_shared_1,pot,41,0.3214,0.2862
hh_010,remote_shared_1,remote,44,1.3929,0.5988
hh_010,tablet_owen,tablet,44,2.8929,0.4294
hh_010,towel_shared_1,towel,42,4.5357,0.1526
hh_010,toy_owen,toy,36,5.7143,0.3385
hh_010,umbrella_shared_1,umbrella,46,0.4643,0.1822
hh_010,vacuum_cleaner_shared_1,vacuum_cleaner,39,0.0,0.0
hh_010,wallet_marisol,wallet,46,2.2857,0.4322
hh_010,wallet_nikhil,wallet,41,2.5357,0.4755
hh_010,water_bottle_marisol,water_bottle,39,2.3571,0.3593
hh_010,water_bottle_owen,water_bottle,44,4.5714,0.4885
hh_010,water_bottle_tessa,water_bottle,40,3.2857,0.5885
hh_010,yoga_mat_shared_1,yoga_mat,43,1.2857,0.2818
hh_011,backpack_leon,backpack,58,1.4286,0.6009
hh_011,backpack_mara,backpack,57,2.0714,0.3802
hh_011,blanket_shared_1,blanket,56,2.6071,0.4624
hh_011,book_mara,book,55,1.1429,0.3482
hh_011,bowl_shared_1,bowl,60,3.5357,0.617
hh_011,charger_mara,charger,57,7.5,0.5611
hh_011,gaming_controller_leon,gaming_controller,57,0.4286,0.3387
hh_011,glasses_mara,glasses,58,9.4643,0.4912
hh_011,headphones_leon,headphones,56,1.6429,0.4221
hh_011,headphones_mara,headphones,58,2.25,0.1287
hh_011,jacket_leon,jacket,57,1.3214,0.3847
hh_011,jacket_mara,jacket,58,1.8571,0.3765
hh_011,keys_leon,keys,57,1.6786,0.586
hh_011,keys_mara,keys,59,1.9286,0.2281
hh_011,laptop_leon,laptop,57,3.25,0.4821
hh_011,laptop_mara,laptop,63,1.8571,0.0341
hh_011,laundry_basket_shared_1,laundry_basket,62,0.2143,0.4825
hh_011,mug_mara,mug,58,4.7143,0.6301
hh_011,mug_shared_1,mug,58,2.1071,0.4875
hh_011,notebook_leon,notebook,58,1.5357,0.575
hh_011,notebook_mara,notebook,53,2.9643,0.5928
hh_011,pan_shared_1,pan,61,1.6071,0.4048
hh_011,pen_leon,pen,56,2.3929,0.6184
hh_011,pen_mara,pen,56,2.3571,0.434
hh_011,phone_leon,phone,58,1.5,0.6707
hh_011,phone_mara,phone,56,3.8214,0.6465
hh_011,plate_shared_1,plate,53,2.3929,0.3148
hh_011,pot_shared_1,pot,55,2.2143,0.2253
hh_011,remote_shared_1,remote,57,0.8214,0.4055
hh_011,tablet_leon,tablet,60,2.2143,0.4308
hh_011,towel_shared_1,towel,64,1.8571,0.363
hh_011,umbrella_shared_1,umbrella,57,0.3214,0.6415
hh_011,vacuum_cleaner_shared_1,vacuum_cleaner,54,0.0,0.0
hh_011,wallet_leon,wallet,59,1.3929,0.2922
hh_011,wallet_mara,wallet,55,2.1071,0.2586
hh_011,water_bottle_leon,water_bottle,58,4.2143,0.3831
hh_011,water_bottle_mara,water_bottle,55,2.7857,0.1556
hh_011,watering_can_shared_1,watering_can,61,1.8929,0.3587
hh_011,yoga_mat_mara,yoga_mat,63,0.0,0.0
hh_012,backpack_leena,backpack,75,2.3929,0.6564
hh_012,blanket_leena,blanket,75,0.7857,0.5877
hh_012,book_leena,book,75,1.5,0.3729
hh_012,bowl_leena,bowl,75,2.6429,0.5531
hh_012,charger_leena,charger,75,3.0714,0.5361
hh_012,glasses_leena,glasses,75,2.75,0.7099
hh_012,headphones_leena,headphones,75,2.6429,0.6268
hh_012,jacket_leena,jacket,75,2.4643,0.6097
hh_012,keys_leena,keys,75,2.1786,0.3902
hh_012,laptop_leena,laptop,75,3.6429,0.5557
hh_012,laundry_basket_shared_1,laundry_basket,75,0.0,0.0
hh_012,lunchbox_leena,lunchbox,75,2.6071,0.6056
hh_012,medication_bottle_leena,medication_bottle,75,0.5,0.3544
hh_012,mug_leena,mug,75,4.2143,0.7226
hh_012,notebook_leena,notebook,75,3.3571,0.6632
hh_012,pan_shared_1,pan,75,2.1071,0.4716
hh_012,pen_leena,pen,75,3.3214,0.5582
hh_012,phone_leena,phone,75,3.8571,0.7119
hh_012,plate_leena,plate,75,2.8214,0.7155
hh_012,pot_shared_1,pot,75,1.7143,0.3324
hh_012,remote_shared_1,remote,75,0.7143,0.552
