t,stamp,laptop_mara,phone_mara,keys_mara,wallet_mara,backpack_mara,notebook_mara,pen_mara,mug_mara,water_bottle_mara,glasses_mara,jacket_mara,umbrella_mara,laptop_leo,phone_leo,keys_leo,wallet_leo,backpack_leo,headphones_leo,gaming_controller_leo,charger_leo,mug_leo,bowl_leo,jacket_leo,notebook_leo,phone_sofia,keys_sofia,wallet_sofia,backpack_sofia,lunchbox_sofia,water_bottle_sofia,charger_sofia,jacket_sofia,hairbrush_sofia,makeup_kit_sofia,medication_bottle_sofia,book_sofia,remote_1,blanket_1,plate_1,plate_2,pot_1,pan_1,laundry_basket_1,vacuum_cleaner_1
600,d00 Mon 10:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,entry,entry,living,outside,outside,bedroom_2,outside,living,living,living,kitchen,kitchen,entry,living,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_1,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
660,d00 Mon 11:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,entry,entry,living,outside,outside,bedroom_2,outside,living,living,living,kitchen,kitchen,entry,living,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_1,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
720,d00 Mon 12:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,entry,entry,living,outside,outside,bedroom_2,outside,living,living,living,kitchen,kitchen,entry,living,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_1,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
780,d00 Mon 13:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,entry,entry,living,outside,outside,bedroom_2,outside,living,living,living,kitchen,kitchen,entry,living,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
840,d00 Mon 14:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,entry,entry,living,outside,outside,bedroom_2,outside,living,living,living,bathroom,kitchen,entry,living,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom,bedroom_3,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
900,d00 Mon 15:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,entry,entry,living,outside,outside,bedroom_2,outside,living,living,living,bathroom,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
960,d00 Mon 16:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,entry,entry,living,kitchen,kitchen,bedroom_2,kitchen,living,living,living,bathroom,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1020,d00 Mon 17:00,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,kitchen,kitchen,bedroom_2,kitchen,living,living,living,bathroom,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1080,d00 Mon 18:00,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen,kitchen,bedroom_2,kitchen,living,living,living,bathroom,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1140,d00 Mon 19:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen,kitchen,bedroom_2,kitchen,living,living,living,bathroom,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1200,d00 Mon 20:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,bedroom_2,kitchen,living,living,living,kitchen,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1260,d00 Mon 21:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,bedroom_2,kitchen,living,living,living,kitchen,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1320,d00 Mon 22:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,kitchen,bedroom_2,kitchen,living,living,living,kitchen,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1380,d00 Mon 23:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,kitchen,bedroom_2,kitchen,living,living,living,kitchen,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1440,d01 Tue 00:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,kitchen,bedroom_2,kitchen,living,living,living,kitchen,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1500,d01 Tue 01:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,kitchen,bedroom_2,kitchen,living,living,living,kitchen,kitchen,entry,living,kitchen,entry,bathroom,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1560,d01 Tue 02:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,kitchen,bedroom_2,kitchen,living,living,living,kitchen,kitchen,entry,living,kitchen,entry,bathroom,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1620,d01 Tue 03:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,kitchen,bedroom_2,kitchen,living,living,living,kitchen,kitchen,entry,living,kitchen,entry,bathroom,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1680,d01 Tue 04:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,kitchen,bedroom_2,kitchen,living,living,living,kitchen,kitchen,entry,living,kitchen,entry,bathroom,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1740,d01 Tue 05:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,kitchen,bedroom_2,kitchen,living,living,living,kitchen,kitchen,entry,living,kitchen,entry,bathroom,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1800,d01 Tue 06:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,kitchen,bedroom_2,kitchen,living,living,living,kitchen,kitchen,entry,living,kitchen,entry,bathroom,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1860,d01 Tue 07:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,kitchen,bedroom_2,kitchen,living,living,living,kitchen,kitchen,entry,living,kitchen,entry,bathroom,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_2,bedroom_2,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1920,d01 Tue 08:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,bedroom_2,bedroom_2,kitchen,living,living,living,kitchen,kitchen,entry,living,kitchen,entry,bathroom,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_1,bedroom_1,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
1980,d01 Tue 09:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,outside,outside,outside,bedroom_2,outside,living,living,outside,living,kitchen,entry,living,kitchen,entry,bathroom,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_1,bathroom,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
2040,d01 Tue 10:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,entry,entry,outside,outside,outside,bedroom_2,outside,living,living,outside,kitchen,kitchen,entry,living,kitchen,entry,bathroom,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_1,bathroom,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
2100,d01 Tue 11:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,entry,entry,outside,outside,outside,bedroom_2,outside,living,living,outside,kitchen,kitchen,entry,living,kitchen,entry,bathroom,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_1,bathroom,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
2160,d01 Tue 12:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,entry,entry,outside,outside,outside,bedroom_2,outside,living,living,outside,kitchen,kitchen,entry,living,kitchen,entry,bathroom,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_1,bathroom,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
2220,d01 Tue 13:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,entry,entry,outside,outside,outside,bedroom_2,outside,living,living,outside,kitchen,kitchen,entry,living,kitchen,entry,bathroom,bedroom_3,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
2280,d01 Tue 14:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,entry,entry,outside,outside,outside,bedroom_2,outside,living,living,outside,kitchen,kitchen,entry,living,kitchen,entry,bathroom,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
2340,d01 Tue 15:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,outside,outside,outside,bedroom_2,outside,living,living,outside,kitchen,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
2400,d01 Tue 16:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
2460,d01 Tue 17:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
2520,d01 Tue 18:00,kitchen,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
2580,d01 Tue 19:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
2640,d01 Tue 20:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
2700,d01 Tue 21:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bathroom,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
2760,d01 Tue 22:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
2820,d01 Tue 23:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
2880,d02 Wed 00:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bathroom,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
2940,d02 Wed 01:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
3000,d02 Wed 02:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
3060,d02 Wed 03:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
3120,d02 Wed 04:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
3180,d02 Wed 05:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
3240,d02 Wed 06:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
3300,d02 Wed 07:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
3360,d02 Wed 08:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,living,bedroom_2,entry,living,living,living,kitchen,kitchen,entry,living,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
3420,d02 Wed 09:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,living,bedroom_2,entry,living,kitchen,living,kitchen,kitchen,entry,living,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
3480,d02 Wed 10:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,living,bedroom_2,entry,living,kitchen,living,kitchen,kitchen,entry,living,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
3540,d02 Wed 11:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,living,bedroom_2,entry,living,kitchen,living,kitchen,living,entry,living,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
3600,d02 Wed 12:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,living,bedroom_2,entry,living,kitchen,living,kitchen,living,entry,living,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,living,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
3660,d02 Wed 13:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,living,bedroom_2,entry,living,kitchen,living,kitchen,living,entry,living,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,living,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
3720,d02 Wed 14:00,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,bedroom_3,kitchen,kitchen,living,entry,entry,living,living,bathroom,bedroom_2,entry,living,kitchen,living,kitchen,living,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
3780,d02 Wed 15:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,bathroom,bedroom_2,entry,living,kitchen,living,kitchen,living,entry,kitchen,outside,outside,outside,outside,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry
