t,stamp,laptop_mara,phone_mara,keys_mara,wallet_mara,backpack_mara,jacket_mara,headphones_mara,glasses_mara,charger_mara,notebook_mara,pen_mara,lunchbox_mara,water_bottle_mara,umbrella_mara,mug_mara,mug_shared_1,bowl_shared_1,bowl_shared_2,plate_shared_1,plate_shared_2,book_mara,tablet_mara,remote_shared_1,blanket_mara,yoga_mat_mara,towel_mara,laundry_basket_mara,vacuum_cleaner_shared_1,pot_shared_1,pan_shared_1,hairbrush_mara,makeup_kit_mara,medication_bottle_mara,suitcase_mara,watering_can_mara
600,d00 Mon 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
660,d00 Mon 11:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
720,d00 Mon 12:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
780,d00 Mon 13:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
840,d00 Mon 14:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
900,d00 Mon 15:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
960,d00 Mon 16:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
1020,d00 Mon 17:00,kitchen,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1080,d00 Mon 18:00,kitchen,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1140,d00 Mon 19:00,kitchen,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1200,d00 Mon 20:00,kitchen,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1260,d00 Mon 21:00,kitchen,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1320,d00 Mon 22:00,kitchen,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1380,d00 Mon 23:00,kitchen,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1440,d01 Tue 00:00,kitchen,bedroom,entry,entry,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,bedroom,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1500,d01 Tue 01:00,kitchen,bedroom,entry,entry,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,bedroom,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1560,d01 Tue 02:00,kitchen,bedroom,entry,entry,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,bedroom,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1620,d01 Tue 03:00,kitchen,bedroom,entry,entry,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,bedroom,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1680,d01 Tue 04:00,kitchen,bedroom,entry,entry,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,bedroom,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1740,d01 Tue 05:00,kitchen,bedroom,entry,entry,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,bedroom,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1800,d01 Tue 06:00,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
1860,d01 Tue 07:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
1920,d01 Tue 08:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
1980,d01 Tue 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
2040,d01 Tue 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
2100,d01 Tue 11:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
2160,d01 Tue 12:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
2220,d01 Tue 13:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
2280,d01 Tue 14:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
2340,d01 Tue 15:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
2400,d01 Tue 16:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
2460,d01 Tue 17:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
2520,d01 Tue 18:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,bathroom,outside,kitchen,outside,kitchen
2580,d01 Tue 19:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
2640,d01 Tue 20:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
2700,d01 Tue 21:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
2760,d01 Tue 22:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
2820,d01 Tue 23:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
2880,d02 Wed 00:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,bedroom,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
2940,d02 Wed 01:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,bedroom,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
3000,d02 Wed 02:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,bedroom,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
3060,d02 Wed 03:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,bedroom,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
3120,d02 Wed 04:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,bedroom,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
3180,d02 Wed 05:00,kitchen,bedroom,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,bedroom,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
3240,d02 Wed 06:00,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,kitchen,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen
3300,d02 Wed 07:00,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,outside,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen
3360,d02 Wed 08:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,kitchen,outside,kitchen,outside,kitchen
3420,d02 Wed 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,kitchen,outside,kitchen,outside,kitchen
3480,d02 Wed 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,kitchen,outside,kitchen,outside,kitchen
3540,d02 Wed 11:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,kitchen,outside,kitchen,outside,kitchen
3600,d02 Wed 12:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,kitchen,outside,kitchen,outside,kitchen
3660,d02 Wed 13:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,kitchen,outside,kitchen,outside,kitchen
3720,d02 Wed 14:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,kitchen,outside,kitchen,outside,kitchen
3780,d02 Wed 15:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,entry,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,outside,outside,bedroom,kitchen,kitchen,kitchen,outside,kitchen,outside,kitchen
3840,d02 Wed 16:00,kitchen,entry,entry,kitchen,entry,entry,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bathroom,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,bathroom,kitchen,bedroom,kitchen
3900,d02 Wed 17:00,kitchen,entry,entry,kitchen,entry,entry,kitchen,kitchen,bathroom,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bathroom,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,bathroom,kitchen,bedroom,kitchen
3960,d02 Wed 18:00,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen
4020,d02 Wed 19:00,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen
4080,d02 Wed 20:00,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen
4140,d02 Wed 21:00,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen
4200,d02 Wed 22:00,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen
4260,d02 Wed 23:00,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen
4320,d03 Thu 00:00,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen
4380,d03 Thu 01:00,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen
4440,d03 Thu 02:00,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen
4500,d03 Thu 03:00,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen
4560,d03 Thu 04:00,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen
4620,d03 Thu 05:00,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen
4680,d03 Thu 06:00,kitchen,bedroom,entry,kitchen,kitchen,entry,kitchen,living,bathroom,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,kitchen,kitchen,bathroom,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,kitchen,bathroom,bedroom,kitchen
4740,d03 Thu 07:00,kitchen,bedroom,entry,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
4800,d03 Thu 08:00,kitchen,bedroom,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,kitchen,bathroom,bedroom,kitchen
4860,d03 Thu 09:00,kitchen,bedroom,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,kitchen,bathroom,bedroom,kitchen
4920,d03 Thu 10:00,kitchen,bedroom,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,kitchen,bathroom,bedroom,kitchen
4980,d03 Thu 11:00,kitchen,bedroom,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,living,bathroom,bedroom,bedroom,kitchen,kitchen,bathroom,kitchen,bathroom,bedroom,kitchen
