t,stamp,laptop_elias,phone_elias,keys_elias,wallet_elias,backpack_elias,jacket_elias,mug_elias,notebook_elias,pen_elias,water_bottle_elias,yoga_mat_elias,book_elias,glasses_elias,charger_elias,blanket_elias,towel_elias,hairbrush_elias,laundry_basket_elias,vacuum_cleaner_elias,pot_elias
720,d00 Mon 12:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
780,d00 Mon 13:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
840,d00 Mon 14:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
900,d00 Mon 15:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
960,d00 Mon 16:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1020,d00 Mon 17:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1080,d00 Mon 18:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1140,d00 Mon 19:00,kitchen,bedroom,kitchen,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1200,d00 Mon 20:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1260,d00 Mon 21:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1320,d00 Mon 22:00,bathroom,bedroom,bathroom,bathroom,entry,entry,kitchen,bedroom,bathroom,bedroom,bathroom,bathroom,bedroom,bathroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1380,d00 Mon 23:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1440,d01 Tue 00:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1500,d01 Tue 01:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1560,d01 Tue 02:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1620,d01 Tue 03:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1680,d01 Tue 04:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1740,d01 Tue 05:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1800,d01 Tue 06:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1860,d01 Tue 07:00,kitchen,bedroom,kitchen,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1920,d01 Tue 08:00,bathroom,bedroom,bathroom,bathroom,entry,entry,kitchen,bedroom,bathroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
1980,d01 Tue 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,living,outside,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom,kitchen
2040,d01 Tue 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,living,outside,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom,kitchen
2100,d01 Tue 11:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,living,outside,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom,kitchen
2160,d01 Tue 12:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,living,outside,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom,kitchen
2220,d01 Tue 13:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,living,outside,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom,kitchen
2280,d01 Tue 14:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,living,outside,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom,kitchen
2340,d01 Tue 15:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,living,outside,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom,kitchen
2400,d01 Tue 16:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,living,outside,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom,kitchen
2460,d01 Tue 17:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom,living,outside,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom,kitchen
2520,d01 Tue 18:00,kitchen,bedroom,kitchen,kitchen,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom,kitchen
2580,d01 Tue 19:00,kitchen,bedroom,kitchen,kitchen,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom,kitchen
2640,d01 Tue 20:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom,kitchen
2700,d01 Tue 21:00,bathroom,bedroom,bathroom,bathroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bathroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
2760,d01 Tue 22:00,bathroom,bedroom,bathroom,bathroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bathroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
2820,d01 Tue 23:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
2880,d02 Wed 00:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
2940,d02 Wed 01:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
3000,d02 Wed 02:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
3060,d02 Wed 03:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
3120,d02 Wed 04:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
3180,d02 Wed 05:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
3240,d02 Wed 06:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
3300,d02 Wed 07:00,kitchen,bedroom,kitchen,kitchen,bedroom,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom,kitchen
3360,d02 Wed 08:00,bathroom,bedroom,bathroom,bathroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,living,living,bedroom,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom,kitchen
3420,d02 Wed 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
3480,d02 Wed 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
3540,d02 Wed 11:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
3600,d02 Wed 12:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
3660,d02 Wed 13:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
3720,d02 Wed 14:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
3780,d02 Wed 15:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
3840,d02 Wed 16:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
3900,d02 Wed 17:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
3960,d02 Wed 18:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4020,d02 Wed 19:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4080,d02 Wed 20:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4140,d02 Wed 21:00,bathroom,bathroom,bathroom,bathroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bathroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4200,d02 Wed 22:00,bathroom,bathroom,bathroom,bathroom,entry,entry,kitchen,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bathroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4260,d02 Wed 23:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4320,d03 Thu 00:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4380,d03 Thu 01:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4440,d03 Thu 02:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4500,d03 Thu 03:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4560,d03 Thu 04:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4620,d03 Thu 05:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4680,d03 Thu 06:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4740,d03 Thu 07:00,kitchen,kitchen,kitchen,kitchen,bedroom,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4800,d03 Thu 08:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4860,d03 Thu 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4920,d03 Thu 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
4980,d03 Thu 11:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
5040,d03 Thu 12:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
5100,d03 Thu 13:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
5160,d03 Thu 14:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
5220,d03 Thu 15:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
5280,d03 Thu 16:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
5340,d03 Thu 17:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
5400,d03 Thu 18:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
5460,d03 Thu 19:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
5520,d03 Thu 20:00,kitchen,bedroom,kitchen,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
5580,d03 Thu 21:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,living,kitchen,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
5640,d03 Thu 22:00,bathroom,bedroom,bathroom,bathroom,entry,entry,kitchen,bedroom,bathroom,bedroom,bathroom,bathroom,kitchen,bathroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
5700,d03 Thu 23:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
5760,d04 Fri 00:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
5820,d04 Fri 01:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
5880,d04 Fri 02:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
5940,d04 Fri 03:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6000,d04 Fri 04:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6060,d04 Fri 05:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6120,d04 Fri 06:00,bedroom,bedroom,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6180,d04 Fri 07:00,kitchen,bedroom,kitchen,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6240,d04 Fri 08:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6300,d04 Fri 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6360,d04 Fri 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6420,d04 Fri 11:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6480,d04 Fri 12:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6540,d04 Fri 13:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6600,d04 Fri 14:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6660,d04 Fri 15:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6720,d04 Fri 16:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6780,d04 Fri 17:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,living,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6840,d04 Fri 18:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6900,d04 Fri 19:00,bedroom,kitchen,entry,entry,entry,entry,kitchen,bedroom,kitchen,bedroom,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
6960,d04 Fri 20:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
7020,d04 Fri 21:00,bedroom,bathroom,entry,entry,entry,entry,kitchen,bedroom,bathroom,bedroom,bathroom,bathroom,bedroom,bathroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
7080,d04 Fri 22:00,bedroom,bathroom,entry,entry,entry,entry,kitchen,bedroom,bathroom,bedroom,bathroom,bathroom,bedroom,bathroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
7140,d04 Fri 23:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
7200,d05 Sat 00:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
7260,d05 Sat 01:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
7320,d05 Sat 02:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
7380,d05 Sat 03:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
7440,d05 Sat 04:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
7500,d05 Sat 05:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
7560,d05 Sat 06:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
7620,d05 Sat 07:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen
7680,d05 Sat 08:00,bedroom,kitchen,entry,entry,bedroom,entry,kitchen,bedroom,kitchen,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
7740,d05 Sat 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
7800,d05 Sat 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,living,bedroom,outside,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
7860,d05 Sat 11:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
7920,d05 Sat 12:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
7980,d05 Sat 13:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
8040,d05 Sat 14:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
8100,d05 Sat 15:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
8160,d05 Sat 16:00,bedroom,bedroom,entry,entry,entry,entry,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,bathroom,bathroom,bedroom,bedroom,kitchen
