t,stamp,mug_1,mug_2,bowl_1,plate_1,laptop_1,phone_1,phone_2,keys_1,keys_2,book_1,water_bottle_1,remote_1,charger_1,jacket_1,headphones_1,glasses_1,notebook_1,pen_1,toy_1,blanket_1,towel_1,lunchbox_1,wallet_1,wallet_2
1140,d00 Mon 19:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,kitchen
1200,d00 Mon 20:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,kitchen
1260,d00 Mon 21:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
1320,d00 Mon 22:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
1380,d00 Mon 23:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
1440,d01 Tue 00:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,kitchen,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
1500,d01 Tue 01:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
1560,d01 Tue 02:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,kitchen,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
1620,d01 Tue 03:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,kitchen,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
1680,d01 Tue 04:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,kitchen,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
1740,d01 Tue 05:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,kitchen,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
1800,d01 Tue 06:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,kitchen,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
1860,d01 Tue 07:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
1920,d01 Tue 08:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
1980,d01 Tue 09:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
2040,d01 Tue 10:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
2100,d01 Tue 11:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
2160,d01 Tue 12:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
2220,d01 Tue 13:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,outside,kitchen,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,outside,kitchen
2280,d01 Tue 14:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
2340,d01 Tue 15:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
2400,d01 Tue 16:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
2460,d01 Tue 17:00,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
2520,d01 Tue 18:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen
2580,d01 Tue 19:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen
2640,d01 Tue 20:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen
2700,d01 Tue 21:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen
2760,d01 Tue 22:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen
2820,d01 Tue 23:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen
2880,d02 Wed 00:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,kitchen,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,entry,kitchen
2940,d02 Wed 01:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen
3000,d02 Wed 02:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen
3060,d02 Wed 03:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,kitchen,living,bedroom_1,entry,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,entry,kitchen
3120,d02 Wed 04:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,kitchen,living,bedroom_1,entry,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,entry,kitchen
3180,d02 Wed 05:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen
3240,d02 Wed 06:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen
3300,d02 Wed 07:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen
3360,d02 Wed 08:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen
3420,d02 Wed 09:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,entry,kitchen
3480,d02 Wed 10:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,entry,kitchen
3540,d02 Wed 11:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,entry,kitchen
3600,d02 Wed 12:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen
3660,d02 Wed 13:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_2,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,bedroom_2
3720,d02 Wed 14:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,bedroom_2,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen
3780,d02 Wed 15:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,entry,kitchen
3840,d02 Wed 16:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,entry,kitchen
3900,d02 Wed 17:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,bedroom_2,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,entry,bedroom_1,kitchen,kitchen,living,kitchen
3960,d02 Wed 18:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
4020,d02 Wed 19:00,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,living,living,bedroom_1,living,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
4080,d02 Wed 20:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,kitchen,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,kitchen
4140,d02 Wed 21:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,kitchen,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,kitchen
4200,d02 Wed 22:00,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,bedroom_2,living,bedroom_1,living,living,bedroom_1,living,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
4260,d02 Wed 23:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
4320,d03 Thu 00:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
4380,d03 Thu 01:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
4440,d03 Thu 02:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
4500,d03 Thu 03:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
4560,d03 Thu 04:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
4620,d03 Thu 05:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
4680,d03 Thu 06:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
4740,d03 Thu 07:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,outside,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
4800,d03 Thu 08:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,outside,kitchen,outside,kitchen,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,outside,kitchen
4860,d03 Thu 09:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
4920,d03 Thu 10:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
4980,d03 Thu 11:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
5040,d03 Thu 12:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
5100,d03 Thu 13:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
5160,d03 Thu 14:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,kitchen
5220,d03 Thu 15:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
5280,d03 Thu 16:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
5340,d03 Thu 17:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,living,bedroom_1,kitchen,kitchen,kitchen,kitchen
5400,d03 Thu 18:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
5460,d03 Thu 19:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom_1,bedroom_1,bedroom_1,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
5520,d03 Thu 20:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,kitchen,living,bedroom_1,entry,bedroom_1,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
5580,d03 Thu 21:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,living,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
5640,d03 Thu 22:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
5700,d03 Thu 23:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,bedroom_1,living,bedroom_1,bedroom_1,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
5760,d04 Fri 00:00,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom_2,living,bedroom_1,living,living,bedroom_1,living,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
5820,d04 Fri 01:00,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom_2,living,bedroom_1,living,living,bedroom_1,living,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
5880,d04 Fri 02:00,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom_2,living,bedroom_1,living,living,bedroom_1,living,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen
5940,d04 Fri 03:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
6000,d04 Fri 04:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,kitchen,bedroom_2,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,kitchen
