t,stamp,phone_marie,keys_marie,wallet_marie,laptop_marie,backpack_marie,lunchbox_marie,water_bottle_marie,jacket_marie,headphones_marie,glasses_marie,charger_marie,notebook_marie,pen_marie,book_marie,mug_marie,bowl_marie,plate_marie,pot_shared_1,pan_shared_1,remote_shared_1,blanket_marie,towel_marie,laundry_basket_marie,medication_bottle_marie,hairbrush_marie,makeup_kit_marie,umbrella_marie,suitcase_marie,watering_can_marie,yoga_mat_marie
600,d00 Mon 10:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
660,d00 Mon 11:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
720,d00 Mon 12:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
780,d00 Mon 13:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
840,d00 Mon 14:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
900,d00 Mon 15:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
960,d00 Mon 16:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
1020,d00 Mon 17:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
1080,d00 Mon 18:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
1140,d00 Mon 19:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,bedroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
1200,d00 Mon 20:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,bedroom,bedroom,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
1260,d00 Mon 21:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,outside,outside,outside,kitchen,outside
1320,d00 Mon 22:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,outside,outside,outside,kitchen,outside
1380,d00 Mon 23:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,outside,outside,outside,kitchen,outside
1440,d01 Tue 00:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,outside,outside,outside,kitchen,outside
1500,d01 Tue 01:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,outside,outside,outside,kitchen,outside
1560,d01 Tue 02:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,outside,outside,outside,kitchen,outside
1620,d01 Tue 03:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,outside,outside,outside,kitchen,outside
1680,d01 Tue 04:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,outside,outside,outside,kitchen,outside
1740,d01 Tue 05:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,outside,outside,outside,kitchen,outside
1800,d01 Tue 06:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,outside,outside,outside,kitchen,outside
1860,d01 Tue 07:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
1920,d01 Tue 08:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
1980,d01 Tue 09:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
2040,d01 Tue 10:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
2100,d01 Tue 11:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
2160,d01 Tue 12:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
2220,d01 Tue 13:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
2280,d01 Tue 14:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
2340,d01 Tue 15:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
2400,d01 Tue 16:00,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
2460,d01 Tue 17:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
2520,d01 Tue 18:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
2580,d01 Tue 19:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,kitchen,entry,bedroom,kitchen,living
2640,d01 Tue 20:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,kitchen,entry,bedroom,kitchen,living
2700,d01 Tue 21:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,kitchen,entry,bedroom,kitchen,living
2760,d01 Tue 22:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,kitchen,entry,bedroom,kitchen,living
2820,d01 Tue 23:00,bedroom,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,kitchen,entry,bedroom,kitchen,living
2880,d02 Wed 00:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
2940,d02 Wed 01:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
3000,d02 Wed 02:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
3060,d02 Wed 03:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
3120,d02 Wed 04:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
3180,d02 Wed 05:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
3240,d02 Wed 06:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
3300,d02 Wed 07:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,entry,bedroom,kitchen,living
3360,d02 Wed 08:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
3420,d02 Wed 09:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
3480,d02 Wed 10:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
3540,d02 Wed 11:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
3600,d02 Wed 12:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
3660,d02 Wed 13:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
3720,d02 Wed 14:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
3780,d02 Wed 15:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
3840,d02 Wed 16:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
3900,d02 Wed 17:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
3960,d02 Wed 18:00,living,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
4020,d02 Wed 19:00,living,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
4080,d02 Wed 20:00,living,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
4140,d02 Wed 21:00,living,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
4200,d02 Wed 22:00,living,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
4260,d02 Wed 23:00,living,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
4320,d03 Thu 00:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom,living,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bedroom,bathroom,bathroom,entry,bedroom,kitchen,living
4380,d03 Thu 01:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bedroom,bathroom,outside,outside,outside,kitchen,outside
4440,d03 Thu 02:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bedroom,bathroom,outside,outside,outside,kitchen,outside
4500,d03 Thu 03:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bedroom,bathroom,outside,outside,outside,kitchen,outside
4560,d03 Thu 04:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bedroom,bathroom,outside,outside,outside,kitchen,outside
4620,d03 Thu 05:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bedroom,bathroom,outside,outside,outside,kitchen,outside
4680,d03 Thu 06:00,bedroom,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bedroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
4740,d03 Thu 07:00,bedroom,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,bedroom,bedroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
4800,d03 Thu 08:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
4860,d03 Thu 09:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
4920,d03 Thu 10:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
4980,d03 Thu 11:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
5040,d03 Thu 12:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
5100,d03 Thu 13:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
5160,d03 Thu 14:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
5220,d03 Thu 15:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
5280,d03 Thu 16:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
5340,d03 Thu 17:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
5400,d03 Thu 18:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
5460,d03 Thu 19:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
5520,d03 Thu 20:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
5580,d03 Thu 21:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
5640,d03 Thu 22:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
5700,d03 Thu 23:00,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,bathroom,kitchen,bedroom,kitchen,living
5760,d04 Fri 00:00,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,kitchen,kitchen,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom,bathroom,bathroom,outside,outside,outside,kitchen,outside
