t,stamp,bowl_1,bowl_2,plate_1,mug_1,mug_2,phone_marisol,charger_1,keys_marisol,wallet_marisol,water_bottle_1,book_1,headphones_1,medication_bottle_1,blanket_1,jacket_marisol,remote_1,umbrella_1
900,d00 Mon 15:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
960,d00 Mon 16:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
1020,d00 Mon 17:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
1080,d00 Mon 18:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
1140,d00 Mon 19:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
1200,d00 Mon 20:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
1260,d00 Mon 21:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,entry,kitchen,bedroom,kitchen,bedroom,living,entry,living,entry
1320,d00 Mon 22:00,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom,living,bedroom,living,entry,living,entry
1380,d00 Mon 23:00,entry,kitchen,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,living,outside,living,entry
1440,d01 Tue 00:00,entry,kitchen,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,living,outside,living,entry
1500,d01 Tue 01:00,entry,kitchen,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,living,outside,living,entry
1560,d01 Tue 02:00,entry,kitchen,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,living,outside,living,entry
1620,d01 Tue 03:00,entry,kitchen,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,living,outside,living,entry
1680,d01 Tue 04:00,entry,kitchen,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,living,outside,living,entry
1740,d01 Tue 05:00,entry,kitchen,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,living,outside,living,entry
1800,d01 Tue 06:00,entry,kitchen,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,living,outside,living,entry
1860,d01 Tue 07:00,entry,kitchen,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,living,outside,living,entry
1920,d01 Tue 08:00,entry,kitchen,living,living,kitchen,living,kitchen,entry,entry,kitchen,bedroom,living,bedroom,living,kitchen,living,entry
1980,d01 Tue 09:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom,bathroom,bedroom,bedroom,kitchen,living,entry
2040,d01 Tue 10:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom,bathroom,bedroom,bedroom,kitchen,living,entry
2100,d01 Tue 11:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom,bathroom,bedroom,bedroom,kitchen,living,entry
2160,d01 Tue 12:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom,bathroom,bedroom,bedroom,kitchen,living,entry
2220,d01 Tue 13:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom,bathroom,bedroom,bedroom,kitchen,living,entry
2280,d01 Tue 14:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom,bathroom,bedroom,bedroom,kitchen,living,entry
2340,d01 Tue 15:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom,bathroom,bedroom,bedroom,kitchen,living,entry
2400,d01 Tue 16:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom,bathroom,bedroom,bedroom,kitchen,living,entry
2460,d01 Tue 17:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom,bathroom,bedroom,bedroom,kitchen,living,entry
2520,d01 Tue 18:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom,bathroom,bedroom,bedroom,kitchen,living,entry
2580,d01 Tue 19:00,entry,kitchen,kitchen,living,kitchen,outside,kitchen,outside,outside,kitchen,bedroom,bathroom,bedroom,bedroom,outside,living,entry
2640,d01 Tue 20:00,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,bedroom,bathroom,bedroom,bedroom,kitchen,living,entry
2700,d01 Tue 21:00,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,bedroom,bathroom,bedroom,bedroom,kitchen,living,entry
2760,d01 Tue 22:00,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,bedroom,bathroom,bedroom,bedroom,kitchen,living,entry
2820,d01 Tue 23:00,entry,kitchen,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
2880,d02 Wed 00:00,entry,kitchen,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
2940,d02 Wed 01:00,entry,kitchen,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
3000,d02 Wed 02:00,entry,kitchen,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
3060,d02 Wed 03:00,entry,kitchen,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
3120,d02 Wed 04:00,entry,kitchen,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
3180,d02 Wed 05:00,entry,kitchen,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
3240,d02 Wed 06:00,entry,kitchen,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
3300,d02 Wed 07:00,entry,kitchen,kitchen,living,kitchen,entry,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
3360,d02 Wed 08:00,entry,kitchen,kitchen,living,kitchen,entry,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
3420,d02 Wed 09:00,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,living,kitchen,living,entry
3480,d02 Wed 10:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
3540,d02 Wed 11:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
3600,d02 Wed 12:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
3660,d02 Wed 13:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
3720,d02 Wed 14:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
3780,d02 Wed 15:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
3840,d02 Wed 16:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
3900,d02 Wed 17:00,entry,living,living,living,kitchen,living,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
3960,d02 Wed 18:00,entry,living,living,living,kitchen,living,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
4020,d02 Wed 19:00,entry,living,living,living,kitchen,living,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
4080,d02 Wed 20:00,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
4140,d02 Wed 21:00,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
4200,d02 Wed 22:00,entry,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
4260,d02 Wed 23:00,entry,kitchen,living,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
4320,d03 Thu 00:00,entry,kitchen,living,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
4380,d03 Thu 01:00,entry,kitchen,living,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
4440,d03 Thu 02:00,entry,kitchen,living,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
4500,d03 Thu 03:00,entry,kitchen,living,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
4560,d03 Thu 04:00,entry,kitchen,living,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
4620,d03 Thu 05:00,entry,kitchen,living,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
4680,d03 Thu 06:00,entry,kitchen,living,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
4740,d03 Thu 07:00,entry,kitchen,living,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,kitchen,bedroom,bedroom,outside,living,entry
4800,d03 Thu 08:00,entry,kitchen,living,living,kitchen,living,kitchen,entry,entry,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
4860,d03 Thu 09:00,entry,kitchen,living,living,kitchen,living,kitchen,entry,entry,living,bedroom,kitchen,bedroom,living,kitchen,living,entry
4920,d03 Thu 10:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,entry,entry,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
4980,d03 Thu 11:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,entry,entry,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
5040,d03 Thu 12:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,entry,entry,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
5100,d03 Thu 13:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,entry,entry,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
5160,d03 Thu 14:00,entry,kitchen,living,living,kitchen,kitchen,kitchen,entry,entry,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
5220,d03 Thu 15:00,entry,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
5280,d03 Thu 16:00,entry,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
5340,d03 Thu 17:00,entry,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
5400,d03 Thu 18:00,entry,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
5460,d03 Thu 19:00,entry,living,kitchen,living,kitchen,living,kitchen,entry,entry,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
5520,d03 Thu 20:00,entry,living,kitchen,living,kitchen,living,kitchen,entry,entry,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
5580,d03 Thu 21:00,entry,living,kitchen,living,kitchen,living,kitchen,entry,entry,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
5640,d03 Thu 22:00,entry,living,kitchen,living,kitchen,living,kitchen,entry,entry,living,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry
5700,d03 Thu 23:00,entry,living,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,bathroom,bedroom,living,outside,living,entry
5760,d04 Fri 00:00,entry,living,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,bathroom,bedroom,living,outside,living,entry
5820,d04 Fri 01:00,entry,living,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,bathroom,bedroom,living,outside,living,entry
5880,d04 Fri 02:00,entry,living,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,bathroom,bedroom,living,outside,living,entry
5940,d04 Fri 03:00,entry,living,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,bathroom,bedroom,living,outside,living,entry
6000,d04 Fri 04:00,entry,living,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,bathroom,bedroom,living,outside,living,entry
6060,d04 Fri 05:00,entry,living,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,bathroom,bedroom,living,outside,living,entry
6120,d04 Fri 06:00,entry,living,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,bathroom,bedroom,living,outside,living,entry
6180,d04 Fri 07:00,entry,living,kitchen,living,kitchen,outside,kitchen,outside,outside,outside,bedroom,bathroom,bedroom,living,outside,living,entry
6240,d04 Fri 08:00,entry,living,living,living,kitchen,living,kitchen,kitchen,kitchen,living,bedroom,bathroom,bedroom,living,entry,living,entry
6300,d04 Fri 09:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,entry,living,entry
6360,d04 Fri 10:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,entry,living,entry
6420,d04 Fri 11:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,entry,living,entry
6480,d04 Fri 12:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,entry,living,entry
6540,d04 Fri 13:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,entry,living,entry
6600,d04 Fri 14:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,entry,living,entry
6660,d04 Fri 15:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,entry,living,entry
6720,d04 Fri 16:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,entry,living,entry
6780,d04 Fri 17:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,entry,living,entry
6840,d04 Fri 18:00,entry,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,entry,living,entry
6900,d04 Fri 19:00,entry,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,entry,living,entry
6960,d04 Fri 20:00,entry,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,entry,living,entry
7020,d04 Fri 21:00,entry,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,bedroom,kitchen,bedroom,bedroom,entry,living,entry
7080,d04 Fri 22:00,entry,living,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,bedroom,entry,living,entry
7140,d04 Fri 23:00,entry,living,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,bedroom,outside,living,outside
7200,d05 Sat 00:00,entry,living,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,bedroom,outside,living,outside
7260,d05 Sat 01:00,entry,living,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,bedroom,outside,living,outside
7320,d05 Sat 02:00,entry,living,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,bedroom,outside,living,outside
7380,d05 Sat 03:00,entry,living,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,bedroom,outside,living,outside
7440,d05 Sat 04:00,entry,living,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,bedroom,outside,living,outside
7500,d05 Sat 05:00,entry,living,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,bedroom,outside,living,outside
7560,d05 Sat 06:00,entry,living,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,bedroom,outside,living,outside
7620,d05 Sat 07:00,entry,living,kitchen,kitchen,kitchen,outside,kitchen,outside,outside,outside,bedroom,living,bedroom,bedroom,outside,living,outside
7680,d05 Sat 08:00,entry,living,living,living,kitchen,living,kitchen,kitchen,entry,kitchen,bedroom,living,bedroom,bedroom,kitchen,living,entry
7740,d05 Sat 09:00,entry,living,living,living,kitchen,living,kitchen,kitchen,entry,kitchen,bedroom,living,bedroom,living,kitchen,living,entry
7800,d05 Sat 10:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,living,bedroom,bedroom,kitchen,living,entry
7860,d05 Sat 11:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,living,bedroom,bedroom,kitchen,living,entry
7920,d05 Sat 12:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,living,bedroom,bedroom,kitchen,living,entry
7980,d05 Sat 13:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,living,bedroom,bedroom,kitchen,living,entry
8040,d05 Sat 14:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,living,bedroom,bedroom,kitchen,living,entry
8100,d05 Sat 15:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,living,bedroom,bedroom,kitchen,living,entry
8160,d05 Sat 16:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,living,bedroom,bedroom,kitchen,living,entry
8220,d05 Sat 17:00,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,living,bedroom,bedroom,kitchen,living,entry
8280,d05 Sat 18:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,bedroom,living,bedroom,bedroom,kitchen,living,entry
8340,d05 Sat 19:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,bedroom,living,bedroom,bedroom,kitchen,living,entry
8400,d05 Sat 20:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,bedroom,kitchen,bedroom,living,kitchen,living,entry
8460,d05 Sat 21:00,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,kitchen,bedroom,living,kitchen,living,entry
8520,d05 Sat 22:00,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,bedroom,kitchen,bedroom,living,kitchen,living,entry
8580,d05 Sat 23:00,entry,kitchen,living,living,living,living,kitchen,kitchen,entry,kitchen,bedroom,kitchen,bedroom,living,kitchen,living,entry
8640,d06 Sun 00:00,entry,kitchen,living,living,living,living,kitchen,kitchen,entry,kitchen,bedroom,kitchen,bedroom,living,kitchen,living,entry
8700,d06 Sun 01:00,entry,kitchen,living,living,living,living,kitchen,kitchen,entry,kitchen,bedroom,kitchen,bedroom,living,kitchen,living,entry
8760,d06 Sun 02:00,entry,kitchen,living,living,living,living,kitchen,kitchen,entry,living,bedroom,kitchen,bedroom,living,kitchen,living,entry
8820,d06 Sun 03:00,entry,kitchen,living,living,living,living,kitchen,kitchen,entry,living,bedroom,kitchen,bedroom,living,kitchen,living,entry
8880,d06 Sun 04:00,entry,kitchen,living,living,living,living,kitchen,kitchen,entry,living,bedroom,kitchen,bedroom,living,kitchen,living,entry
8940,d06 Sun 05:00,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,living,bedroom,kitchen,bedroom,living,kitchen,living,entry
9000,d06 Sun 06:00,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,living,bedroom,kitchen,bedroom,living,kitchen,living,entry
9060,d06 Sun 07:00,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,living,bedroom,kitchen,bedroom,living,kitchen,living,entry
9120,d06 Sun 08:00,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,living,bedroom,kitchen,bedroom,living,kitchen,living,entry
9180,d06 Sun 09:00,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,entry,living,bedroom,kitchen,bedroom,living,kitchen,living,entry
9240,d06 Sun 10:00,entry,kitchen,living,living,living,kitchen,kitchen,kitchen,entry,living,living,kitchen,bedroom,living,kitchen,living,entry
9300,d06 Sun 11:00,entry,kitchen,living,living,living,kitchen,kitchen,kitchen,entry,living,living,kitchen,bedroom,living,kitchen,living,entry
9360,d06 Sun 12:00,entry,kitchen,living,living,living,kitchen,kitchen,kitchen,entry,living,living,kitchen,bedroom,living,kitchen,living,entry
9420,d06 Sun 13:00,entry,kitchen,living,living,living,kitchen,kitchen,kitchen,entry,living,living,kitchen,bedroom,living,kitchen,living,entry
9480,d06 Sun 14:00,entry,kitchen,living,living,living,kitchen,kitchen,kitchen,entry,living,living,kitchen,bedroom,living,kitchen,living,entry
9540,d06 Sun 15:00,entry,kitchen,living,living,living,kitchen,kitchen,kitchen,entry,living,living,kitchen,bedroom,living,kitchen,living,entry
9600,d06 Sun 16:00,entry,kitchen,living,living,living,kitchen,kitchen,kitchen,entry,living,living,kitchen,bedroom,living,kitchen,living,entry
9660,d06 Sun 17:00,entry,living,living,kitchen,living,living,kitchen,kitchen,entry,living,living,kitchen,bedroom,living,kitchen,living,entry
9720,d06 Sun 18:00,entry,living,living,kitchen,living,living,kitchen,kitchen,entry,living,living,kitchen,bedroom,living,kitchen,living,entry
9780,d06 Sun 19:00,entry,living,living,kitchen,living,living,kitchen,kitchen,entry,living,living,kitchen,bedroom,living,kitchen,living,entry
9840,d06 Sun 20:00,entry,living,living,kitchen,living,living,kitchen,kitchen,entry,living,living,kitchen,bedroom,living,kitchen,living,entry
9900,d06 Sun 21:00,entry,living,living,kitchen,living,living,kitchen,kitchen,entry,living,living,kitchen,bedroom,living,kitchen,living,entry
9960,d06 Sun 22:00,entry,living,living,kitchen,living,living,kitchen,kitchen,entry,living,living,living,bedroom,living,kitchen,living,entry
10020,d06 Sun 23:00,entry,living,living,kitchen,living,living,kitchen,kitchen,entry,living,living,living,bedroom,living,kitchen,living,entry
10080,d07 Mon 00:00,entry,living,living,kitchen,living,living,kitchen,kitchen,entry,living,living,living,bedroom,living,kitchen,living,entry
10140,d07 Mon 01:00,entry,living,living,kitchen,living,living,kitchen,kitchen,entry,living,living,living,bedroom,living,kitchen,living,entry
10200,d07 Mon 02:00,entry,living,living,kitchen,living,living,kitchen,kitchen,entry,living,living,living,bedroom,living,kitchen,living,entry
10260,d07 Mon 03:00,entry,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,living,bedroom,living,kitchen,living,entry
10320,d07 Mon 04:00,entry,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,living,bedroom,living,kitchen,living,entry
10380,d07 Mon 05:00,entry,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,living,bedroom,living,kitchen,living,entry
10440,d07 Mon 06:00,entry,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,living,bedroom,living,kitchen,living,entry
10500,d07 Mon 07:00,entry,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,living,bedroom,living,kitchen,living,entry
10560,d07 Mon 08:00,entry,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,living,living,bedroom,living,kitchen,living,entry
10620,d07 Mon 09:00,entry,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,bedroom,living,bedroom,living,kitchen,living,entry
