t,stamp,phone_elena,keys_elena,wallet_elena,backpack_elena,jacket_elena,water_bottle_elena,lunchbox_elena,laptop_elena,charger_elena,notebook_elena,pen_elena,glasses_elena,headphones_elena,mug_elena,bowl_1,bowl_2,plate_1,plate_2,pot_1,pan_1,book_elena,blanket_elena,remote_1,watering_can_elena,umbrella_elena,laundry_basket_elena,towel_1,hairbrush_elena,medication_bottle_elena,suitcase_elena
900,d00 Mon 15:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
960,d00 Mon 16:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
1020,d00 Mon 17:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
1080,d00 Mon 18:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
1140,d00 Mon 19:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
1200,d00 Mon 20:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
1260,d00 Mon 21:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
1320,d00 Mon 22:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
1380,d00 Mon 23:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
1440,d01 Tue 00:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
1500,d01 Tue 01:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
1560,d01 Tue 02:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
1620,d01 Tue 03:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
1680,d01 Tue 04:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
1740,d01 Tue 05:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
1800,d01 Tue 06:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
1860,d01 Tue 07:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
1920,d01 Tue 08:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
1980,d01 Tue 09:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
2040,d01 Tue 10:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
2100,d01 Tue 11:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
2160,d01 Tue 12:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
2220,d01 Tue 13:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
2280,d01 Tue 14:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
2340,d01 Tue 15:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
2400,d01 Tue 16:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
2460,d01 Tue 17:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
2520,d01 Tue 18:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
2580,d01 Tue 19:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
2640,d01 Tue 20:00,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
2700,d01 Tue 21:00,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
2760,d01 Tue 22:00,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
2820,d01 Tue 23:00,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
2880,d02 Wed 00:00,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
2940,d02 Wed 01:00,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
3000,d02 Wed 02:00,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
3060,d02 Wed 03:00,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
3120,d02 Wed 04:00,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
3180,d02 Wed 05:00,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
3240,d02 Wed 06:00,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
3300,d02 Wed 07:00,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
3360,d02 Wed 08:00,entry,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
3420,d02 Wed 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
3480,d02 Wed 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
3540,d02 Wed 11:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
3600,d02 Wed 12:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
3660,d02 Wed 13:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
3720,d02 Wed 14:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
3780,d02 Wed 15:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
3840,d02 Wed 16:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
3900,d02 Wed 17:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
3960,d02 Wed 18:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
4020,d02 Wed 19:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
4080,d02 Wed 20:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,bedroom
4140,d02 Wed 21:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,bedroom
4200,d02 Wed 22:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,bedroom
4260,d02 Wed 23:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,bedroom
4320,d03 Thu 00:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,bedroom
4380,d03 Thu 01:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,bedroom
4440,d03 Thu 02:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,bedroom
4500,d03 Thu 03:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,bedroom
4560,d03 Thu 04:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,bedroom
4620,d03 Thu 05:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,bedroom
4680,d03 Thu 06:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,bedroom
4740,d03 Thu 07:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,bedroom
4800,d03 Thu 08:00,entry,entry,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,bedroom,bathroom,bedroom,bathroom,bedroom
4860,d03 Thu 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
4920,d03 Thu 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
4980,d03 Thu 11:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
5040,d03 Thu 12:00,outside,kitchen,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
5100,d03 Thu 13:00,outside,kitchen,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
5160,d03 Thu 14:00,outside,kitchen,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
5220,d03 Thu 15:00,outside,kitchen,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
5280,d03 Thu 16:00,outside,kitchen,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
5340,d03 Thu 17:00,outside,kitchen,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
5400,d03 Thu 18:00,outside,kitchen,outside,outside,outside,outside,outside,kitchen,outside,kitchen,kitchen,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
5460,d03 Thu 19:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
5520,d03 Thu 20:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
5580,d03 Thu 21:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
5640,d03 Thu 22:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
5700,d03 Thu 23:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
5760,d04 Fri 00:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
5820,d04 Fri 01:00,entry,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,entry,bedroom,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
