t,stamp,phone_marisol,keys_marisol,wallet_marisol,laptop_marisol,mug_marisol,water_bottle_marisol,jacket_marisol,book_marisol,glasses_marisol,medication_bottle_marisol,hairbrush_marisol,yoga_mat_marisol,phone_nia,backpack_nia,tablet_nia,notebook_nia,headphones_nia,water_bottle_nia,lunchbox_nia,blanket_nia,phone_tessa,keys_tessa,wallet_tessa,backpack_tessa,laptop_tessa,charger_tessa,water_bottle_tessa,jacket_tessa,towel_tessa,makeup_kit_tessa,remote_1,gaming_controller_1,laundry_basket_1,vacuum_cleaner_1,pot_1,pan_1,umbrella_1
960,d00 Mon 16:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
1020,d00 Mon 17:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,bathroom,bedroom_1,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
1080,d00 Mon 18:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,bathroom,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,entry,bedroom_1,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
1140,d00 Mon 19:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,bathroom,bedroom_1,living,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,entry,bedroom_1,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
1200,d00 Mon 20:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,bathroom,bedroom_1,living,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,entry,bedroom_1,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
1260,d00 Mon 21:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,kitchen,bedroom_2,living,bathroom,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
1320,d00 Mon 22:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,bathroom,bedroom_1,living,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
1380,d00 Mon 23:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,bathroom,bedroom_1,living,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
1440,d01 Tue 00:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,bathroom,bedroom_1,living,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
1500,d01 Tue 01:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,bathroom,bedroom_1,living,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
1560,d01 Tue 02:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,bathroom,bedroom_1,living,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
1620,d01 Tue 03:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,bathroom,bedroom_1,living,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
1680,d01 Tue 04:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,bathroom,bedroom_1,living,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
1740,d01 Tue 05:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,kitchen,bathroom,bedroom_1,living,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
1800,d01 Tue 06:00,kitchen,entry,kitchen,bedroom_1,kitchen,bathroom,kitchen,bedroom_1,bedroom_2,bathroom,bathroom,bedroom_1,living,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
1860,d01 Tue 07:00,kitchen,entry,kitchen,bedroom_1,kitchen,bathroom,kitchen,bedroom_1,bedroom_2,bathroom,bathroom,bedroom_1,living,kitchen,kitchen,bedroom_2,living,bedroom_1,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,entry,bathroom,bedroom_2,living,living,bedroom_1,entry,kitchen,kitchen,entry
1920,d01 Tue 08:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,living,kitchen,kitchen,bedroom_2,living,bedroom_1,kitchen,living,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,outside,bathroom,bathroom,living,living,bedroom_1,entry,kitchen,kitchen,entry
1980,d01 Tue 09:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,living,kitchen,kitchen,bedroom_2,living,bedroom_1,kitchen,living,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,outside,bathroom,bathroom,living,living,bedroom_1,entry,kitchen,kitchen,entry
2040,d01 Tue 10:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,outside,outside,kitchen,bedroom_2,living,outside,outside,living,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,outside,bathroom,bathroom,living,living,bedroom_1,entry,kitchen,kitchen,entry
2100,d01 Tue 11:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,outside,outside,kitchen,bedroom_2,living,outside,outside,living,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,outside,bathroom,bathroom,living,living,bedroom_1,entry,kitchen,kitchen,entry
2160,d01 Tue 12:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,outside,outside,kitchen,bedroom_2,living,outside,outside,living,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,outside,bathroom,bathroom,living,living,bedroom_1,entry,kitchen,kitchen,entry
2220,d01 Tue 13:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,outside,outside,kitchen,bedroom_2,living,outside,outside,living,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,outside,bathroom,bathroom,living,living,bedroom_1,entry,kitchen,kitchen,entry
2280,d01 Tue 14:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,outside,outside,kitchen,bedroom_2,living,outside,outside,living,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,outside,bathroom,bathroom,living,living,bedroom_1,entry,kitchen,kitchen,entry
2340,d01 Tue 15:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,bathroom,bathroom,bedroom_1,outside,outside,kitchen,bedroom_2,living,outside,outside,living,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,outside,bathroom,bathroom,living,living,bedroom_1,entry,kitchen,kitchen,entry
2400,d01 Tue 16:00,outside,outside,outside,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,outside,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bathroom,living,living,bedroom_1,entry,kitchen,kitchen,entry
2460,d01 Tue 17:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,entry,bathroom,bathroom,living,living,bedroom_1,entry,kitchen,kitchen,entry
2520,d01 Tue 18:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,kitchen,entry,bathroom,bathroom,living,living,bedroom_1,entry,kitchen,kitchen,entry
2580,d01 Tue 19:00,living,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bedroom_1,entry,kitchen,kitchen,entry
2640,d01 Tue 20:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bedroom_1,entry,kitchen,kitchen,entry
2700,d01 Tue 21:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
2760,d01 Tue 22:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
2820,d01 Tue 23:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
2880,d02 Wed 00:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
2940,d02 Wed 01:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
3000,d02 Wed 02:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
3060,d02 Wed 03:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
3120,d02 Wed 04:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
3180,d02 Wed 05:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_1,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
3240,d02 Wed 06:00,bedroom_1,entry,kitchen,bedroom_1,kitchen,bathroom,kitchen,bedroom_1,bedroom_1,kitchen,bathroom,bedroom_1,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
3300,d02 Wed 07:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
3360,d02 Wed 08:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
3420,d02 Wed 09:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bathroom,bedroom_2,living,living,bathroom,entry,kitchen,kitchen,entry
3480,d02 Wed 10:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,outside,outside,bedroom_2,kitchen,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
3540,d02 Wed 11:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,outside,outside,bedroom_2,kitchen,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
3600,d02 Wed 12:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,outside,outside,bedroom_2,kitchen,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
3660,d02 Wed 13:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,outside,outside,bedroom_2,kitchen,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
3720,d02 Wed 14:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,outside,outside,bedroom_2,kitchen,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
3780,d02 Wed 15:00,outside,outside,outside,bedroom_1,kitchen,outside,outside,bedroom_1,outside,kitchen,bathroom,bedroom_1,outside,outside,bedroom_2,kitchen,bedroom_2,outside,outside,living,outside,outside,outside,outside,bedroom_2,kitchen,outside,outside,bathroom,bathroom,living,living,bathroom,entry,kitchen,kitchen,entry
3840,d02 Wed 16:00,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,bathroom,bedroom_1,living,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,living,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,kitchen,entry,bedroom_2,bathroom,living,living,bedroom_2,entry,kitchen,kitchen,entry
3900,d02 Wed 17:00,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,bathroom,bedroom_1,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,bathroom,living,living,bedroom_2,entry,kitchen,kitchen,entry
3960,d02 Wed 18:00,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,bathroom,bedroom_1,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,living,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,kitchen,entry,bedroom_2,bathroom,living,living,bedroom_2,entry,kitchen,kitchen,entry
4020,d02 Wed 19:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,bathroom,bedroom_1,living,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,living,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,kitchen,entry,bedroom_2,bathroom,living,living,bedroom_2,entry,kitchen,kitchen,entry
4080,d02 Wed 20:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,bathroom,bedroom_1,living,kitchen,living,kitchen,bedroom_2,kitchen,kitchen,living,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,kitchen,entry,bedroom_2,bathroom,living,living,bedroom_2,entry,kitchen,kitchen,entry
4140,d02 Wed 21:00,entry,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,living,kitchen,bedroom_2,bathroom,kitchen,living,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,kitchen,entry,bathroom,bathroom,living,living,bedroom_2,entry,kitchen,kitchen,entry
