t,stamp,mug_marian,mug_theo,bowl_shared_1,plate_shared_1,laptop_marian,phone_marian,phone_theo,tablet_theo,keys_marian,keys_theo,wallet_marian,wallet_theo,book_marian,book_theo,water_bottle_marian,water_bottle_theo,remote_shared_1,charger_marian,charger_theo,backpack_marian,backpack_theo,jacket_marian,jacket_theo,glasses_marian,glasses_theo,notebook_marian,notebook_theo,pen_marian,medication_bottle_marian,medication_bottle_theo,blanket_marian,blanket_theo,towel_shared_1,umbrella_shared_1,laundry_basket_shared_1,vacuum_cleaner_shared_1,pot_shared_1,pan_shared_1,watering_can_marian,yoga_mat_theo
960,d00 Mon 16:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,entry,entry,kitchen,kitchen,living,entry,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
1020,d00 Mon 17:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
1080,d00 Mon 18:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
1140,d00 Mon 19:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
1200,d00 Mon 20:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
1260,d00 Mon 21:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
1320,d00 Mon 22:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
1380,d00 Mon 23:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
1440,d01 Tue 00:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
1500,d01 Tue 01:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
1560,d01 Tue 02:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
1620,d01 Tue 03:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
1680,d01 Tue 04:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
1740,d01 Tue 05:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
1800,d01 Tue 06:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,living,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
1860,d01 Tue 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen
1920,d01 Tue 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,outside,entry,outside,living,kitchen,entry,outside,living,kitchen,living,kitchen,outside,entry,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,outside
1980,d01 Tue 09:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,living,kitchen,living,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,outside
2040,d01 Tue 10:00,kitchen,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,entry,outside,entry,outside,kitchen,outside,kitchen,living,kitchen,living,outside,entry,outside,kitchen,kitchen,kitchen,kitchen,kitchen,outside,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
2100,d01 Tue 11:00,living,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,entry,outside,entry,outside,living,outside,kitchen,living,kitchen,living,outside,entry,outside,kitchen,kitchen,living,kitchen,kitchen,outside,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
2160,d01 Tue 12:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,kitchen,kitchen,entry,living,kitchen,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
2220,d01 Tue 13:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,entry,entry,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
2280,d01 Tue 14:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,entry,entry,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
2340,d01 Tue 15:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,entry,kitchen,living,living,kitchen,entry,living,kitchen,living,entry,entry,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
2400,d01 Tue 16:00,living,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,entry,outside,kitchen,outside,living,outside,entry,living,kitchen,living,outside,entry,outside,kitchen,kitchen,living,kitchen,kitchen,outside,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
2460,d01 Tue 17:00,living,kitchen,kitchen,kitchen,outside,outside,kitchen,living,outside,entry,outside,kitchen,outside,living,outside,entry,living,kitchen,living,outside,entry,outside,kitchen,kitchen,living,kitchen,kitchen,outside,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
2520,d01 Tue 18:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
2580,d01 Tue 19:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
2640,d01 Tue 20:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
2700,d01 Tue 21:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
2760,d01 Tue 22:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
2820,d01 Tue 23:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
2880,d02 Wed 00:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
2940,d02 Wed 01:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
3000,d02 Wed 02:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
3060,d02 Wed 03:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
3120,d02 Wed 04:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
3180,d02 Wed 05:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
3240,d02 Wed 06:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bathroom,entry,bedroom_2,entry,kitchen,kitchen,entry,living
3300,d02 Wed 07:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,living,entry,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,living,bedroom_2,entry,bedroom_2,entry,kitchen,kitchen,entry,living
3360,d02 Wed 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
3420,d02 Wed 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,entry,entry,entry,entry,living,kitchen,entry,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,living
3480,d02 Wed 10:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,entry,entry,kitchen,kitchen,entry,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
3540,d02 Wed 11:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,living,kitchen,entry,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,kitchen,kitchen,living,living,bedroom_2,entry,bedroom_2,entry,kitchen,kitchen,entry,living
3600,d02 Wed 12:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,living,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,bedroom_2,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
3660,d02 Wed 13:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,living,kitchen,entry,kitchen,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
3720,d02 Wed 14:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,living,kitchen,entry,kitchen,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
3780,d02 Wed 15:00,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,living,kitchen,entry,kitchen,entry,living,living,kitchen,kitchen,kitchen,kitchen,living,entry,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
3840,d02 Wed 16:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,entry,living,living,kitchen,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
3900,d02 Wed 17:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,entry,living,living,kitchen,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
3960,d02 Wed 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,entry,living,living,kitchen,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
4020,d02 Wed 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,entry,living,living,kitchen,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
4080,d02 Wed 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,entry,living,living,kitchen,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
4140,d02 Wed 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,entry,living,living,kitchen,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
4200,d02 Wed 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,entry,living,living,kitchen,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
4260,d02 Wed 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,entry,living,living,kitchen,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
4320,d03 Thu 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,entry,living,living,kitchen,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
4380,d03 Thu 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,entry,living,living,kitchen,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
4440,d03 Thu 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,entry,living,living,kitchen,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
4500,d03 Thu 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,entry,living,living,kitchen,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
4560,d03 Thu 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,entry,kitchen,entry,living,living,kitchen,kitchen,living,kitchen,living,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,entry,bedroom_2,entry,kitchen,kitchen,kitchen,living
