scene_id,n_bedrooms,n_bathrooms,has_kitchen,has_dining,has_living,has_office,n_primary_types,n_primary_instances,n_named_regions,room_breakdown
102816852,1,1,1,0,1,1,5,5,11,bathroom:1;bedroom:1;closet:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;office:1;other room:1;outdoor:1;toilet:1
102817053,1,1,1,1,1,1,6,6,12,bathroom:1;bedroom:1;closet:2;dining_room:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;office:1;other room:1;toilet:1
102817140,2,2,1,0,1,0,4,6,10,bathroom:2;bedroom:2;entryway:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;other room:1
102817200,1,1,1,0,1,0,4,4,7,bathroom:1;bedroom:1;garage:1;hallway:1;kitchen:1;living_room:1;other room:1
103997403_171030405,2,1,1,0,0,0,4,5,8,bathroom:1;bedroom:2;dining booth:1;entryway:1;kitchen:1;outdoor:1;rec/game:1
103997424_171030444,1,1,1,1,1,1,6,6,7,bathroom:1;bedroom:1;dining_room:1;hallway:1;kitchen:1;living_room:1;office:1
103997445_171030492,4,2,1,0,0,0,4,8,12,bar:1;bathroom:2;bedroom:4;hallway:1;kitchen:1;lounge:1;other room:1;tv:1
103997460_171030507,1,1,1,1,1,0,5,5,9,bathroom:1;bedroom:1;closet:1;dining_room:1;hallway:1;kitchen:1;living_room:1;outdoor:1;terrace:1
103997478_171030525,1,1,1,1,0,1,7,7,16,bathroom:1;bedroom:1;dining_room:1;entryway:1;gym:1;hallway:2;kitchen:1;laundryroom:1;office:1;outdoor:1;rec/game:1;sauna:1;swimming pool:1;toilet:1;tv:1
103997478_171030528,3,3,1,1,0,0,4,8,14,balcony:1;bathroom:3;bedroom:3;closet:2;dining_room:1;hallway:1;kitchen:1;other room:1;tv:1
103997541_171030615,3,1,1,0,1,0,4,6,11,bathroom:1;bedroom:3;entryway:1;garage:1;kitchen:1;living_room:1;other room:1;outdoor:2
103997562_171030642,3,2,1,1,0,0,4,7,14,bathroom:2;bedroom:3;closet:2;dining_room:1;hallway:1;kitchen:1;laundryroom:1;outdoor:1;toilet:1;tv:1
103997586_171030666,0,0,1,1,1,0,3,3,8,bar:1;dining_room:1;kitchen:1;living_room:1;other room:2;outdoor:2
103997586_171030669,3,2,1,0,1,1,5,8,14,bathroom:2;bedroom:3;closet:2;entryway:1;hallway:1;kitchen:1;living_room:1;office:1;other room:1;terrace:1
103997613_171030702,4,3,1,1,0,0,4,9,15,bathroom:3;bedroom:4;dining_room:1;hallway:2;kitchen:1;other room:1;outdoor:2;terrace:1
103997643_171030747,3,2,1,0,1,0,4,7,10,balcony:1;bathroom:2;bedroom:3;foyer:1;kitchen:1;laundryroom:1;living_room:1
103997718_171030855,0,0,1,1,0,0,3,3,16,dining_room:1;hallway:1;kitchen:1;other room:1;outdoor:1;rec/game:1;toilet:10
103997781_171030978,2,2,1,1,1,1,6,8,12,bathroom:2;bedroom:2;dining_room:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;office:1;outdoor:2
103997799_171031002,4,4,1,0,0,0,4,15,21,bathroom:4;bedroom:4;familyroom:3;hallway:5;kitchen:4;tv:1
103997895_171031182,2,2,1,0,1,0,4,6,9,bathroom:2;bedroom:2;closet:1;hallway:1;kitchen:1;laundryroom:1;living_room:1
103997919_171031233,1,1,1,0,1,0,4,4,5,bathroom:1;bedroom:1;closet:1;kitchen:1;living_room:1
103997940_171031257,7,5,1,1,1,1,7,17,36,bathroom:5;bedroom:7;closet:5;dining_room:1;garage:3;gym:1;hallway:2;kitchen:1;laundryroom:2;living_room:1;office:1;outdoor:2;terrace:1;toilet:3;tv:1
103997970_171031287,1,1,1,1,1,0,5,5,5,bathroom:1;bedroom:1;dining_room:1;kitchen:1;living_room:1
103997994_171031320,4,2,1,1,1,1,6,10,14,bathroom:2;bedroom:4;dining_room:1;garage:1;hallway:1;kitchen:1;living_room:1;office:1;outdoor:1;toilet:1
104348010_171512832,3,3,1,1,1,1,6,10,22,bathroom:3;bedroom:3;closet:2;dining_room:1;entryway:1;garage:1;hallway:2;kitchen:1;laundryroom:1;living_room:1;office:1;other room:1;outdoor:2;terrace:1;utilityroom:1
104348028_171512877,2,2,1,1,1,0,6,8,17,bathroom:2;bedroom:2;closet:3;dining_room:1;entryway:1;garage:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;lounge:1;toilet:1;utilityroom:1
104348037_171512898,2,1,1,1,1,0,5,6,9,bathroom:1;bedroom:2;dining_room:1;hallway:1;kitchen:1;living_room:1;terrace:1;toilet:1
104348082_171512994,2,1,1,0,1,0,4,5,7,bathroom:1;bedroom:2;closet:1;entryway:1;kitchen:1;living_room:1
104348133_171513054,2,1,1,1,1,0,5,6,10,bathroom:1;bedroom:2;closet:2;dining_room:1;hallway:2;kitchen:1;living_room:1
104348160_171513093,1,1,1,1,1,0,5,5,8,bathroom:1;bedroom:1;dining_room:1;hallway:1;kitchen:1;living_room:1;outdoor:2
104348181_171513120,2,2,1,0,1,0,4,6,19,bathroom:2;bedroom:2;closet:1;entryway:1;garage:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;other room:2;outdoor:2;sauna:1;toilet:1;utilityroom:2
104348202_171513150,2,1,1,1,1,0,5,6,15,bathroom:1;bedroom:2;closet:1;dining_room:1;entryway:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;terrace:1;toilet:1;utilityroom:3
104348253_171513237,0,0,1,0,1,0,3,3,9,closet:2;hallway:1;kitchen:1;living_room:1;lounge:1;other room:1;outdoor:1;toilet:1
104348328_171513363,2,2,1,0,1,0,4,6,9,bathroom:2;bedroom:2;kitchen:1;living_room:1;terrace:2;toilet:1
104348361_171513414,2,2,1,0,1,1,5,7,18,balcony:1;bathroom:2;bedroom:2;closet:3;entryway:1;hallway:2;kitchen:1;laundryroom:1;living_room:1;office:1;other room:2;toilet:1
104348394_171513453,1,1,1,0,1,0,4,4,8,bathroom:1;bedroom:1;closet:2;hallway:1;kitchen:1;living_room:1;terrace:1
104348463_171513588,1,1,1,0,1,0,4,4,5,bathroom:1;bedroom:1;kitchen:1;living_room:1;other room:1
104348511_171513654,2,2,1,1,1,0,5,7,18,bathroom:2;bedroom:2;closet:5;dining_room:1;entryway:1;hallway:1;kitchen:1;laundry:1;living_room:1;terrace:1;toilet:2
104862384_172226319,2,3,1,0,1,1,5,8,14,bathroom:3;bedroom:2;hallway:1;kitchen:1;living_room:1;office:1;outdoor:1;porch:1;terrace:2;utilityroom:1
104862396_172226349,5,4,1,1,1,0,7,14,28,bathroom:4;bedroom:5;closet:5;dining_room:1;driveway:1;entryway:1;familyroom:1;garage:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;other room:1;outdoor:2;rec/game:1;utilityroom:1
104862417_172226382,5,4,1,1,1,0,6,13,27,bathroom:4;bedroom:5;closet:5;dining_room:1;driveway:1;garage:1;hallway:2;kitchen:1;laundryroom:1;living_room:1;outdoor:2;porch:1;rec/game:1;toilet:1
104862501_172226556,6,6,1,1,1,0,6,16,17,bathroom:6;bedroom:6;dining_room:1;kitchen:1;living_room:1;rec/game:1;tv:1
104862513_172226580,3,1,1,1,1,1,6,8,10,bathroom:1;bedroom:3;dining_room:1;hallway:1;kitchen:1;living_room:1;office:1;toilet:1
104862534_172226625,2,2,1,0,1,0,4,6,13,bathroom:2;bedroom:2;closet:1;entryway:1;hallway:1;kitchen:1;living_room:1;other room:1;outdoor:2;toilet:1
104862558_172226664,5,2,1,0,1,0,4,9,11,bathroom:2;bedroom:5;hallway:1;kitchen:1;living_room:1;outdoor:1
104862573_172226682,3,3,1,1,1,1,6,12,15,bathroom:3;bedroom:3;dining_room:1;kitchen:2;living_room:2;office:1;other room:1;outdoor:1;tv:1
104862621_172226772,2,2,1,0,1,0,4,6,9,bathroom:2;bedroom:2;closet:1;entryway:1;kitchen:1;laundryroom:1;living_room:1
104862639_172226823,2,2,1,0,1,0,4,6,9,bathroom:2;bedroom:2;entryway:1;kitchen:1;laundryroom:1;living_room:1;toilet:1
104862660_172226844,2,1,1,0,1,0,4,5,10,bathroom:1;bedroom:2;closet:3;hallway:1;kitchen:1;laundryroom:1;living_room:1
104862669_172226853,1,2,1,0,0,1,4,5,9,bathroom:2;bedroom:1;closet:1;dining booth:1;kitchen:1;laundryroom:1;office:1;terrace:1
104862681_172226874,2,2,1,1,0,1,5,7,12,bathroom:2;bedroom:2;closet:2;dining_room:1;kitchen:1;office:1;terrace:1;toilet:1;tv:1
104862687_172226883,2,1,1,0,1,0,4,5,6,bathroom:1;bedroom:2;closet:1;kitchen:1;living_room:1
105515151_173104068,0,4,1,1,0,1,4,8,30,bathroom:4;closet:1;dining_room:1;hallway:1;kitchen:2;meetingroom:1;office:1;other room:4;outdoor:1;terrace:2;toilet:12
105515160_173104077,0,3,1,1,0,0,3,5,22,bathroom:3;dining_room:1;kitchen:1;other room:1;outdoor:2;toilet:14
105515175_173104107,0,2,0,1,0,0,3,4,23,bathroom:2;dining_room:1;hallway:1;other room:12;outdoor:2;rec/game:1;toilet:4
105515184_173104128,1,1,1,0,1,1,6,6,16,bathroom:1;bedroom:1;closet:2;dining booth:1;entryway:1;hallway:1;kitchen:1;laundryroom:1;library:1;living_room:1;office:1;porch:1;rec/game:1;terrace:1;toilet:1
105515211_173104179,0,0,1,1,0,1,3,4,9,dining_room:1;entryway:1;kitchen:2;laundryroom:1;office:1;other room:1;toilet:1;tv:1
105515211_173104185,2,2,0,0,0,0,2,4,7,balcony:1;bathroom:2;bedroom:2;closet:1;hallway:1
105515235_173104215,2,2,1,0,1,1,7,9,24,bathroom:2;bedroom:2;closet:8;garage:1;gym:1;hallway:2;kitchen:1;laundryroom:1;living_room:1;lounge:1;office:1;terrace:1;toilet:1;utilityroom:1
105515286_173104287,3,5,1,0,0,1,6,13,25,bathroom:5;bedroom:3;closet:2;entryway:1;familyroom:1;garage:1;hallway:2;kitchen:1;laundryroom:1;lounge:2;office:1;other room:1;outdoor:1;terrace:2;toilet:1
105515301_173104305,2,2,1,1,0,1,6,8,24,bathroom:2;bedroom:2;closet:5;dining_room:1;garage:1;hallway:3;kitchen:1;meetingroom:1;office:1;other room:1;outdoor:3;rec/game:1;toilet:1;tv:1
105515307_173104317,2,2,1,0,1,0,4,6,11,bathroom:2;bedroom:2;entryway:1;kitchen:1;laundryroom:1;library:1;living_room:1;outdoor:1;terrace:1
105515337_173104347,2,2,1,0,1,0,4,6,9,balcony:1;bathroom:2;bedroom:2;hallway:1;kitchen:1;living_room:1;toilet:1
105515379_173104395,2,3,1,1,1,0,5,9,14,bathroom:3;bedroom:2;dining_room:2;kitchen:1;laundryroom:1;living_room:1;outdoor:2;terrace:2
105515403_173104449,0,0,1,0,1,1,3,3,10,entryway:1;hallway:1;kitchen:1;living_room:1;office:1;shower:2;toilet:2;washroom:1
105515430_173104494,4,4,1,0,1,0,4,10,11,bathroom:4;bedroom:4;kitchen:1;living_room:1;toilet:1
105515448_173104512,5,4,1,1,0,1,6,13,21,bathroom:4;bedroom:5;closet:4;dining_room:1;entryway:1;kitchen:1;laundryroom:1;office:1;rec/game:1;toilet:1;tv:1
105515490_173104566,5,4,1,0,0,1,4,11,15,bathroom:4;bedroom:5;garage:1;kitchen:1;laundryroom:1;office:1;terrace:1;tv:1
105515505_173104584,3,4,1,1,1,1,7,12,27,balcony:1;bathroom:4;bedroom:3;closet:5;dining_room:1;hallway:3;kitchen:1;laundryroom:1;living_room:1;lounge:1;office:1;other room:3;toilet:1;utilityroom:1
105515541_173104641,3,3,1,1,0,0,4,8,12,bathroom:3;bedroom:3;dining_room:1;hallway:1;kitchen:1;laundryroom:1;outdoor:1;tv:1
106365897_174225972,1,1,0,0,1,0,4,4,6,balcony:1;bathroom:1;bedroom:1;closet:1;living_room:1;rec/game:1
106366104_174226329,0,1,1,1,1,0,4,4,13,bathroom:1;closet:3;dining_room:1;garage:1;hallway:1;kitchen:1;living_room:1;other room:1;outdoor:1;rec room:1;tv:1
106366104_174226332,4,3,0,0,0,1,4,9,17,bathroom:3;bedroom:4;closet:5;familyroom:1;hallway:1;laundryroom:1;office:1;toilet:1
106366134_174226362,2,1,1,1,1,0,5,6,12,bathroom:1;bedroom:2;dining_room:1;kitchen:1;living_room:1;other room:1;outdoor:2;toilet:1;tv:2
106366173_174226431,1,0,1,0,1,0,3,3,6,bedroom:1;dining booth:1;kitchen:1;living_room:1;porch:1;toilet:1
106366248_174226527,2,2,1,1,1,0,5,7,9,bathroom:2;bedroom:2;dining_room:1;kitchen:1;living_room:1;outdoor:2
106366263_174226557,2,2,1,0,1,0,4,6,8,bathroom:2;bedroom:2;kitchen:1;living_room:1;outdoor:2
106366302_174226617,2,1,1,1,1,0,5,6,12,bathroom:1;bedroom:2;closet:1;dining_room:1;entryway:1;garage:1;kitchen:1;living_room:1;outdoor:1;toilet:2
106366323_174226647,4,3,1,1,0,1,6,12,29,bathroom:3;bedroom:4;closet:3;dining_room:1;entryway:1;garage:1;hallway:5;kitchen:1;laundryroom:1;office:2;outdoor:2;rec/game:1;toilet:3;tv:1
106366353_174226695,1,1,1,0,1,1,6,6,13,bathroom:1;bedroom:1;closet:1;entryway:1;familyroom:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;office:1;terrace:1;toilet:1;tv:1
106366371_174226743,3,4,1,1,1,0,5,10,17,bathroom:4;bedroom:3;closet:1;dining_room:1;hallway:1;kitchen:1;living_room:1;other room:1;outdoor:1;toilet:2;tv:1
106366386_174226770,1,2,1,1,1,0,6,7,10,bathroom:2;bedroom:1;closet:2;dining_room:1;entryway:1;gym:1;kitchen:1;living_room:1
106366410_174226806,1,1,1,1,1,1,7,7,9,bathroom:1;bedroom:1;dining_room:1;gym:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;office:1
106366434_174226881,1,1,1,0,1,0,5,5,7,bathroom:1;bedroom:1;entryway:1;familyroom:1;kitchen:1;living_room:1;other room:1
106878858_174886965,4,2,1,1,1,1,6,10,18,bathroom:2;bedroom:4;closet:1;dining_room:1;entryway:1;garage:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;office:1;outdoor:2;utilityroom:1
106878867_174886977,3,2,1,1,1,0,5,8,16,bathroom:2;bedroom:3;closet:1;dining_room:1;entryway:1;garage:1;hallway:2;kitchen:1;laundryroom:1;living_room:1;outdoor:2
106878915_174887025,2,2,1,0,1,0,5,7,10,bathroom:2;bedroom:2;entryway:1;gym:1;kitchen:1;living_room:1;terrace:2
106878945_174887058,2,2,1,1,1,1,6,8,12,bathroom:2;bedroom:2;closet:3;dining_room:1;hallway:1;kitchen:1;living_room:1;office:1
106878960_174887073,2,1,1,1,1,1,6,7,11,bathroom:1;bedroom:2;closet:2;dining_room:1;entryway:1;hallway:1;kitchen:1;living_room:1;office:1
106879005_174887124,2,1,1,1,0,0,5,6,8,bathroom:1;bedroom:2;dining_room:1;familyroom:1;hallway:1;kitchen:1;outdoor:1
106879023_174887148,1,2,0,0,1,1,4,5,13,balcony:1;bathroom:2;bedroom:1;closet:1;entryway:1;hallway:1;living_room:1;office:1;other room:1;outdoor:2;utilityroom:1
106879044_174887172,1,2,1,0,1,1,5,7,10,bathroom:2;bedroom:1;closet:1;kitchen:1;laundryroom:1;living_room:1;office:2;toilet:1
106879080_174887211,3,2,1,1,1,0,5,8,14,bathroom:2;bedroom:3;closet:1;dining_room:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;toilet:2;tv:1
107733912_175999623,1,1,1,0,1,0,5,5,10,bathroom:1;bedroom:1;kitchen:1;laundryroom:1;living_room:1;lounge:1;outdoor:2;terrace:2
107733960_175999701,5,5,1,0,1,1,5,13,23,bathroom:5;bedroom:5;closet:5;entryway:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;office:1;other room:1;tv:1
107734017_175999794,2,2,1,0,1,0,5,7,12,bathroom:2;bedroom:2;closet:2;hallway:1;kitchen:1;laundryroom:1;living_room:1;outdoor:1;rec/game:1
107734056_175999839,3,2,1,0,1,0,4,7,18,bathroom:2;bedroom:3;closet:6;entryway:1;garage:1;hallway:1;kitchen:1;living_room:1;outdoor:1;terrace:1
107734080_175999881,4,4,1,1,1,1,6,12,23,bathroom:4;bedroom:4;closet:5;dining_room:1;entryway:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;office:1;other room:1;toilet:2
107734110_175999914,1,1,1,0,1,1,5,5,9,bathroom:1;bedroom:1;closet:2;hallway:1;kitchen:1;living_room:1;office:1;utilityroom:1
107734119_175999932,1,1,1,0,1,0,4,4,7,bathroom:1;bedroom:1;closet:1;hallway:1;kitchen:1;living_room:1;utilityroom:1
107734119_175999935,0,0,1,1,0,0,2,2,13,closet:1;dining_room:1;driveway:1;garage:1;hallway:3;kitchen:1;outdoor:2;porch:1;toilet:1;tv:1
107734119_175999938,3,3,0,0,0,1,3,7,14,bathroom:3;bedroom:3;closet:3;hallway:1;office:1;terrace:1;toilet:1;utilityroom:1
107734146_175999971,5,5,1,0,1,0,5,13,27,balcony:1;bathroom:5;bedroom:5;driveway:1;garage:1;hallway:5;kitchen:1;living_room:1;other room:1;outdoor:1;rec/game:1;terrace:1;toilet:2;tv:1
107734158_175999998,3,3,1,1,1,1,7,12,19,bathroom:3;bedroom:3;dining_room:1;familyroom:1;garage:1;kitchen:1;laundryroom:1;living_room:2;office:1;other room:1;outdoor:2;terrace:1;toilet:1
107734176_176000019,3,2,1,0,1,0,5,8,18,bathroom:2;bedroom:3;closet:2;hallway:2;kitchen:1;laundryroom:1;living_room:1;lounge:1;other room:3;outdoor:1;terrace:1
107734188_176000034,0,1,1,0,1,1,6,13,20,bathroom:1;closet:1;driveway:1;garage:1;gym:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;lounge:4;office:5;terrace:1;toilet:1
107734227_176000091,2,2,1,1,1,0,6,8,15,bathroom:2;bedroom:2;closet:1;dining_room:1;entryway:1;kitchen:1;laundryroom:1;living_room:1;outdoor:1;rec/game:1;terrace:1;toilet:1;tv:1
107734254_176000121,2,2,1,1,1,1,6,8,15,bathroom:2;bedroom:2;closet:1;dining_room:1;entryway:1;hallway:2;kitchen:1;laundryroom:1;living_room:1;office:1;toilet:1;tv:1
107734287_176000160,2,2,1,1,1,1,6,8,15,bathroom:2;bedroom:2;dining_room:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;office:1;other room:2;outdoor:1;toilet:1;tv:1
107734338_176000244,2,2,1,1,1,1,6,8,12,bathroom:2;bedroom:2;closet:1;dining_room:1;entryway:1;kitchen:1;laundryroom:1;living_room:1;office:1;toilet:1
107734449_176000403,2,1,1,0,1,1,5,6,14,bathroom:1;bedroom:2;closet:1;hallway:2;kitchen:1;laundryroom:1;living_room:1;office:1;other room:2;terrace:1;toilet:1
107734479_176000442,3,1,1,0,1,0,5,7,11,bathroom:1;bedroom:3;closet:1;entryway:1;familyroom:1;hallway:1;kitchen:1;laundryroom:1;living_room:1
108294417_176709879,0,1,1,0,0,1,4,5,8,bathroom:1;kitchen:1;lounge:1;meetingroom:1;office:2;toilet:2
108294465_176709960,0,1,1,0,1,0,3,3,8,balcony:1;bathroom:1;closet:2;hallway:1;kitchen:1;laundryroom:1;living_room:1
108294537_176710050,2,2,1,1,1,0,6,8,15,bathroom:2;bedroom:2;closet:1;dining_room:1;garage:1;gym:1;hallway:1;kitchen:1;living_room:1;outdoor:1;terrace:1;toilet:2
108294558_176710095,3,2,1,0,1,0,4,7,10,bathroom:2;bedroom:3;closet:1;hallway:1;kitchen:1;laundryroom:1;living_room:1
108294573_176710113,2,2,1,0,1,1,6,8,11,bathroom:2;bedroom:2;closet:1;hallway:1;kitchen:1;laundry:1;living_room:1;lounge:1;office:1
108294624_176710203,2,2,1,1,1,0,5,7,13,bathroom:2;bedroom:2;dining_room:1;entryway:1;kitchen:1;laundryroom:1;living_room:1;outdoor:3;toilet:1
108294684_176710278,1,1,1,0,1,0,4,4,12,bathroom:1;bedroom:1;closet:1;driveway:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;outdoor:2;porch:1;toilet:1
108294765_176710386,1,1,1,0,1,0,4,4,9,bathroom:1;bedroom:1;closet:1;kitchen:1;laundryroom:1;living_room:1;outdoor:1;terrace:1;toilet:1
108294783_176710410,3,1,1,1,1,0,5,7,11,bathroom:1;bedroom:3;dining_room:1;entryway:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;toilet:1
108294798_176710428,4,2,1,0,1,0,5,9,13,bathroom:2;bedroom:4;closet:1;kitchen:1;laundryroom:1;living_room:1;outdoor:1;rec/game:1;toilet:1
108294816_176710461,6,2,1,0,1,0,4,10,11,bathroom:2;bedroom:6;hallway:1;kitchen:1;living_room:1
108294846_176710506,0,2,1,1,0,0,3,4,17,bathroom:2;classroom:3;dining_room:1;hallway:1;kitchen:1;other room:1;outdoor:2;toilet:6
108294870_176710551,2,2,1,0,1,1,6,10,17,balcony:2;bathroom:2;bedroom:2;hallway:3;kitchen:1;living_room:1;lounge:3;office:1;toilet:1;utilityroom:1
108294897_176710602,2,2,1,1,1,0,5,7,9,bathroom:2;bedroom:2;closet:1;dining_room:1;kitchen:1;laundryroom:1;living_room:1
108294939_176710668,2,1,1,1,1,1,6,7,10,bathroom:1;bedroom:2;dining_room:1;kitchen:1;living_room:1;office:1;other room:3
108736611_177263226,5,3,1,1,0,0,5,11,17,bathroom:3;bedroom:5;closet:2;dining_room:1;entryway:1;familyroom:1;kitchen:1;laundryroom:1;outdoor:1;porch:1
108736635_177263256,3,2,1,0,1,0,4,7,10,bathroom:2;bedroom:3;closet:2;entryway:1;kitchen:1;living_room:1
108736656_177263304,3,1,1,0,1,0,6,8,11,bathroom:1;bedroom:3;hallway:1;kitchen:1;living_room:1;lounge:1;outdoor:2;rec/game:1
108736689_177263340,1,1,1,0,1,0,4,4,4,bathroom:1;bedroom:1;kitchen:1;living_room:1
108736722_177263382,1,1,1,0,1,1,5,5,9,bathroom:1;bedroom:1;closet:2;entryway:1;kitchen:1;living_room:1;office:1;toilet:1
108736737_177263406,1,1,1,0,1,1,5,6,11,bathroom:1;bedroom:1;closet:1;entryway:1;hallway:1;kitchen:2;laundryroom:1;living_room:1;office:1;toilet:1
108736779_177263484,2,2,1,0,0,1,4,8,20,bathroom:2;bedroom:2;classroom:3;closet:1;hallway:1;kitchen:2;office:2;porch:1;toilet:6
108736800_177263517,4,2,1,0,1,0,4,9,19,bathroom:2;bedroom:4;closet:5;garage:1;hallway:2;kitchen:2;laundryroom:1;living_room:1;toilet:1
