t,stamp,mug_1,mug_2,mug_3,mug_4,laptop_1,phone_1,phone_2,keys_1,keys_2,book_1,book_2,water_bottle_1,remote_1,charger_1,backpack_1,jacket_1,headphones_1,glasses_1,notebook_1,pen_1,toy_1,blanket_1,towel_1,lunchbox_1,wallet_1,wallet_2
1500,d01 Tue 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
1560,d01 Tue 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
1620,d01 Tue 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
1680,d01 Tue 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
1740,d01 Tue 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
1800,d01 Tue 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
1860,d01 Tue 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,kitchen,entry,bathroom
1920,d01 Tue 08:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,outside
1980,d01 Tue 09:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,outside
2040,d01 Tue 10:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,outside
2100,d01 Tue 11:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,outside
2160,d01 Tue 12:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,outside
2220,d01 Tue 13:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,outside
2280,d01 Tue 14:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,outside,outside
2340,d01 Tue 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,outside
2400,d01 Tue 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen
2460,d01 Tue 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen
2520,d01 Tue 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen
2580,d01 Tue 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,kitchen
2640,d01 Tue 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,kitchen
2700,d01 Tue 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,kitchen
2760,d01 Tue 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
2820,d01 Tue 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
2880,d02 Wed 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
2940,d02 Wed 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
3000,d02 Wed 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
3060,d02 Wed 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
3120,d02 Wed 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
3180,d02 Wed 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
3240,d02 Wed 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
3300,d02 Wed 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
3360,d02 Wed 08:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,living,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
3420,d02 Wed 09:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,living,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
3480,d02 Wed 10:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,living,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
3540,d02 Wed 11:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,living,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
3600,d02 Wed 12:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,living,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
3660,d02 Wed 13:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,living,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
3720,d02 Wed 14:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,living,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
3780,d02 Wed 15:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,living,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
3840,d02 Wed 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_3,bedroom_3,kitchen,kitchen,entry,outside
3900,d02 Wed 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_3,bedroom_3,kitchen,kitchen,entry,outside
3960,d02 Wed 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,bedroom_3,bedroom_3,kitchen,kitchen,entry,kitchen
4020,d02 Wed 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,kitchen
4080,d02 Wed 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,kitchen
4140,d02 Wed 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,kitchen
4200,d02 Wed 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
4260,d02 Wed 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
4320,d03 Thu 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
4380,d03 Thu 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
4440,d03 Thu 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
4500,d03 Thu 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
4560,d03 Thu 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
4620,d03 Thu 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
4680,d03 Thu 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
4740,d03 Thu 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,bedroom_2
4800,d03 Thu 08:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
4860,d03 Thu 09:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
4920,d03 Thu 10:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
4980,d03 Thu 11:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
5040,d03 Thu 12:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
5100,d03 Thu 13:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
5160,d03 Thu 14:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
5220,d03 Thu 15:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,kitchen,living,kitchen,living,outside,outside,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
5280,d03 Thu 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,outside
5340,d03 Thu 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,outside
5400,d03 Thu 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,outside
5460,d03 Thu 19:00,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_1,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,kitchen
5520,d03 Thu 20:00,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,living,living,living,living,kitchen,living,living,bedroom_1,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,kitchen
5580,d03 Thu 21:00,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,living,living,living,living,kitchen,living,living,bedroom_1,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,kitchen
5640,d03 Thu 22:00,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,living,bedroom_1,living,living,kitchen,living,living,bedroom_1,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
5700,d03 Thu 23:00,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,living,bedroom_1,living,living,kitchen,living,living,bedroom_1,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
5760,d04 Fri 00:00,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,living,bedroom_1,living,living,kitchen,living,living,bedroom_1,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
5820,d04 Fri 01:00,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,living,bedroom_1,living,living,kitchen,living,living,bedroom_1,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
5880,d04 Fri 02:00,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,living,bedroom_1,living,living,kitchen,living,living,bedroom_1,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
5940,d04 Fri 03:00,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,living,bedroom_1,living,living,kitchen,living,living,bedroom_1,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
6000,d04 Fri 04:00,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,living,bedroom_1,living,living,kitchen,living,living,bedroom_1,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
6060,d04 Fri 05:00,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,living,bedroom_1,living,living,kitchen,living,living,bedroom_1,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
6120,d04 Fri 06:00,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,living,bedroom_1,living,living,kitchen,living,living,bedroom_1,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
6180,d04 Fri 07:00,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,living,bedroom_1,living,living,kitchen,living,living,bedroom_1,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bathroom
6240,d04 Fri 08:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,bedroom_1,living,living,kitchen,living,outside,outside,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,outside,outside
