t,stamp,mug_nikhil,laptop_nikhil,phone_nikhil,keys_nikhil,wallet_nikhil,backpack_nikhil,charger_nikhil,notebook_nikhil,glasses_nikhil,jacket_nikhil,mug_marisol,laptop_marisol,phone_marisol,keys_marisol,wallet_marisol,backpack_marisol,water_bottle_marisol,book_marisol,glasses_marisol,makeup_kit_marisol,hairbrush_marisol,phone_tessa,keys_tessa,backpack_tessa,laptop_tessa,charger_tessa,headphones_tessa,water_bottle_tessa,notebook_tessa,pen_tessa,book_tessa,gaming_controller_tessa,phone_owen,backpack_owen,lunchbox_owen,water_bottle_owen,tablet_owen,blanket_owen,toy_owen,notebook_owen,pen_owen,jacket_owen,gaming_controller_owen,plate_shared_1,bowl_shared_1,pot_shared_1,pan_shared_1,remote_shared_1,charger_shared_1,laundry_basket_shared_1,vacuum_cleaner_shared_1,umbrella_shared_1,towel_shared_1,yoga_mat_shared_1
600,d00 Mon 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,outside,outside,outside,outside,outside,bedroom_3,living,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
660,d00 Mon 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,outside,outside,outside,outside,outside,bedroom_3,living,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
720,d00 Mon 12:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,outside,outside,outside,outside,outside,bedroom_3,living,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
780,d00 Mon 13:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,outside,outside,outside,outside,outside,bedroom_3,living,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
840,d00 Mon 14:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,outside,outside,outside,outside,outside,bedroom_3,living,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
900,d00 Mon 15:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,outside,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,living,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
960,d00 Mon 16:00,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,bedroom_3,living,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1020,d00 Mon 17:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bathroom,bathroom,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,bedroom_3,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1080,d00 Mon 18:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,kitchen,bathroom,bathroom,bedroom_2,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,kitchen,entry,living,kitchen,living,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1140,d00 Mon 19:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,living,bathroom,bathroom,bedroom_2,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,living,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1200,d00 Mon 20:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1260,d00 Mon 21:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bathroom,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1320,d00 Mon 22:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,bedroom_2,entry,kitchen,bathroom,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1380,d00 Mon 23:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,bedroom_2,entry,kitchen,bathroom,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1440,d01 Tue 00:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,bedroom_2,entry,kitchen,bathroom,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1500,d01 Tue 01:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1560,d01 Tue 02:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1620,d01 Tue 03:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1680,d01 Tue 04:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1740,d01 Tue 05:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,bathroom,bathroom,bedroom_2,bedroom_2,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1800,d01 Tue 06:00,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bathroom,bedroom_2,bedroom_2,entry,kitchen,bathroom,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,entry,kitchen,entry,kitchen,bedroom_3,living,kitchen,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1860,d01 Tue 07:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_3,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,living,kitchen,entry,kitchen,entry,kitchen,bedroom_3,entry,kitchen,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1920,d01 Tue 08:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,living,outside,outside,outside,outside,outside,bedroom_3,living,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
1980,d01 Tue 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,living,outside,outside,outside,outside,outside,bedroom_3,living,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
2040,d01 Tue 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,living,outside,outside,outside,outside,outside,bedroom_3,living,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
2100,d01 Tue 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,living,outside,outside,outside,outside,outside,bedroom_3,living,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
2160,d01 Tue 12:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,living,outside,outside,outside,outside,outside,bedroom_3,living,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
2220,d01 Tue 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,living,outside,outside,outside,outside,outside,bedroom_3,living,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
2280,d01 Tue 14:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,living,outside,outside,outside,outside,outside,bedroom_3,living,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
2340,d01 Tue 15:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,living,outside,outside,outside,outside,outside,bedroom_3,living,outside,outside,outside,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
2400,d01 Tue 16:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
2460,d01 Tue 17:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,living,kitchen,entry,entry,kitchen,kitchen,bedroom_3,living,kitchen,kitchen,entry,living,kitchen,living,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
2520,d01 Tue 18:00,kitchen,bedroom_1,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bathroom,bedroom_2,entry,bedroom_2,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_2,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
2580,d01 Tue 19:00,kitchen,bedroom_1,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,bathroom,bathroom,bedroom_2,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,kitchen,kitchen,kitchen,bathroom,living,kitchen,bathroom,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
2640,d01 Tue 20:00,kitchen,bedroom_1,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bathroom,bathroom,bedroom_2,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,bathroom,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
2700,d01 Tue 21:00,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bathroom,bedroom_1,bathroom,bathroom,bedroom_2,entry,bedroom_2,bedroom_2,bathroom,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,living,kitchen,entry,kitchen,kitchen,kitchen,bathroom,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
2760,d01 Tue 22:00,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bathroom,bedroom_1,bathroom,bathroom,bedroom_2,entry,bedroom_2,bedroom_2,bathroom,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,living,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
2820,d01 Tue 23:00,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bathroom,bedroom_1,bathroom,bathroom,bedroom_2,entry,bedroom_2,bedroom_2,bathroom,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
2880,d02 Wed 00:00,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_2,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
2940,d02 Wed 01:00,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_2,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
3000,d02 Wed 02:00,kitchen,bedroom_1,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bathroom,bathroom,bedroom_2,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_3,living,kitchen,bedroom_3,entry,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,entry,entry,bathroom,living
