t,stamp,mug_1,mug_2,laptop_leo,phone_maya,keys_leo,book_jade,water_bottle_maya,remote_shared,charger_maya,backpack_maya,jacket_leo,headphones_leo,glasses_sam,notebook_jade,pen_jade,medication_bottle_sam,gaming_controller_sam,umbrella_jade,wallet_jade
2640,d01 Tue 20:00,bedroom_1,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
2700,d01 Tue 21:00,bedroom_1,kitchen,bedroom_1,living,living,bedroom_4,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,bedroom_4,bedroom_3,living,entry,living
2760,d01 Tue 22:00,kitchen,kitchen,bedroom_1,living,living,bedroom_4,kitchen,living,bedroom_1,bedroom_2,living,bedroom_1,bathroom,living,bedroom_4,bedroom_3,living,entry,living
2820,d01 Tue 23:00,kitchen,kitchen,bedroom_1,living,living,bedroom_4,kitchen,living,bedroom_1,bedroom_2,living,bedroom_1,bedroom_3,living,bedroom_4,bedroom_3,living,entry,living
2880,d02 Wed 00:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,bedroom_2,living,bedroom_1,bedroom_3,living,bedroom_4,bedroom_3,living,entry,living
2940,d02 Wed 01:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,entry,entry,living,bedroom_1,bedroom_3,living,bedroom_4,bedroom_3,living,entry,living
3000,d02 Wed 02:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,entry,entry,living,bedroom_1,bedroom_3,living,bedroom_4,bedroom_3,living,entry,living
3060,d02 Wed 03:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,entry,entry,living,bedroom_1,bedroom_3,living,bedroom_4,bedroom_3,living,entry,living
3120,d02 Wed 04:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,entry,entry,living,bedroom_1,bedroom_3,living,bedroom_4,bedroom_3,living,entry,living
3180,d02 Wed 05:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,entry,entry,living,bedroom_1,bedroom_3,living,bedroom_4,bedroom_3,living,entry,bedroom_4
3240,d02 Wed 06:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,entry,entry,living,bedroom_1,bedroom_3,living,bedroom_4,bedroom_3,living,entry,bedroom_4
3300,d02 Wed 07:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,bedroom_2,living,entry,entry,living,bedroom_1,bedroom_3,living,bedroom_4,bedroom_3,living,entry,bedroom_4
3360,d02 Wed 08:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bedroom_3,living,living,bedroom_3,living,entry,bedroom_4
3420,d02 Wed 09:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bedroom_3,living,living,bedroom_3,living,entry,bedroom_4
3480,d02 Wed 10:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bedroom_3,living,living,bedroom_3,living,entry,bedroom_4
3540,d02 Wed 11:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bedroom_3,living,living,bedroom_3,living,entry,living
3600,d02 Wed 12:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bedroom_3,living,living,bedroom_3,living,entry,living
3660,d02 Wed 13:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,bedroom_4,kitchen,living,bedroom_1,bedroom_2,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
3720,d02 Wed 14:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,bedroom_2,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
3780,d02 Wed 15:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,bedroom_2,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
3840,d02 Wed 16:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,bedroom_2,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
3900,d02 Wed 17:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,bedroom_2,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,kitchen
3960,d02 Wed 18:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,kitchen
4020,d02 Wed 19:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,kitchen
4080,d02 Wed 20:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,kitchen
4140,d02 Wed 21:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,kitchen
4200,d02 Wed 22:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,kitchen
4260,d02 Wed 23:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,kitchen
4320,d03 Thu 00:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,kitchen
4380,d03 Thu 01:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
4440,d03 Thu 02:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
4500,d03 Thu 03:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
4560,d03 Thu 04:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
4620,d03 Thu 05:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
4680,d03 Thu 06:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
4740,d03 Thu 07:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
4800,d03 Thu 08:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
4860,d03 Thu 09:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
4920,d03 Thu 10:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
4980,d03 Thu 11:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
5040,d03 Thu 12:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
5100,d03 Thu 13:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
5160,d03 Thu 14:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,bedroom_2,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
5220,d03 Thu 15:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,kitchen
5280,d03 Thu 16:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,kitchen
5340,d03 Thu 17:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,kitchen
5400,d03 Thu 18:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,entry,living,living,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,kitchen
5460,d03 Thu 19:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,entry,living,living,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,kitchen
5520,d03 Thu 20:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,living,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,living
5580,d03 Thu 21:00,kitchen,kitchen,bedroom_1,living,living,bedroom_4,kitchen,living,bedroom_1,entry,living,living,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,living
5640,d03 Thu 22:00,kitchen,kitchen,bedroom_1,living,living,bedroom_4,kitchen,living,bedroom_1,entry,living,living,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,living
5700,d03 Thu 23:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,entry,living,living,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,living
5760,d04 Fri 00:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,entry,living,living,bathroom,living,bedroom_4,bedroom_3,living,entry,living
5820,d04 Fri 01:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,entry,living,living,bathroom,living,bedroom_4,bedroom_3,living,entry,bedroom_4
5880,d04 Fri 02:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,entry,living,living,bathroom,living,bedroom_4,bedroom_3,living,entry,bedroom_4
5940,d04 Fri 03:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,entry,living,living,bathroom,living,bedroom_4,bedroom_3,living,entry,bedroom_4
6000,d04 Fri 04:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,entry,living,living,bathroom,living,bedroom_4,bedroom_3,living,entry,bedroom_4
6060,d04 Fri 05:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,entry,living,living,bathroom,living,bedroom_4,bedroom_3,living,entry,bedroom_4
6120,d04 Fri 06:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,entry,living,living,bathroom,living,bedroom_4,bedroom_3,living,entry,bedroom_4
6180,d04 Fri 07:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,entry,living,living,bathroom,living,bedroom_4,bedroom_3,living,entry,bedroom_4
6240,d04 Fri 08:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,bedroom_4
6300,d04 Fri 09:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,bedroom_4
6360,d04 Fri 10:00,bedroom_1,kitchen,bedroom_1,entry,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
6420,d04 Fri 11:00,bedroom_1,kitchen,bedroom_1,entry,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
6480,d04 Fri 12:00,bedroom_1,kitchen,bedroom_1,entry,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
6540,d04 Fri 13:00,bedroom_1,kitchen,bedroom_1,entry,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
6600,d04 Fri 14:00,bedroom_1,kitchen,bedroom_1,entry,bedroom_1,bedroom_4,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,bedroom_4,bedroom_3,living,entry,living
6660,d04 Fri 15:00,kitchen,kitchen,bedroom_1,entry,bedroom_1,bedroom_4,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,bedroom_4,bedroom_3,living,entry,kitchen
6720,d04 Fri 16:00,kitchen,kitchen,bedroom_1,entry,bedroom_1,bedroom_4,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,bedroom_4,bedroom_3,living,entry,kitchen
6780,d04 Fri 17:00,kitchen,kitchen,bedroom_1,entry,bedroom_1,bedroom_4,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,bedroom_4,bedroom_3,living,entry,kitchen
6840,d04 Fri 18:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,bedroom_4,bedroom_3,living,entry,kitchen
6900,d04 Fri 19:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,bedroom_4,bedroom_3,living,entry,kitchen
6960,d04 Fri 20:00,kitchen,kitchen,bedroom_1,living,living,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,bedroom_4,bedroom_3,living,entry,kitchen
7020,d04 Fri 21:00,kitchen,kitchen,bedroom_1,living,living,bedroom_4,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,kitchen
7080,d04 Fri 22:00,kitchen,kitchen,bedroom_1,living,living,bedroom_4,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,kitchen
7140,d04 Fri 23:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,kitchen
7200,d05 Sat 00:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,kitchen
7260,d05 Sat 01:00,kitchen,kitchen,bedroom_1,living,living,living,bedroom_2,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,living
7320,d05 Sat 02:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,bedroom_2,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,living
7380,d05 Sat 03:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,bedroom_2,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,living
7440,d05 Sat 04:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,bedroom_2,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,living
7500,d05 Sat 05:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,bedroom_2,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
7560,d05 Sat 06:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,bedroom_2,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
7620,d05 Sat 07:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,bedroom_2,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
7680,d05 Sat 08:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,bedroom_2,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
7740,d05 Sat 09:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,bedroom_2,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
7800,d05 Sat 10:00,kitchen,kitchen,bedroom_1,bedroom_2,living,living,bedroom_2,living,bedroom_1,entry,living,bedroom_1,bathroom,bedroom_4,bedroom_4,bedroom_3,living,entry,bedroom_4
7860,d05 Sat 11:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,bedroom_4
7920,d05 Sat 12:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
7980,d05 Sat 13:00,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_1,living,kitchen,living,bedroom_1,entry,living,bedroom_1,bathroom,living,living,bedroom_3,living,entry,living
