t,stamp,laptop_mara,phone_mara,keys_mara,wallet_mara,backpack_mara,charger_mara,headphones_mara,notebook_mara,pen_mara,mug_mara,water_bottle_mara,glasses_mara,book_mara,jacket_mara,umbrella_mara,lunchbox_mara,yoga_mat_mara,gaming_controller_mara,remote_shared_1,blanket_shared_1,plate_shared_1,bowl_shared_1,mug_shared_1,pot_shared_1,pan_shared_1,laundry_basket_mara,towel_mara,vacuum_cleaner_shared_1,watering_can_mara,hairbrush_mara,medication_bottle_mara,suitcase_mara
960,d00 Mon 16:00,kitchen,entry,entry,entry,entry,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,living,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
1020,d00 Mon 17:00,kitchen,entry,entry,entry,entry,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,living,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
1080,d00 Mon 18:00,kitchen,entry,entry,entry,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,living,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
1140,d00 Mon 19:00,kitchen,entry,entry,entry,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,living,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
1200,d00 Mon 20:00,kitchen,entry,entry,entry,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,living,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
1260,d00 Mon 21:00,kitchen,entry,entry,entry,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,living,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
1320,d00 Mon 22:00,kitchen,entry,entry,entry,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,living,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
1380,d00 Mon 23:00,kitchen,entry,entry,entry,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,living,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
1440,d01 Tue 00:00,kitchen,entry,entry,entry,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,living,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
1500,d01 Tue 01:00,kitchen,entry,entry,entry,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
1560,d01 Tue 02:00,kitchen,entry,entry,entry,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
1620,d01 Tue 03:00,kitchen,entry,entry,entry,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
1680,d01 Tue 04:00,kitchen,entry,entry,entry,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
1740,d01 Tue 05:00,kitchen,entry,entry,kitchen,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
1800,d01 Tue 06:00,kitchen,entry,entry,kitchen,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
1860,d01 Tue 07:00,kitchen,living,entry,kitchen,bedroom,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
1920,d01 Tue 08:00,bedroom,living,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
1980,d01 Tue 09:00,bedroom,living,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
2040,d01 Tue 10:00,bedroom,bedroom,entry,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
2100,d01 Tue 11:00,bedroom,bedroom,entry,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
2160,d01 Tue 12:00,kitchen,bedroom,entry,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
2220,d01 Tue 13:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
2280,d01 Tue 14:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
2340,d01 Tue 15:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
2400,d01 Tue 16:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
2460,d01 Tue 17:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
2520,d01 Tue 18:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,bedroom,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
2580,d01 Tue 19:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,bedroom,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
2640,d01 Tue 20:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,living,entry,living,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
2700,d01 Tue 21:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,living,entry,living,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
2760,d01 Tue 22:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,living,entry,living,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
2820,d01 Tue 23:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,living,entry,living,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
2880,d02 Wed 00:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,living,entry,living,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
2940,d02 Wed 01:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,living,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
3000,d02 Wed 02:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,living,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
3060,d02 Wed 03:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,living,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
3120,d02 Wed 04:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,living,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
3180,d02 Wed 05:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,living,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
3240,d02 Wed 06:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,living,kitchen,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
3300,d02 Wed 07:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
3360,d02 Wed 08:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,kitchen,bedroom,living,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
3420,d02 Wed 09:00,bedroom,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,kitchen,bedroom,living,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
3480,d02 Wed 10:00,kitchen,kitchen,entry,kitchen,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,bedroom,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
3540,d02 Wed 11:00,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
3600,d02 Wed 12:00,kitchen,kitchen,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,entry,kitchen,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
3660,d02 Wed 13:00,bedroom,kitchen,entry,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
3720,d02 Wed 14:00,bedroom,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,living,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
3780,d02 Wed 15:00,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,kitchen,kitchen,kitchen,living,entry,bedroom,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bedroom
3840,d02 Wed 16:00,kitchen,outside,outside,outside,outside,bedroom,kitchen,bedroom,outside,kitchen,outside,outside,living,outside,outside,outside,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,outside,outside
3900,d02 Wed 17:00,kitchen,outside,outside,outside,outside,bedroom,kitchen,bedroom,outside,kitchen,outside,outside,living,outside,outside,outside,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,outside,outside
3960,d02 Wed 18:00,kitchen,outside,outside,outside,outside,bedroom,kitchen,bedroom,outside,kitchen,outside,outside,living,outside,outside,outside,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,outside,outside
4020,d02 Wed 19:00,kitchen,bedroom,entry,entry,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
4080,d02 Wed 20:00,kitchen,bedroom,entry,entry,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
4140,d02 Wed 21:00,kitchen,bedroom,entry,entry,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
4200,d02 Wed 22:00,kitchen,bedroom,entry,entry,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
4260,d02 Wed 23:00,kitchen,bedroom,entry,entry,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
4320,d03 Thu 00:00,kitchen,bedroom,entry,entry,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
4380,d03 Thu 01:00,kitchen,bedroom,entry,entry,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
4440,d03 Thu 02:00,kitchen,bedroom,entry,entry,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
4500,d03 Thu 03:00,kitchen,bedroom,entry,entry,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
4560,d03 Thu 04:00,kitchen,bedroom,entry,entry,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
4620,d03 Thu 05:00,kitchen,bedroom,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
4680,d03 Thu 06:00,kitchen,bedroom,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
4740,d03 Thu 07:00,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
4800,d03 Thu 08:00,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
4860,d03 Thu 09:00,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,kitchen,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
4920,d03 Thu 10:00,bedroom,bedroom,entry,entry,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
4980,d03 Thu 11:00,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
5040,d03 Thu 12:00,bedroom,bedroom,entry,entry,kitchen,bedroom,bedroom,kitchen,kitchen,bedroom,bedroom,bedroom,living,entry,entry,kitchen,living,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
5100,d03 Thu 13:00,bedroom,bedroom,entry,entry,bedroom,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,kitchen,living,entry,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
5160,d03 Thu 14:00,kitchen,bedroom,entry,entry,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,living,entry,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
5220,d03 Thu 15:00,kitchen,bedroom,entry,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,living,entry,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
5280,d03 Thu 16:00,kitchen,bedroom,entry,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,living,entry,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bathroom,entry,kitchen,bathroom,kitchen,bedroom
