t,stamp,laptop_mara,phone_mara,keys_mara,wallet_mara,backpack_mara,charger_mara,headphones_mara,notebook_mara,pen_mara,mug_mara,water_bottle_mara,glasses_mara,book_mara,jacket_mara,umbrella_mara,lunchbox_mara,yoga_mat_mara,gaming_controller_mara,remote_shared_1,blanket_shared_1,plate_shared_1,bowl_shared_1,mug_shared_1,pot_shared_1,pan_shared_1,laundry_basket_mara,towel_mara,vacuum_cleaner_shared_1,watering_can_mara,hairbrush_mara,medication_bottle_mara,suitcase_mara
780,d00 Mon 13:00,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,entry_table_e1,desk_b1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,dish_rack_k1,desk_b1,sink_k1,nightstand_b1,entry_hook_e1,entry_floor_e1,counter_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
840,d00 Mon 14:00,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,entry_table_e1,desk_b1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,dish_rack_k1,desk_b1,sink_k1,nightstand_b1,entry_hook_e1,entry_floor_e1,counter_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
900,d00 Mon 15:00,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,entry_table_e1,desk_b1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,dish_rack_k1,desk_b1,sink_k1,nightstand_b1,entry_hook_e1,entry_floor_e1,counter_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
960,d00 Mon 16:00,kitchen_table_k1,entry_table_e1,entry_hook_e1,entry_table_e1,entry_floor_e1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,desk_b1,counter_k1,nightstand_b1,nightstand_b1,entry_hook_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
1020,d00 Mon 17:00,kitchen_table_k1,entry_table_e1,entry_hook_e1,entry_table_e1,entry_floor_e1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,desk_b1,counter_k1,nightstand_b1,nightstand_b1,entry_hook_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
1080,d00 Mon 18:00,kitchen_table_k1,entry_table_e1,entry_hook_e1,entry_table_e1,desk_b1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,desk_b1,sink_k1,nightstand_b1,nightstand_b1,entry_hook_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
1140,d00 Mon 19:00,kitchen_table_k1,entry_table_e1,entry_hook_e1,entry_table_e1,desk_b1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,desk_b1,sink_k1,nightstand_b1,nightstand_b1,entry_hook_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
1200,d00 Mon 20:00,kitchen_table_k1,entry_table_e1,entry_hook_e1,entry_table_e1,desk_b1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,desk_b1,sink_k1,nightstand_b1,nightstand_b1,entry_hook_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
1260,d00 Mon 21:00,kitchen_table_k1,entry_table_e1,entry_hook_e1,entry_table_e1,desk_b1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,desk_b1,sink_k1,nightstand_b1,nightstand_b1,entry_hook_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
1320,d00 Mon 22:00,kitchen_table_k1,entry_table_e1,entry_hook_e1,entry_table_e1,desk_b1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,desk_b1,sink_k1,nightstand_b1,nightstand_b1,entry_hook_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
1380,d00 Mon 23:00,kitchen_table_k1,entry_table_e1,entry_hook_e1,entry_table_e1,desk_b1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,desk_b1,sink_k1,nightstand_b1,nightstand_b1,entry_hook_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
1440,d01 Tue 00:00,kitchen_table_k1,entry_table_e1,entry_hook_e1,entry_table_e1,desk_b1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,desk_b1,sink_k1,nightstand_b1,nightstand_b1,entry_hook_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
1500,d01 Tue 01:00,kitchen_table_k1,entry_table_e1,entry_hook_e1,entry_table_e1,desk_b1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,desk_b1,sink_k1,nightstand_b1,nightstand_b1,entry_hook_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
1560,d01 Tue 02:00,kitchen_table_k1,entry_table_e1,entry_hook_e1,entry_table_e1,desk_b1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,desk_b1,sink_k1,nightstand_b1,nightstand_b1,entry_hook_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
1620,d01 Tue 03:00,kitchen_table_k1,entry_table_e1,entry_hook_e1,entry_table_e1,desk_b1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,desk_b1,sink_k1,nightstand_b1,nightstand_b1,entry_hook_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
1680,d01 Tue 04:00,kitchen_table_k1,entry_table_e1,entry_hook_e1,entry_table_e1,desk_b1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,desk_b1,sink_k1,nightstand_b1,nightstand_b1,entry_hook_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
1740,d01 Tue 05:00,kitchen_table_k1,entry_table_e1,entry_hook_e1,counter_k1,desk_b1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,desk_b1,sink_k1,nightstand_b1,nightstand_b1,entry_hook_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
1800,d01 Tue 06:00,kitchen_table_k1,entry_table_e1,entry_hook_e1,counter_k1,desk_b1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,desk_b1,sink_k1,nightstand_b1,nightstand_b1,entry_hook_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bedroom_floor_b1,cupboard_k1,bedroom_floor_b1
1860,d01 Tue 07:00,kitchen_table_k1,couch_l1,entry_hook_e1,counter_k1,desk_b1,kitchen_table_k1,kitchen_table_k1,desk_b1,dish_rack_k1,kitchen_table_k1,sink_k1,nightstand_b1,nightstand_b1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,sink_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
1920,d01 Tue 08:00,desk_b1,couch_l1,entry_hook_e1,counter_k1,desk_b1,desk_b1,desk_b1,desk_b1,dish_rack_k1,desk_b1,sink_k1,nightstand_b1,nightstand_b1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,sink_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
1980,d01 Tue 09:00,desk_b1,couch_l1,entry_hook_e1,counter_k1,desk_b1,desk_b1,desk_b1,desk_b1,dish_rack_k1,desk_b1,sink_k1,nightstand_b1,nightstand_b1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,sink_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
2040,d01 Tue 10:00,desk_b1,desk_b1,entry_hook_e1,counter_k1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,kitchen_table_k1,desk_b1,kitchen_table_k1,desk_b1,nightstand_b1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,sink_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
2100,d01 Tue 11:00,desk_b1,desk_b1,entry_hook_e1,counter_k1,kitchen_table_k1,kitchen_table_k1,desk_b1,desk_b1,kitchen_table_k1,desk_b1,kitchen_table_k1,desk_b1,nightstand_b1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,sink_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
2160,d01 Tue 12:00,cupboard_k1,desk_b1,entry_hook_e1,counter_k1,kitchen_table_k1,desk_b1,desk_b1,desk_b1,kitchen_table_k1,desk_b1,kitchen_table_k1,desk_b1,nightstand_b1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,cupboard_k1,sink_k1,cupboard_k1,dish_rack_k1,counter_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
2220,d01 Tue 13:00,desk_b1,desk_b1,entry_hook_e1,counter_k1,desk_b1,desk_b1,desk_b1,desk_b1,kitchen_table_k1,dish_rack_k1,kitchen_table_k1,desk_b1,nightstand_b1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,dish_rack_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,sink_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
2280,d01 Tue 14:00,desk_b1,desk_b1,entry_hook_e1,counter_k1,desk_b1,desk_b1,desk_b1,desk_b1,kitchen_table_k1,dish_rack_k1,kitchen_table_k1,desk_b1,nightstand_b1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,dish_rack_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,sink_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
2340,d01 Tue 15:00,desk_b1,desk_b1,entry_hook_e1,counter_k1,desk_b1,desk_b1,desk_b1,desk_b1,kitchen_table_k1,dish_rack_k1,kitchen_table_k1,desk_b1,nightstand_b1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,dish_rack_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,sink_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
2400,d01 Tue 16:00,desk_b1,desk_b1,entry_hook_e1,counter_k1,desk_b1,desk_b1,desk_b1,desk_b1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,desk_b1,nightstand_b1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,dish_rack_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,sink_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
2460,d01 Tue 17:00,desk_b1,desk_b1,entry_hook_e1,counter_k1,desk_b1,desk_b1,desk_b1,desk_b1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,desk_b1,nightstand_b1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,dish_rack_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,sink_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
2520,d01 Tue 18:00,desk_b1,desk_b1,entry_hook_e1,counter_k1,desk_b1,desk_b1,desk_b1,desk_b1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,desk_b1,nightstand_b1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,dish_rack_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,sink_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
2580,d01 Tue 19:00,desk_b1,desk_b1,entry_hook_e1,counter_k1,desk_b1,desk_b1,desk_b1,desk_b1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,desk_b1,nightstand_b1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,kitchen_table_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,sink_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
2640,d01 Tue 20:00,desk_b1,desk_b1,entry_hook_e1,counter_k1,desk_b1,desk_b1,desk_b1,desk_b1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,desk_b1,couch_l1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,couch_l1,kitchen_table_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,sink_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
2700,d01 Tue 21:00,desk_b1,desk_b1,entry_hook_e1,counter_k1,desk_b1,desk_b1,desk_b1,desk_b1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,desk_b1,armchair_l1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,armchair_l1,kitchen_table_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,sink_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
2760,d01 Tue 22:00,desk_b1,desk_b1,entry_hook_e1,counter_k1,desk_b1,desk_b1,desk_b1,desk_b1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,desk_b1,armchair_l1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,armchair_l1,kitchen_table_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,sink_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
2820,d01 Tue 23:00,desk_b1,desk_b1,entry_hook_e1,counter_k1,desk_b1,desk_b1,desk_b1,desk_b1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,desk_b1,armchair_l1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,armchair_l1,kitchen_table_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,sink_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
2880,d02 Wed 00:00,desk_b1,desk_b1,entry_hook_e1,counter_k1,desk_b1,desk_b1,desk_b1,desk_b1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,desk_b1,armchair_l1,entry_table_e1,person:resident_1,cupboard_k1,couch_l1,coffee_table_l1,coffee_table_l1,armchair_l1,kitchen_table_k1,kitchen_table_k1,cupboard_k1,cupboard_k1,sink_k1,bedroom_floor_b1,towel_rack_ba1,entry_floor_e1,sink_k1,bathroom_shelf_ba1,cupboard_k1,bedroom_floor_b1
