t,stamp,mug_marie,mug_1,bowl_marie,plate_1,laptop_marie,phone_marie,tablet_marie,keys_marie,wallet_marie,book_marie,book_1,water_bottle_marie,remote_marie,charger_marie,backpack_marie,jacket_marie,glasses_marie,notebook_marie,pen_marie,medication_bottle_marie,blanket_marie,towel_marie,gaming_controller_marie,umbrella_marie,laundry_basket_marie,vacuum_cleaner_1,pot_1,pan_1,suitcase_marie,watering_can_marie
1500,d01 Tue 01:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
1560,d01 Tue 02:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
1620,d01 Tue 03:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
1680,d01 Tue 04:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
1740,d01 Tue 05:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
1800,d01 Tue 06:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
1860,d01 Tue 07:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
1920,d01 Tue 08:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
1980,d01 Tue 09:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
2040,d01 Tue 10:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bedroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
2100,d01 Tue 11:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,living,living,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
2160,d01 Tue 12:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,living,living,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
2220,d01 Tue 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,kitchen,kitchen,entry,living,living,living,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
2280,d01 Tue 14:00,kitchen,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,living,outside,outside,bathroom,living,bathroom,living,outside,bedroom,entry,kitchen,kitchen,outside,kitchen
2340,d01 Tue 15:00,kitchen,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,living,outside,outside,bathroom,living,bathroom,living,outside,bedroom,entry,kitchen,kitchen,outside,kitchen
2400,d01 Tue 16:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
2460,d01 Tue 17:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
2520,d01 Tue 18:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
2580,d01 Tue 19:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
2640,d01 Tue 20:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
2700,d01 Tue 21:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
2760,d01 Tue 22:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
2820,d01 Tue 23:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
2880,d02 Wed 00:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
2940,d02 Wed 01:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
3000,d02 Wed 02:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
3060,d02 Wed 03:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
3120,d02 Wed 04:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
3180,d02 Wed 05:00,living,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
3240,d02 Wed 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
3300,d02 Wed 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
3360,d02 Wed 08:00,kitchen,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,bedroom,outside,outside,kitchen,living,bathroom,living,outside,bedroom,entry,kitchen,kitchen,outside,kitchen
3420,d02 Wed 09:00,kitchen,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,bedroom,outside,outside,kitchen,living,bathroom,living,outside,bedroom,entry,kitchen,kitchen,outside,kitchen
3480,d02 Wed 10:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
3540,d02 Wed 11:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
3600,d02 Wed 12:00,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
3660,d02 Wed 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
3720,d02 Wed 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
3780,d02 Wed 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
3840,d02 Wed 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
3900,d02 Wed 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
3960,d02 Wed 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
4020,d02 Wed 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
4080,d02 Wed 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
4140,d02 Wed 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
4200,d02 Wed 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
4260,d02 Wed 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
4320,d03 Thu 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
4380,d03 Thu 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
4440,d03 Thu 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
4500,d03 Thu 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
4560,d03 Thu 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
4620,d03 Thu 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
4680,d03 Thu 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,kitchen,kitchen,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
4740,d03 Thu 07:00,kitchen,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,bedroom,outside,outside,bathroom,living,bathroom,living,outside,bedroom,entry,kitchen,kitchen,outside,kitchen
4800,d03 Thu 08:00,kitchen,kitchen,kitchen,kitchen,outside,outside,kitchen,outside,outside,outside,living,outside,living,outside,outside,outside,bedroom,outside,outside,bathroom,living,bathroom,living,outside,bedroom,entry,kitchen,kitchen,outside,kitchen
4860,d03 Thu 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
4920,d03 Thu 10:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,living,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
4980,d03 Thu 11:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,bedroom,living,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
5040,d03 Thu 12:00,living,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,kitchen,bedroom,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
5100,d03 Thu 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
5160,d03 Thu 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
5220,d03 Thu 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
5280,d03 Thu 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
5340,d03 Thu 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
5400,d03 Thu 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
5460,d03 Thu 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
5520,d03 Thu 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
5580,d03 Thu 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
5640,d03 Thu 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
5700,d03 Thu 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
5760,d04 Fri 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
5820,d04 Fri 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
5880,d04 Fri 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,living,kitchen,kitchen,entry,bedroom,living,kitchen,bathroom,living,bathroom,living,entry,bedroom,entry,kitchen,kitchen,bedroom,kitchen
