t,stamp,laptop_nia,phone_nia,keys_nia,wallet_nia,backpack_nia,water_bottle_nia,notebook_nia,pen_nia,mug_nia,book_nia,blanket_nia,charger_nia,jacket_nia,laundry_basket_nia,laptop_mateo,phone_mateo,keys_mateo,wallet_mateo,backpack_mateo,headphones_mateo,notebook_mateo,pen_mateo,mug_mateo,gaming_controller_mateo,charger_mateo,jacket_mateo,phone_priya,keys_priya,wallet_priya,backpack_priya,water_bottle_priya,jacket_priya,umbrella_priya,yoga_mat_priya,lunchbox_priya,hairbrush_priya,medication_bottle_priya,bowl_shared_1,plate_shared_1,plate_shared_2,pot_shared_1,pan_shared_1,remote_shared_1,vacuum_cleaner_shared_1,towel_shared_1,laundry_basket_shared_1
600,d00 Mon 10:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,sink_k1,person:resident_1,desk_b1,cupboard_k1,bookshelf_l1,couch_l1,desk_b1,person:resident_1,bedroom_floor_b1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,desk_b2,desk_b2,sink_k1,game_shelf_l1,desk_b2,person:resident_2,desk_b3,entry_table_e1,desk_b3,entry_floor_e1,entry_table_e1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
660,d00 Mon 11:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,sink_k1,person:resident_1,desk_b1,cupboard_k1,bookshelf_l1,couch_l1,desk_b1,person:resident_1,bedroom_floor_b1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,desk_b2,desk_b2,sink_k1,game_shelf_l1,desk_b2,person:resident_2,desk_b3,entry_table_e1,desk_b3,entry_floor_e1,entry_table_e1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
720,d00 Mon 12:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,sink_k1,person:resident_1,desk_b1,cupboard_k1,bookshelf_l1,couch_l1,desk_b1,person:resident_1,bedroom_floor_b1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,desk_b2,desk_b2,sink_k1,game_shelf_l1,desk_b2,person:resident_2,desk_b3,entry_table_e1,desk_b3,entry_floor_e1,entry_table_e1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
780,d00 Mon 13:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,sink_k1,person:resident_1,desk_b1,cupboard_k1,bookshelf_l1,couch_l1,desk_b1,person:resident_1,bedroom_floor_b1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,desk_b2,desk_b2,sink_k1,game_shelf_l1,desk_b2,person:resident_2,desk_b3,entry_table_e1,desk_b3,entry_floor_e1,entry_table_e1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
840,d00 Mon 14:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,sink_k1,person:resident_1,desk_b1,cupboard_k1,bookshelf_l1,couch_l1,desk_b1,person:resident_1,bedroom_floor_b1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,desk_b2,desk_b2,sink_k1,game_shelf_l1,desk_b2,person:resident_2,desk_b3,entry_table_e1,desk_b3,entry_floor_e1,entry_table_e1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
900,d00 Mon 15:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,sink_k1,person:resident_1,desk_b1,counter_k1,bookshelf_l1,couch_l1,desk_b1,person:resident_1,bedroom_floor_b1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,desk_b2,desk_b2,counter_k1,game_shelf_l1,desk_b2,person:resident_2,desk_b3,entry_table_e1,desk_b3,entry_floor_e1,entry_table_e1,chair_k2,entry_hook_e1,couch_l1,counter_k1,desk_b3,desk_b3,entry_table_e1,sink_k1,cupboard_k1,cupboard_k1,cupboard_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
960,d00 Mon 16:00,person:resident_1,person:resident_1,person:resident_1,person:resident_1,person:resident_1,sink_k1,person:resident_1,desk_b1,dish_rack_k1,bookshelf_l1,couch_l1,desk_b1,person:resident_1,bedroom_floor_b1,sink_k1,sink_k1,dish_rack_k1,dish_rack_k1,counter_k1,desk_b2,desk_b2,desk_b2,coffee_table_l1,game_shelf_l1,coffee_table_l1,dish_rack_k1,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,entry_hook_e1,couch_l1,person:resident_3,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,sink_k1,cupboard_k1,sink_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
1020,d00 Mon 17:00,desk_b1,entry_table_e1,entry_table_e1,dish_rack_k1,chair_k1,sink_k1,desk_b1,kitchen_table_k1,dish_rack_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,armchair_l1,sink_k1,dish_rack_k1,dish_rack_k1,counter_k1,desk_b2,desk_b2,desk_b2,coffee_table_l1,game_shelf_l1,cupboard_k1,dish_rack_k1,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,entry_hook_e1,couch_l1,person:resident_3,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,sink_k1,cupboard_k1,counter_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
1080,d00 Mon 18:00,kitchen_table_k1,entry_table_e1,entry_table_e1,dish_rack_k1,chair_k1,sink_k1,desk_b1,desk_b1,dish_rack_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,armchair_l1,sink_k1,dish_rack_k1,dish_rack_k1,counter_k1,desk_b2,desk_b2,desk_b2,coffee_table_l1,game_shelf_l1,cupboard_k1,dish_rack_k1,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,entry_hook_e1,couch_l1,person:resident_3,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,sink_k1,cupboard_k1,counter_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
1140,d00 Mon 19:00,kitchen_table_k1,entry_table_e1,entry_table_e1,dish_rack_k1,chair_k1,sink_k1,desk_b1,desk_b1,dish_rack_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,armchair_l1,sink_k1,dish_rack_k1,dish_rack_k1,counter_k1,desk_b2,desk_b2,desk_b2,coffee_table_l1,game_shelf_l1,cupboard_k1,dish_rack_k1,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,entry_hook_e1,couch_l1,person:resident_3,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,kitchen_table_k1,cupboard_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
1200,d00 Mon 20:00,kitchen_table_k1,entry_table_e1,entry_table_e1,dish_rack_k1,chair_k1,sink_k1,desk_b1,desk_b1,dish_rack_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,armchair_l1,sink_k1,dish_rack_k1,dish_rack_k1,counter_k1,desk_b2,desk_b2,desk_b2,coffee_table_l1,couch_l1,cupboard_k1,dish_rack_k1,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,entry_hook_e1,couch_l1,person:resident_3,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,dish_rack_k1,cupboard_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
1260,d00 Mon 21:00,kitchen_table_k1,entry_table_e1,entry_table_e1,dish_rack_k1,chair_k1,sink_k1,desk_b1,desk_b1,dish_rack_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,armchair_l1,sink_k1,dish_rack_k1,dish_rack_k1,counter_k1,desk_b2,desk_b2,desk_b2,coffee_table_l1,couch_l1,cupboard_k1,dish_rack_k1,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,entry_hook_e1,couch_l1,person:resident_3,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,dish_rack_k1,cupboard_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
1320,d00 Mon 22:00,kitchen_table_k1,entry_table_e1,entry_table_e1,dish_rack_k1,chair_k1,sink_k1,desk_b1,desk_b1,dish_rack_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,armchair_l1,sink_k1,dish_rack_k1,dish_rack_k1,counter_k1,desk_b2,desk_b2,desk_b2,coffee_table_l1,couch_l1,cupboard_k1,dish_rack_k1,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,entry_hook_e1,couch_l1,person:resident_3,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,dish_rack_k1,cupboard_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
1380,d00 Mon 23:00,kitchen_table_k1,entry_table_e1,entry_table_e1,dish_rack_k1,chair_k1,sink_k1,desk_b1,desk_b1,dish_rack_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,armchair_l1,sink_k1,dish_rack_k1,dish_rack_k1,counter_k1,desk_b2,desk_b2,desk_b2,coffee_table_l1,couch_l1,cupboard_k1,dish_rack_k1,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,person:resident_3,entry_hook_e1,couch_l1,person:resident_3,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,dish_rack_k1,cupboard_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
1440,d01 Tue 00:00,kitchen_table_k1,entry_table_e1,entry_table_e1,dish_rack_k1,chair_k1,sink_k1,desk_b1,desk_b1,dish_rack_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,armchair_l1,sink_k1,dish_rack_k1,dish_rack_k1,counter_k1,desk_b2,desk_b2,desk_b2,coffee_table_l1,couch_l1,cupboard_k1,dish_rack_k1,desk_b3,desk_b3,desk_b3,entry_floor_e1,sink_k1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,dish_rack_k1,cupboard_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
1500,d01 Tue 01:00,kitchen_table_k1,entry_table_e1,entry_table_e1,dish_rack_k1,chair_k1,sink_k1,desk_b1,desk_b1,dish_rack_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,armchair_l1,sink_k1,dish_rack_k1,dish_rack_k1,counter_k1,desk_b2,desk_b2,desk_b2,coffee_table_l1,couch_l1,cupboard_k1,dish_rack_k1,desk_b3,desk_b3,desk_b3,entry_floor_e1,sink_k1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,dish_rack_k1,cupboard_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
1560,d01 Tue 02:00,kitchen_table_k1,entry_table_e1,entry_table_e1,dish_rack_k1,chair_k1,sink_k1,desk_b1,desk_b1,dish_rack_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,armchair_l1,sink_k1,dish_rack_k1,dish_rack_k1,counter_k1,desk_b2,desk_b2,desk_b2,coffee_table_l1,couch_l1,cupboard_k1,dish_rack_k1,desk_b3,desk_b3,desk_b3,entry_floor_e1,sink_k1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,dish_rack_k1,cupboard_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
1620,d01 Tue 03:00,kitchen_table_k1,entry_table_e1,entry_table_e1,dish_rack_k1,chair_k1,sink_k1,desk_b1,desk_b1,dish_rack_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,armchair_l1,sink_k1,dish_rack_k1,dish_rack_k1,counter_k1,desk_b2,desk_b2,desk_b2,coffee_table_l1,couch_l1,cupboard_k1,dish_rack_k1,desk_b3,desk_b3,desk_b3,entry_floor_e1,sink_k1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,dish_rack_k1,cupboard_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
1680,d01 Tue 04:00,kitchen_table_k1,entry_table_e1,entry_table_e1,dish_rack_k1,chair_k1,sink_k1,desk_b1,desk_b1,dish_rack_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,armchair_l1,sink_k1,dish_rack_k1,dish_rack_k1,counter_k1,desk_b2,desk_b2,desk_b2,coffee_table_l1,couch_l1,cupboard_k1,dish_rack_k1,desk_b3,desk_b3,desk_b3,entry_floor_e1,sink_k1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,dish_rack_k1,cupboard_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
1740,d01 Tue 05:00,kitchen_table_k1,entry_table_e1,entry_table_e1,dish_rack_k1,chair_k1,sink_k1,desk_b1,desk_b1,dish_rack_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,armchair_l1,sink_k1,dish_rack_k1,dish_rack_k1,counter_k1,desk_b2,desk_b2,desk_b2,coffee_table_l1,couch_l1,cupboard_k1,dish_rack_k1,desk_b3,desk_b3,desk_b3,entry_floor_e1,sink_k1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,dish_rack_k1,cupboard_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
1800,d01 Tue 06:00,kitchen_table_k1,entry_table_e1,entry_table_e1,dish_rack_k1,chair_k1,sink_k1,desk_b1,desk_b1,counter_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,armchair_l1,sink_k1,dish_rack_k1,dish_rack_k1,counter_k1,desk_b2,desk_b2,desk_b2,counter_k1,couch_l1,cupboard_k1,dish_rack_k1,desk_b3,desk_b3,desk_b3,entry_floor_e1,sink_k1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,sink_k1,dish_rack_k1,cupboard_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,towel_rack_ba1,bathroom_shelf_ba1
1860,d01 Tue 07:00,kitchen_table_k1,entry_table_e1,entry_table_e1,dish_rack_k1,chair_k1,sink_k1,desk_b1,desk_b1,counter_k1,bookshelf_l1,couch_l1,desk_b1,entry_hook_e1,bedroom_floor_b1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,desk_b2,desk_b2,counter_k1,couch_l1,cupboard_k1,person:resident_2,desk_b3,desk_b3,desk_b3,entry_floor_e1,sink_k1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,desk_b3,entry_table_e1,cupboard_k1,dish_rack_k1,cupboard_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
1920,d01 Tue 08:00,person:resident_1,person:resident_1,person:resident_1,dish_rack_k1,person:resident_1,sink_k1,person:resident_1,desk_b1,dish_rack_k1,bookshelf_l1,couch_l1,desk_b1,person:resident_1,bedroom_floor_b1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,desk_b2,desk_b2,coffee_table_l1,couch_l1,cupboard_k1,person:resident_2,desk_b3,desk_b3,desk_b3,entry_floor_e1,sink_k1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,nightstand_b3,entry_table_e1,kitchen_table_k1,dish_rack_k1,cupboard_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
1980,d01 Tue 09:00,person:resident_1,person:resident_1,person:resident_1,dish_rack_k1,person:resident_1,sink_k1,person:resident_1,desk_b1,cupboard_k1,bookshelf_l1,couch_l1,desk_b1,person:resident_1,bedroom_floor_b1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,desk_b2,desk_b2,coffee_table_l1,couch_l1,cupboard_k1,person:resident_2,entry_hook_e1,person:resident_3,person:resident_3,person:resident_3,sink_k1,chair_k2,person:resident_3,couch_l1,counter_k1,bathroom_shelf_ba1,nightstand_b3,entry_table_e1,sink_k1,dish_rack_k1,cupboard_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
2040,d01 Tue 10:00,person:resident_1,person:resident_1,person:resident_1,dish_rack_k1,person:resident_1,sink_k1,person:resident_1,desk_b1,cupboard_k1,bookshelf_l1,couch_l1,desk_b1,person:resident_1,bedroom_floor_b1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,desk_b2,desk_b2,coffee_table_l1,couch_l1,cupboard_k1,person:resident_2,entry_hook_e1,entry_table_e1,desk_b3,bedroom_floor_b3,sink_k1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,nightstand_b3,entry_table_e1,sink_k1,dish_rack_k1,counter_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
2100,d01 Tue 11:00,person:resident_1,person:resident_1,person:resident_1,dish_rack_k1,person:resident_1,sink_k1,person:resident_1,desk_b1,sink_k1,bookshelf_l1,couch_l1,desk_b1,person:resident_1,bedroom_floor_b1,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,person:resident_2,desk_b2,desk_b2,coffee_table_l1,couch_l1,cupboard_k1,person:resident_2,entry_hook_e1,entry_table_e1,desk_b3,bedroom_floor_b3,sink_k1,chair_k2,entry_hook_e1,couch_l1,counter_k1,bathroom_shelf_ba1,nightstand_b3,entry_table_e1,sink_k1,dish_rack_k1,dish_rack_k1,dish_rack_k1,coffee_table_l1,entry_floor_e1,bathroom_shelf_ba1,bathroom_shelf_ba1
