t,stamp,mug_sarah,mug_david,mug_shared_1,bowl_shared_1,bowl_shared_2,plate_shared_1,plate_shared_2,laptop_sarah,laptop_leo,phone_sarah,phone_david,phone_leo,phone_mia,tablet_david,keys_sarah,keys_david,keys_leo,wallet_sarah,wallet_david,backpack_leo,backpack_mia,headphones_leo,gaming_controller_leo,glasses_sarah,notebook_mia,pen_mia,toy_mia,blanket_mia,water_bottle_shared,jacket_david,vacuum_cleaner_shared,laundry_basket_shared,remote_shared
1860,d01 Tue 07:00,bedroom_2,living,kitchen,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_3,bedroom_3,kitchen,bedroom_2,kitchen,entry,living
1920,d01 Tue 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,entry,living,kitchen,living,bedroom_2,kitchen,living,bedroom_2,entry,outside,living,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
1980,d01 Tue 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,kitchen,kitchen,outside,living,kitchen,entry,entry,kitchen,bedroom_3,kitchen,living,kitchen,entry,living
2040,d01 Tue 10:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,kitchen,kitchen,outside,living,kitchen,entry,entry,kitchen,bedroom_3,kitchen,living,kitchen,entry,living
2100,d01 Tue 11:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,kitchen,kitchen,outside,living,kitchen,entry,entry,kitchen,bedroom_3,kitchen,living,kitchen,entry,living
2160,d01 Tue 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,kitchen,kitchen,outside,living,kitchen,entry,entry,kitchen,bedroom_3,kitchen,living,kitchen,entry,living
2220,d01 Tue 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,kitchen,kitchen,outside,living,kitchen,entry,entry,kitchen,bedroom_3,kitchen,living,kitchen,entry,living
2280,d01 Tue 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,kitchen,kitchen,outside,living,kitchen,entry,entry,kitchen,bedroom_3,kitchen,living,kitchen,entry,living
2340,d01 Tue 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,kitchen,kitchen,outside,living,kitchen,entry,entry,kitchen,bedroom_3,kitchen,living,kitchen,entry,living
2400,d01 Tue 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_3,kitchen,living,kitchen,entry,living
2460,d01 Tue 17:00,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,entry,entry,kitchen,bedroom_3,kitchen,living,kitchen,entry,living
2520,d01 Tue 18:00,kitchen,kitchen,kitchen,living,bedroom_3,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,living,kitchen,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,living,living,living,kitchen,living,living,living,living,kitchen,living,kitchen,entry,living
2580,d01 Tue 19:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,living,bedroom_2,kitchen,living,kitchen,living,kitchen,bedroom_1,living,bedroom_2,entry,living,living,kitchen,kitchen,kitchen,living,living,bedroom_3,living,living,entry,living
2640,d01 Tue 20:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,living,bedroom_2,kitchen,living,kitchen,living,kitchen,kitchen,living,bedroom_2,entry,living,living,kitchen,bedroom_3,bedroom_3,living,living,bedroom_3,living,kitchen,entry,living
2700,d01 Tue 21:00,kitchen,living,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,living,bedroom_2,bedroom_3,living,kitchen,living,bedroom_2,kitchen,living,bedroom_2,bedroom_3,bedroom_2,living,kitchen,bedroom_3,entry,bedroom_3,living,bedroom_3,living,kitchen,entry,living
2760,d01 Tue 22:00,kitchen,living,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,bedroom_2,bedroom_2,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,living,kitchen,entry,living
2820,d01 Tue 23:00,kitchen,living,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,bedroom_2,bedroom_2,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,living,kitchen,entry,living
2880,d02 Wed 00:00,kitchen,living,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,bedroom_2,bedroom_2,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,living,kitchen,entry,living
2940,d02 Wed 01:00,kitchen,living,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,bedroom_2,bedroom_2,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,living,kitchen,entry,living
3000,d02 Wed 02:00,kitchen,living,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,bedroom_2,bedroom_2,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,living,kitchen,entry,living
3060,d02 Wed 03:00,kitchen,living,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,bedroom_2,bedroom_2,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,living,kitchen,entry,living
3120,d02 Wed 04:00,kitchen,living,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,bedroom_2,bedroom_2,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,living,kitchen,entry,living
3180,d02 Wed 05:00,kitchen,living,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,bedroom_2,bedroom_2,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,living,kitchen,entry,living
3240,d02 Wed 06:00,kitchen,living,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,bedroom_3,bedroom_2,bedroom_2,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,living,kitchen,entry,living
3300,d02 Wed 07:00,bedroom_3,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_3,bedroom_3,bedroom_3,kitchen,bedroom_3,bedroom_3,bedroom_3,bedroom_3,bedroom_3,bedroom_3,bedroom_3,bedroom_2,bedroom_2,bedroom_3,bedroom_3,bedroom_3,bedroom_3,bedroom_3,kitchen,bedroom_3,kitchen,entry,living
3360,d02 Wed 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,living,bedroom_2,entry,kitchen,kitchen,living,bedroom_2,kitchen,living,bedroom_2,entry,kitchen,living,kitchen,entry,kitchen,kitchen,bedroom_3,kitchen,living,kitchen,entry,living
3420,d02 Wed 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,entry,kitchen,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,entry,outside,living,kitchen,entry,entry,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
3480,d02 Wed 10:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,entry,kitchen,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,entry,outside,living,kitchen,entry,entry,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
3540,d02 Wed 11:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,entry,kitchen,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,entry,outside,living,kitchen,entry,entry,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
3600,d02 Wed 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,entry,kitchen,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,entry,outside,living,kitchen,entry,entry,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
3660,d02 Wed 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,entry,kitchen,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,entry,outside,living,kitchen,entry,entry,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
3720,d02 Wed 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,entry,kitchen,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,entry,outside,living,kitchen,entry,entry,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
3780,d02 Wed 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,entry,kitchen,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,entry,outside,living,kitchen,entry,entry,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
3840,d02 Wed 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,bedroom_2,entry,kitchen,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,entry,kitchen,living,kitchen,entry,entry,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
3900,d02 Wed 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,bedroom_1,living,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,bedroom_3,bedroom_3,kitchen,living,kitchen,entry,living
3960,d02 Wed 18:00,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,living,living,kitchen,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,living,living,living,kitchen,living,living,living,living,kitchen,living,kitchen,entry,living
4020,d02 Wed 19:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,living,bedroom_2,living,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,living,kitchen,living,kitchen,entry,living
4080,d02 Wed 20:00,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,bathroom,bedroom_3,bathroom,living,bedroom_2,living,living,bathroom,living,bedroom_2,bathroom,living,bedroom_2,living,bathroom,bathroom,kitchen,living,living,bathroom,bathroom,living,living,kitchen,bedroom_1,living
4140,d02 Wed 21:00,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,bedroom_1,bedroom_3,bedroom_1,living,bedroom_2,living,living,bedroom_1,living,bedroom_2,bedroom_1,living,bedroom_2,living,bedroom_2,living,kitchen,living,living,bedroom_2,bedroom_3,living,living,kitchen,bedroom_1,living
4200,d02 Wed 22:00,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,living,bedroom_2,living,living,bedroom_1,living,bedroom_2,bedroom_1,living,bedroom_2,living,bedroom_2,living,kitchen,living,living,bedroom_3,bedroom_3,living,living,kitchen,bedroom_1,living
4260,d02 Wed 23:00,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,living,bedroom_2,living,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,living,bedroom_2,living,kitchen,living,living,bedroom_3,bedroom_3,living,living,kitchen,bedroom_1,living
4320,d03 Thu 00:00,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,living,bedroom_2,living,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,living,bedroom_2,living,kitchen,living,living,bedroom_3,bedroom_3,living,living,kitchen,bedroom_1,living
4380,d03 Thu 01:00,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,living,bedroom_2,living,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,living,bedroom_2,living,kitchen,living,living,bedroom_3,bedroom_3,living,living,kitchen,bedroom_1,living
4440,d03 Thu 02:00,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,living,bedroom_2,living,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,living,bedroom_2,living,kitchen,living,living,bedroom_3,bedroom_3,living,living,kitchen,bedroom_1,living
4500,d03 Thu 03:00,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,living,bedroom_2,living,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,living,bedroom_2,living,kitchen,living,living,bedroom_3,bedroom_3,living,living,kitchen,bedroom_1,living
4560,d03 Thu 04:00,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,living,bedroom_2,living,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,living,bedroom_2,living,kitchen,living,living,bedroom_3,bedroom_3,living,living,kitchen,bedroom_1,living
4620,d03 Thu 05:00,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,living,bedroom_2,living,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,living,bedroom_2,living,kitchen,living,living,bedroom_3,bedroom_3,living,living,kitchen,bedroom_1,living
4680,d03 Thu 06:00,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,living,bedroom_2,living,living,kitchen,living,bedroom_2,bedroom_1,living,bedroom_2,living,bedroom_2,living,kitchen,living,living,bedroom_3,bedroom_3,living,living,kitchen,bedroom_1,living
