t,stamp,mug_1,mug_2,plate_1,plate_2,bowl_1,glasses_1,book_1,remote_1,blanket_1,notebook_1,pen_1,medication_bottle_1,keys_1,wallet_1,jacket_1
2820,d01 Fri 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,entry,kitchen,entry,entry,entry
2880,d02 Sat 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,entry,kitchen,entry,entry,entry
2940,d02 Sat 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,entry,kitchen,entry,entry,entry
3000,d02 Sat 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,entry,kitchen,entry,entry,entry
3060,d02 Sat 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,entry,kitchen,entry,entry,entry
3120,d02 Sat 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,entry,kitchen,entry,entry,entry
3180,d02 Sat 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,entry,kitchen,entry,entry,entry
3240,d02 Sat 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,entry,kitchen,entry,entry,entry
3300,d02 Sat 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,entry,kitchen,entry,entry,entry
3360,d02 Sat 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,entry,kitchen,entry,entry,entry
3420,d02 Sat 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,entry,kitchen,entry,entry,entry
3480,d02 Sat 10:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,entry,kitchen,entry,entry,entry
3540,d02 Sat 11:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
3600,d02 Sat 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
3660,d02 Sat 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
3720,d02 Sat 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
3780,d02 Sat 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
3840,d02 Sat 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
3900,d02 Sat 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
3960,d02 Sat 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
4020,d02 Sat 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
4080,d02 Sat 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
4140,d02 Sat 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
4200,d02 Sat 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
4260,d02 Sat 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
4320,d03 Sun 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,living,entry,kitchen,entry,entry,entry
4380,d03 Sun 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
4440,d03 Sun 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
4500,d03 Sun 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
4560,d03 Sun 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
4620,d03 Sun 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
4680,d03 Sun 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
4740,d03 Sun 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
4800,d03 Sun 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
4860,d03 Sun 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
4920,d03 Sun 10:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
4980,d03 Sun 11:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
5040,d03 Sun 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
5100,d03 Sun 13:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
5160,d03 Sun 14:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
5220,d03 Sun 15:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
5280,d03 Sun 16:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
5340,d03 Sun 17:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
5400,d03 Sun 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
5460,d03 Sun 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
5520,d03 Sun 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
5580,d03 Sun 21:00,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
5640,d03 Sun 22:00,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
5700,d03 Sun 23:00,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
5760,d04 Mon 00:00,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
5820,d04 Mon 01:00,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
5880,d04 Mon 02:00,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
5940,d04 Mon 03:00,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
6000,d04 Mon 04:00,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
6060,d04 Mon 05:00,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
6120,d04 Mon 06:00,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
6180,d04 Mon 07:00,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
6240,d04 Mon 08:00,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
6300,d04 Mon 09:00,living,kitchen,kitchen,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
6360,d04 Mon 10:00,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
6420,d04 Mon 11:00,kitchen,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
6480,d04 Mon 12:00,kitchen,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,outside,outside,outside
6540,d04 Mon 13:00,kitchen,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,outside,outside,outside
6600,d04 Mon 14:00,kitchen,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,kitchen
6660,d04 Mon 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,kitchen
6720,d04 Mon 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,living,living,kitchen,entry,entry,kitchen
6780,d04 Mon 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
6840,d04 Mon 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
6900,d04 Mon 19:00,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
6960,d04 Mon 20:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
7020,d04 Mon 21:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
7080,d04 Mon 22:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
7140,d04 Mon 23:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
7200,d05 Tue 00:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
7260,d05 Tue 01:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
7320,d05 Tue 02:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
7380,d05 Tue 03:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
7440,d05 Tue 04:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
7500,d05 Tue 05:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
7560,d05 Tue 06:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
7620,d05 Tue 07:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
7680,d05 Tue 08:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
7740,d05 Tue 09:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
7800,d05 Tue 10:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
7860,d05 Tue 11:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,living,living,living,kitchen,entry,entry,entry
7920,d05 Tue 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,living,living,living,kitchen,outside,outside,outside
7980,d05 Tue 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,living,living,living,kitchen,outside,outside,outside
8040,d05 Tue 14:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,living,living,living,kitchen,entry,entry,entry
8100,d05 Tue 15:00,living,kitchen,living,kitchen,kitchen,bedroom,bedroom,living,living,living,living,kitchen,outside,outside,outside
8160,d05 Tue 16:00,living,kitchen,living,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
8220,d05 Tue 17:00,living,kitchen,living,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
8280,d05 Tue 18:00,living,kitchen,living,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
8340,d05 Tue 19:00,kitchen,kitchen,living,kitchen,living,living,living,living,living,living,living,kitchen,entry,entry,entry
8400,d05 Tue 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
8460,d05 Tue 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
8520,d05 Tue 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
8580,d05 Tue 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,living,living,kitchen,entry,entry,entry
8640,d06 Wed 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
8700,d06 Wed 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
8760,d06 Wed 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
8820,d06 Wed 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
8880,d06 Wed 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
8940,d06 Wed 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
9000,d06 Wed 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
9060,d06 Wed 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
9120,d06 Wed 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
9180,d06 Wed 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
9240,d06 Wed 10:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
9300,d06 Wed 11:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
9360,d06 Wed 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
9420,d06 Wed 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
9480,d06 Wed 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
9540,d06 Wed 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
9600,d06 Wed 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
9660,d06 Wed 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,outside,outside,outside
9720,d06 Wed 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
9780,d06 Wed 19:00,living,kitchen,living,kitchen,living,living,bedroom,living,bedroom,living,living,kitchen,entry,entry,entry
9840,d06 Wed 20:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
9900,d06 Wed 21:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
9960,d06 Wed 22:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
10020,d06 Wed 23:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
10080,d07 Thu 00:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
10140,d07 Thu 01:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
10200,d07 Thu 02:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
10260,d07 Thu 03:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
10320,d07 Thu 04:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
10380,d07 Thu 05:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
10440,d07 Thu 06:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
10500,d07 Thu 07:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
10560,d07 Thu 08:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
10620,d07 Thu 09:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,living,kitchen,entry,entry,entry
10680,d07 Thu 10:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
10740,d07 Thu 11:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
10800,d07 Thu 12:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,outside,outside,outside
10860,d07 Thu 13:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,outside,outside,outside
10920,d07 Thu 14:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,kitchen
10980,d07 Thu 15:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,outside,outside,outside
11040,d07 Thu 16:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
11100,d07 Thu 17:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
11160,d07 Thu 18:00,living,kitchen,living,kitchen,living,living,living,living,bedroom,living,living,kitchen,entry,entry,entry
11220,d07 Thu 19:00,living,kitchen,living,kitchen,living,living,living,living,living,living,living,kitchen,entry,entry,entry
11280,d07 Thu 20:00,kitchen,kitchen,living,kitchen,living,living,living,living,living,living,living,kitchen,entry,entry,entry
11340,d07 Thu 21:00,living,kitchen,living,kitchen,living,living,living,living,living,living,living,kitchen,entry,entry,entry
11400,d07 Thu 22:00,living,kitchen,living,kitchen,living,living,living,living,living,living,entry,kitchen,entry,entry,entry
11460,d07 Thu 23:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
11520,d08 Fri 00:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
11580,d08 Fri 01:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
11640,d08 Fri 02:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
11700,d08 Fri 03:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
11760,d08 Fri 04:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
11820,d08 Fri 05:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
11880,d08 Fri 06:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
11940,d08 Fri 07:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
12000,d08 Fri 08:00,living,kitchen,living,kitchen,living,bedroom,living,living,bedroom,living,entry,kitchen,entry,entry,entry
12060,d08 Fri 09:00,kitchen,kitchen,living,kitchen,living,living,living,living,living,living,entry,kitchen,entry,entry,entry
12120,d08 Fri 10:00,kitchen,kitchen,living,kitchen,living,living,living,living,living,living,entry,kitchen,entry,entry,entry
