t,stamp,mug_1,mug_2,bowl_1,plate_1,laptop_1,phone_1,phone_2,keys_1,keys_2,book_1,water_bottle_1,water_bottle_2,remote_1,charger_1,jacket_1,jacket_2,glasses_1,glasses_2,medication_bottle_1,blanket_1,towel_1,umbrella_1
1020,d00 Mon 17:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
1080,d00 Mon 18:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
1140,d00 Mon 19:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
1200,d00 Mon 20:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
1260,d00 Mon 21:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
1320,d00 Mon 22:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
1380,d00 Mon 23:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
1440,d01 Tue 00:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
1500,d01 Tue 01:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
1560,d01 Tue 02:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
1620,d01 Tue 03:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
1680,d01 Tue 04:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
1740,d01 Tue 05:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
1800,d01 Tue 06:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
1860,d01 Tue 07:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,entry,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_2,kitchen,living,kitchen,living,kitchen,entry
1920,d01 Tue 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,bedroom_1,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,entry
1980,d01 Tue 09:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,bedroom_1,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,entry
2040,d01 Tue 10:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
2100,d01 Tue 11:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
2160,d01 Tue 12:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
2220,d01 Tue 13:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
2280,d01 Tue 14:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
2340,d01 Tue 15:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
2400,d01 Tue 16:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
2460,d01 Tue 17:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
2520,d01 Tue 18:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
2580,d01 Tue 19:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
2640,d01 Tue 20:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
2700,d01 Tue 21:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
2760,d01 Tue 22:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
2820,d01 Tue 23:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
2880,d02 Wed 00:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
2940,d02 Wed 01:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
3000,d02 Wed 02:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
3060,d02 Wed 03:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
3120,d02 Wed 04:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
3180,d02 Wed 05:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
3240,d02 Wed 06:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
3300,d02 Wed 07:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
3360,d02 Wed 08:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,bedroom_2,living,bedroom_1,bedroom_2,living,bedroom_1,bedroom_2,kitchen,living,bedroom_2,kitchen,living,kitchen,entry
3420,d02 Wed 09:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
3480,d02 Wed 10:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
3540,d02 Wed 11:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
3600,d02 Wed 12:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
3660,d02 Wed 13:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
3720,d02 Wed 14:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
3780,d02 Wed 15:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
3840,d02 Wed 16:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
3900,d02 Wed 17:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
3960,d02 Wed 18:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
4020,d02 Wed 19:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
4080,d02 Wed 20:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
4140,d02 Wed 21:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
4200,d02 Wed 22:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
4260,d02 Wed 23:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
4320,d03 Thu 00:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
4380,d03 Thu 01:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
4440,d03 Thu 02:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
4500,d03 Thu 03:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
4560,d03 Thu 04:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
4620,d03 Thu 05:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
4680,d03 Thu 06:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
4740,d03 Thu 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,bedroom_2,kitchen,living,kitchen,living,kitchen,entry
4800,d03 Thu 08:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,bedroom_2,living,bedroom_1,living,living,bedroom_1,bedroom_2,kitchen,living,bedroom_2,kitchen,living,kitchen,entry
4860,d03 Thu 09:00,kitchen,living,kitchen,kitchen,kitchen,outside,living,entry,living,living,bedroom_1,living,living,bedroom_1,entry,kitchen,outside,living,kitchen,living,kitchen,entry
4920,d03 Thu 10:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
4980,d03 Thu 11:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
5040,d03 Thu 12:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
5100,d03 Thu 13:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
5160,d03 Thu 14:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
5220,d03 Thu 15:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
5280,d03 Thu 16:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
5340,d03 Thu 17:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
5400,d03 Thu 18:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
5460,d03 Thu 19:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
5520,d03 Thu 20:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
5580,d03 Thu 21:00,kitchen,living,kitchen,kitchen,kitchen,bathroom,kitchen,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,bathroom,living,kitchen,living,kitchen,entry
5640,d03 Thu 22:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
5700,d03 Thu 23:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
5760,d04 Fri 00:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
5820,d04 Fri 01:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
5880,d04 Fri 02:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
5940,d04 Fri 03:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
6000,d04 Fri 04:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
6060,d04 Fri 05:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
6120,d04 Fri 06:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,living,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
6180,d04 Fri 07:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,living,living,kitchen,kitchen,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
6240,d04 Fri 08:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,bedroom_2,living,bedroom_1,bedroom_2,living,bedroom_1,bedroom_2,living,living,bedroom_2,kitchen,living,kitchen,entry
6300,d04 Fri 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,outside,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,outside,living,kitchen,living,kitchen,entry
6360,d04 Fri 10:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
6420,d04 Fri 11:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
6480,d04 Fri 12:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
6540,d04 Fri 13:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
6600,d04 Fri 14:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
6660,d04 Fri 15:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
6720,d04 Fri 16:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
6780,d04 Fri 17:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
6840,d04 Fri 18:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
6900,d04 Fri 19:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
6960,d04 Fri 20:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
7020,d04 Fri 21:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,kitchen,living,kitchen,living,kitchen,entry
7080,d04 Fri 22:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,living,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
7140,d04 Fri 23:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
7200,d05 Sat 00:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
7260,d05 Sat 01:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
7320,d05 Sat 02:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
7380,d05 Sat 03:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
7440,d05 Sat 04:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
7500,d05 Sat 05:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
7560,d05 Sat 06:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,living,living,bedroom_1,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,living,kitchen,living,kitchen,entry
7620,d05 Sat 07:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,living,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_2,kitchen,living,kitchen,living,kitchen,entry
7680,d05 Sat 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,bedroom_1,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,entry
7740,d05 Sat 09:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,living,living,bedroom_1,living,living,bedroom_1,living,living,living,living,kitchen,living,kitchen,entry
7800,d05 Sat 10:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
7860,d05 Sat 11:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
7920,d05 Sat 12:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,kitchen,living,kitchen,living,kitchen,entry
7980,d05 Sat 13:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
8040,d05 Sat 14:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,living,living,living,kitchen,living,kitchen,entry
