t,stamp,mug_1,mug_2,bowl_1,bowl_2,plate_1,plate_2,laptop_1,laptop_2,phone_1,phone_2,keys_1,keys_2,book_1,book_2,water_bottle_1,water_bottle_2,backpack_1,backpack_2,jacket_1,jacket_2,charger_1,charger_2,notebook_1,pen_1,medication_bottle_1,toy_1,toy_2,blanket_1,blanket_2,dog_leash_1,towel_1,towel_2,wallet_1,wallet_2,umbrella_1,remote_1,headphones_1,lunchbox_1,lunchbox_2,gaming_controller_1
600,d00 Mon 10:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
660,d00 Mon 11:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
720,d00 Mon 12:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
780,d00 Mon 13:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
840,d00 Mon 14:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
900,d00 Mon 15:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
960,d00 Mon 16:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1020,d00 Mon 17:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1080,d00 Mon 18:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1140,d00 Mon 19:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1200,d00 Mon 20:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1260,d00 Mon 21:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1320,d00 Mon 22:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1380,d00 Mon 23:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1440,d01 Tue 00:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1500,d01 Tue 01:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1560,d01 Tue 02:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1620,d01 Tue 03:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1680,d01 Tue 04:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1740,d01 Tue 05:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1800,d01 Tue 06:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1860,d01 Tue 07:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1920,d01 Tue 08:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
1980,d01 Tue 09:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
2040,d01 Tue 10:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
2100,d01 Tue 11:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
2160,d01 Tue 12:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
2220,d01 Tue 13:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
2280,d01 Tue 14:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
2340,d01 Tue 15:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
2400,d01 Tue 16:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
2460,d01 Tue 17:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
2520,d01 Tue 18:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
2580,d01 Tue 19:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
2640,d01 Tue 20:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
2700,d01 Tue 21:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
2760,d01 Tue 22:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
2820,d01 Tue 23:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
2880,d02 Wed 00:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
2940,d02 Wed 01:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
3000,d02 Wed 02:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
3060,d02 Wed 03:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
3120,d02 Wed 04:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
3180,d02 Wed 05:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
3240,d02 Wed 06:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
3300,d02 Wed 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
3360,d02 Wed 08:00,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,outside,kitchen,outside,entry,kitchen,outside,outside,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,outside,kitchen,living
3420,d02 Wed 09:00,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,outside,kitchen,outside,entry,kitchen,outside,outside,bedroom_2,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,outside,kitchen,living
3480,d02 Wed 10:00,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,outside,kitchen,outside,entry,kitchen,outside,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,kitchen,living,living,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,outside,kitchen,living
3540,d02 Wed 11:00,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,outside,kitchen,outside,entry,kitchen,outside,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,kitchen,living,living,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,outside,kitchen,living
3600,d02 Wed 12:00,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,outside,kitchen,outside,entry,kitchen,outside,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,kitchen,living,living,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,outside,kitchen,living
3660,d02 Wed 13:00,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,outside,kitchen,outside,entry,kitchen,outside,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,kitchen,living,living,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,outside,kitchen,living
3720,d02 Wed 14:00,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,outside,kitchen,outside,entry,kitchen,outside,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,kitchen,living,living,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,outside,kitchen,living
3780,d02 Wed 15:00,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,kitchen,living,living,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,kitchen,kitchen,living
3840,d02 Wed 16:00,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,bedroom_3,entry,living,living,living,kitchen,entry,entry,kitchen,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,kitchen,bedroom_3,bedroom_3,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,kitchen,kitchen,living
3900,d02 Wed 17:00,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,bedroom_3,entry,living,bedroom_3,living,kitchen,entry,entry,kitchen,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,kitchen,bedroom_3,bedroom_3,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,kitchen,kitchen,living
3960,d02 Wed 18:00,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,bedroom_3,entry,living,bedroom_3,living,kitchen,entry,entry,kitchen,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,kitchen,bedroom_3,bedroom_3,outside,bathroom,bathroom,entry,kitchen,entry,living,kitchen,kitchen,kitchen,living
4020,d02 Wed 19:00,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,kitchen,outside,outside,bedroom_3,entry,living,bedroom_3,living,kitchen,entry,entry,kitchen,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,bedroom_2,bedroom_3,bedroom_3,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,kitchen,kitchen,living
4080,d02 Wed 20:00,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,kitchen,outside,outside,bedroom_3,entry,living,bedroom_3,living,kitchen,entry,entry,kitchen,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,bedroom_2,bedroom_3,bedroom_3,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,kitchen,kitchen,living
4140,d02 Wed 21:00,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,kitchen,outside,outside,bedroom_3,entry,living,bedroom_3,living,kitchen,entry,entry,kitchen,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,bedroom_3,bedroom_2,bedroom_3,bedroom_3,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,kitchen,kitchen,living
4200,d02 Wed 22:00,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,kitchen,outside,outside,bedroom_3,entry,living,bedroom_3,living,kitchen,entry,entry,kitchen,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,bedroom_3,bedroom_2,bedroom_3,bedroom_3,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,kitchen,kitchen,living
4260,d02 Wed 23:00,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,kitchen,outside,outside,bedroom_3,entry,living,bedroom_3,living,kitchen,entry,entry,kitchen,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,bedroom_3,bedroom_2,bedroom_3,bedroom_3,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,kitchen,kitchen,living
4320,d03 Thu 00:00,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,kitchen,outside,outside,bedroom_3,entry,living,bedroom_3,living,kitchen,entry,entry,kitchen,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,bedroom_3,bedroom_2,bedroom_3,bedroom_3,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,kitchen,kitchen,living
4380,d03 Thu 01:00,kitchen,bedroom_2,living,kitchen,kitchen,living,kitchen,kitchen,outside,outside,bedroom_3,entry,living,bedroom_3,living,kitchen,entry,entry,kitchen,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,bedroom_3,bedroom_2,bedroom_3,bedroom_3,entry,bathroom,bathroom,entry,kitchen,entry,living,kitchen,kitchen,kitchen,living
