t,stamp,glasses_elena,book_elena,mug_elena,blanket_elena,medication_bottle_elena_1,notebook_elena,watering_can_elena,phone_elena,keys_elena,wallet_elena,laptop_marco,phone_marco,keys_marco,wallet_marco,backpack_marco,lunchbox_marco,water_bottle_marco,jacket_marco,phone_priya,keys_priya,wallet_priya,backpack_priya,lunchbox_priya,water_bottle_priya,jacket_priya,makeup_kit_priya,hairbrush_priya,notebook_priya,laptop_sofia,phone_sofia,keys_sofia,backpack_sofia,water_bottle_sofia,headphones_sofia,notebook_sofia,pen_sofia,jacket_sofia,gaming_controller_sofia,phone_leo,keys_leo,backpack_leo,lunchbox_leo,water_bottle_leo,tablet_leo,toy_leo_1,blanket_leo,notebook_leo,pen_leo,jacket_leo,remote_shared_1,gaming_controller_shared_1,charger_shared_1,bowl_shared_1,plate_shared_1,pot_shared_1,pan_shared_1,vacuum_cleaner_shared_1,laundry_basket_shared_1,umbrella_shared_1,suitcase_shared_1
600,d00 Mon 10:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bathroom,kitchen,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_4,kitchen,bedroom_4,outside,living,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
660,d00 Mon 11:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bathroom,kitchen,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_4,kitchen,kitchen,outside,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
720,d00 Mon 12:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bathroom,kitchen,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_4,kitchen,kitchen,outside,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
780,d00 Mon 13:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bathroom,kitchen,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,kitchen,outside,outside,outside,outside,outside,outside,living,living,kitchen,kitchen,outside,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
840,d00 Mon 14:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bathroom,kitchen,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,kitchen,outside,outside,outside,outside,outside,outside,living,living,kitchen,kitchen,outside,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
900,d00 Mon 15:00,living,living,kitchen,living,bathroom,kitchen,kitchen,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bathroom,kitchen,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,kitchen,kitchen,kitchen,entry,kitchen,kitchen,living,living,living,kitchen,kitchen,entry,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
960,d00 Mon 16:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,entry,entry,kitchen,kitchen,entry,bedroom_2,bathroom,kitchen,bedroom_3,bedroom_3,entry,bedroom_3,kitchen,bedroom_3,kitchen,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,kitchen,entry,kitchen,kitchen,bedroom_3,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1020,d00 Mon 17:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bathroom,kitchen,bedroom_3,bedroom_3,entry,bedroom_3,kitchen,bedroom_3,bedroom_3,bedroom_3,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,living,living,living,kitchen,kitchen,entry,kitchen,kitchen,bedroom_3,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1080,d00 Mon 18:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bathroom,kitchen,bedroom_3,bedroom_3,entry,bedroom_3,kitchen,bedroom_3,bedroom_3,kitchen,entry,kitchen,kitchen,bedroom_4,kitchen,kitchen,kitchen,kitchen,living,bedroom_4,kitchen,kitchen,entry,kitchen,kitchen,bedroom_3,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1140,d00 Mon 19:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,living,kitchen,entry,bedroom_2,bedroom_2,kitchen,bedroom_3,bedroom_3,entry,bedroom_3,kitchen,bedroom_3,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_4,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1200,d00 Mon 20:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,living,kitchen,entry,bedroom_2,bedroom_2,kitchen,bedroom_3,bedroom_3,entry,bedroom_3,kitchen,bedroom_3,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_4,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1260,d00 Mon 21:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,bedroom_2,kitchen,entry,bedroom_2,bedroom_2,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_4,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1320,d00 Mon 22:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,bedroom_2,kitchen,entry,bedroom_2,bedroom_2,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_4,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1380,d00 Mon 23:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,bedroom_2,kitchen,entry,bedroom_2,bedroom_2,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_4,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1440,d01 Tue 00:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,bedroom_2,kitchen,entry,bedroom_2,bedroom_2,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_4,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1500,d01 Tue 01:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,bedroom_2,kitchen,entry,bedroom_2,bedroom_2,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_4,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1560,d01 Tue 02:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,bedroom_2,kitchen,entry,bedroom_2,bedroom_2,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_4,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1620,d01 Tue 03:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,bedroom_2,kitchen,entry,bedroom_2,bedroom_2,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_4,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1680,d01 Tue 04:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,bedroom_2,kitchen,entry,bedroom_2,bedroom_2,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_4,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1740,d01 Tue 05:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,living,entry,bedroom_2,entry,kitchen,kitchen,entry,kitchen,entry,bedroom_2,entry,bedroom_2,kitchen,entry,bathroom,bedroom_2,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_4,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1800,d01 Tue 06:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,entry,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bathroom,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1860,d01 Tue 07:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,bedroom_2,entry,kitchen,kitchen,entry,bathroom,bathroom,kitchen,bedroom_3,kitchen,entry,kitchen,kitchen,bedroom_3,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1920,d01 Tue 08:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bathroom,bathroom,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,bedroom_3,kitchen,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
1980,d01 Tue 09:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_1,bathroom,kitchen,outside,outside,outside,outside,outside,bedroom_3,kitchen,bedroom_3,outside,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_4,kitchen,kitchen,outside,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
2040,d01 Tue 10:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bathroom,kitchen,outside,outside,outside,outside,outside,bedroom_3,kitchen,bedroom_3,outside,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_4,kitchen,kitchen,outside,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
2100,d01 Tue 11:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bathroom,kitchen,outside,outside,outside,outside,outside,bedroom_3,kitchen,bedroom_3,outside,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_4,kitchen,kitchen,outside,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
2160,d01 Tue 12:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bathroom,kitchen,kitchen,outside,outside,outside,outside,bedroom_3,kitchen,bedroom_3,outside,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_4,kitchen,kitchen,outside,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
2220,d01 Tue 13:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bathroom,kitchen,kitchen,outside,outside,outside,outside,bedroom_3,kitchen,bedroom_3,outside,kitchen,outside,outside,outside,outside,outside,outside,living,living,kitchen,kitchen,outside,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
2280,d01 Tue 14:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bathroom,kitchen,kitchen,outside,outside,outside,outside,bedroom_3,kitchen,bedroom_3,outside,kitchen,outside,outside,outside,outside,outside,outside,living,living,kitchen,kitchen,outside,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
2340,d01 Tue 15:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_2,entry,entry,entry,kitchen,kitchen,entry,bedroom_2,bathroom,kitchen,bedroom_3,outside,outside,outside,outside,bedroom_3,kitchen,bedroom_3,outside,kitchen,outside,kitchen,kitchen,kitchen,kitchen,outside,living,living,kitchen,kitchen,entry,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,entry
2400,d01 Tue 16:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_2,entry,entry,entry,kitchen,kitchen,entry,bedroom_2,bathroom,kitchen,bedroom_3,kitchen,bedroom_3,bedroom_3,kitchen,bedroom_3,kitchen,bedroom_3,kitchen,living,outside,living,entry,kitchen,kitchen,outside,living,living,kitchen,kitchen,entry,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,entry,bedroom_2,entry,entry
2460,d01 Tue 17:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,kitchen,kitchen,entry,entry,kitchen,kitchen,entry,bedroom_2,kitchen,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bathroom,kitchen,bedroom_3,kitchen,bedroom_3,bedroom_3,kitchen,bedroom_3,bedroom_3,bedroom_3,kitchen,living,kitchen,living,entry,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen,living,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
2520,d01 Tue 18:00,living,living,kitchen,living,bathroom,kitchen,entry,living,entry,bedroom_1,bedroom_2,kitchen,kitchen,entry,entry,kitchen,kitchen,entry,bedroom_2,kitchen,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bathroom,kitchen,bedroom_3,kitchen,bedroom_3,bedroom_3,kitchen,bedroom_3,kitchen,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen,living,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
2580,d01 Tue 19:00,living,living,kitchen,living,bathroom,kitchen,entry,living,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,entry,entry,kitchen,kitchen,entry,bedroom_2,kitchen,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bathroom,kitchen,bedroom_3,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,bathroom,kitchen,kitchen,kitchen,bedroom_2,living,bedroom_4,bathroom,kitchen,entry,kitchen,living,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
2640,d01 Tue 20:00,living,living,kitchen,living,bathroom,kitchen,entry,living,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,entry,entry,kitchen,kitchen,entry,bedroom_2,kitchen,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bathroom,kitchen,bedroom_3,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_4,kitchen,kitchen,kitchen,bedroom_2,living,bedroom_4,bedroom_4,kitchen,entry,kitchen,living,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
2700,d01 Tue 21:00,living,living,kitchen,living,bathroom,kitchen,entry,living,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,entry,entry,kitchen,kitchen,entry,bedroom_2,kitchen,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bathroom,kitchen,bedroom_3,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_4,kitchen,kitchen,kitchen,bedroom_2,living,bedroom_4,bedroom_4,kitchen,entry,kitchen,living,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
2760,d01 Tue 22:00,living,living,kitchen,living,bathroom,kitchen,entry,living,kitchen,bedroom_1,bedroom_2,kitchen,kitchen,entry,entry,kitchen,kitchen,entry,bedroom_2,kitchen,bedroom_2,entry,kitchen,kitchen,entry,bedroom_2,bathroom,kitchen,bedroom_3,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_4,kitchen,kitchen,kitchen,bedroom_2,living,bedroom_4,bedroom_4,kitchen,entry,kitchen,living,living,living,kitchen,kitchen,kitchen,entry,bedroom_2,entry,bedroom_2
