t,stamp,mug_elena,mug_marcus,laptop_elena,laptop_marcus,phone_elena,phone_marcus,keys_elena,keys_marcus,wallet_elena,wallet_marcus,book_elena,book_marcus,water_bottle_elena,water_bottle_marcus,remote_shared,charger_elena,charger_marcus,backpack_elena,backpack_marcus,jacket_elena,jacket_marcus,headphones_elena,glasses_elena,notebook_marcus,pen_marcus,blanket_shared,towel_shared,laundry_basket_shared,pot_shared,pan_shared,lunchbox_marcus,umbrella_shared
840,d00 Mon 14:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
900,d00 Mon 15:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
960,d00 Mon 16:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
1020,d00 Mon 17:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
1080,d00 Mon 18:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
1140,d00 Mon 19:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,living,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
1200,d00 Mon 20:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,entry,entry,entry,entry,living,living,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
1260,d00 Mon 21:00,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,entry,entry,entry,entry,living,living,bedroom_1,kitchen,living,bedroom_2,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,bathroom,bedroom_2,kitchen,kitchen,kitchen,entry
1320,d00 Mon 22:00,kitchen,kitchen,living,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,living,living,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,entry,bathroom,entry,kitchen,kitchen,kitchen,entry
1380,d00 Mon 23:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
1440,d01 Tue 00:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
1500,d01 Tue 01:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
1560,d01 Tue 02:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
1620,d01 Tue 03:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
1680,d01 Tue 04:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
1740,d01 Tue 05:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,entry,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
1800,d01 Tue 06:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,kitchen,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
1860,d01 Tue 07:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,bedroom_2,entry,bedroom_1,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_1,entry,entry,entry,bedroom_1,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
1920,d01 Tue 08:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,entry,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,entry,entry,entry,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
1980,d01 Tue 09:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,bedroom_1,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
2040,d01 Tue 10:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,bedroom_1,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
2100,d01 Tue 11:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,bedroom_1,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
2160,d01 Tue 12:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,bedroom_1,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
2220,d01 Tue 13:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,bedroom_1,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
2280,d01 Tue 14:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,bedroom_1,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
2340,d01 Tue 15:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,bedroom_1,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
2400,d01 Tue 16:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,bedroom_1,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
2460,d01 Tue 17:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,bedroom_1,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
2520,d01 Tue 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry
2580,d01 Tue 19:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
2640,d01 Tue 20:00,kitchen,kitchen,living,kitchen,bedroom_2,bedroom_2,entry,entry,entry,entry,living,living,bedroom_1,kitchen,living,bedroom_2,bedroom_2,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,bedroom_2,kitchen,kitchen,kitchen,entry
2700,d01 Tue 21:00,kitchen,kitchen,living,kitchen,bedroom_1,bedroom_1,entry,entry,entry,entry,living,kitchen,bedroom_1,kitchen,living,bedroom_1,bedroom_1,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,bedroom_1,kitchen,kitchen,kitchen,entry
2760,d01 Tue 22:00,kitchen,kitchen,living,kitchen,bedroom_1,kitchen,entry,entry,entry,entry,living,kitchen,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
2820,d01 Tue 23:00,kitchen,kitchen,living,kitchen,bedroom_1,kitchen,entry,entry,entry,entry,living,kitchen,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
2880,d02 Wed 00:00,kitchen,kitchen,living,kitchen,bedroom_1,kitchen,entry,entry,entry,entry,living,kitchen,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
2940,d02 Wed 01:00,kitchen,kitchen,living,kitchen,bedroom_1,kitchen,entry,entry,entry,entry,living,kitchen,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
3000,d02 Wed 02:00,kitchen,kitchen,living,kitchen,bedroom_1,kitchen,entry,entry,entry,entry,living,kitchen,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
3060,d02 Wed 03:00,kitchen,kitchen,living,kitchen,bedroom_1,kitchen,entry,entry,entry,entry,living,kitchen,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
3120,d02 Wed 04:00,kitchen,kitchen,living,kitchen,bedroom_1,kitchen,entry,entry,entry,entry,living,kitchen,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
3180,d02 Wed 05:00,kitchen,kitchen,living,kitchen,bedroom_1,kitchen,entry,entry,entry,entry,living,kitchen,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
3240,d02 Wed 06:00,kitchen,kitchen,living,kitchen,bedroom_1,kitchen,entry,entry,entry,entry,living,kitchen,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
3300,d02 Wed 07:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,entry,kitchen,entry,entry,living,kitchen,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
3360,d02 Wed 08:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,entry,kitchen,entry,entry,living,kitchen,bedroom_1,kitchen,living,bedroom_1,kitchen,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
3420,d02 Wed 09:00,kitchen,kitchen,living,kitchen,outside,outside,outside,outside,outside,outside,living,kitchen,bedroom_1,outside,living,bedroom_1,kitchen,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
3480,d02 Wed 10:00,kitchen,kitchen,living,kitchen,outside,outside,outside,outside,outside,outside,living,kitchen,bedroom_1,outside,living,bedroom_1,kitchen,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
3540,d02 Wed 11:00,kitchen,kitchen,living,kitchen,outside,outside,outside,outside,outside,outside,living,kitchen,bedroom_1,outside,living,bedroom_1,kitchen,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
3600,d02 Wed 12:00,kitchen,kitchen,living,kitchen,outside,outside,outside,outside,outside,outside,living,kitchen,bedroom_1,outside,living,bedroom_1,kitchen,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
3660,d02 Wed 13:00,kitchen,kitchen,living,kitchen,outside,outside,outside,outside,outside,outside,living,kitchen,bedroom_1,outside,living,bedroom_1,kitchen,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
3720,d02 Wed 14:00,kitchen,kitchen,living,kitchen,outside,outside,outside,outside,outside,outside,living,kitchen,bedroom_1,outside,living,bedroom_1,kitchen,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
3780,d02 Wed 15:00,kitchen,kitchen,living,kitchen,outside,outside,outside,kitchen,outside,outside,living,kitchen,bedroom_1,outside,living,bedroom_1,kitchen,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
3840,d02 Wed 16:00,kitchen,kitchen,living,kitchen,outside,outside,outside,kitchen,outside,outside,living,kitchen,bedroom_1,outside,living,bedroom_1,kitchen,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
3900,d02 Wed 17:00,kitchen,kitchen,living,kitchen,outside,outside,outside,kitchen,outside,outside,living,kitchen,bedroom_1,outside,living,bedroom_1,kitchen,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,outside,outside
3960,d02 Wed 18:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,entry,entry,living,bedroom_2,bedroom_1,kitchen,living,bedroom_1,bedroom_2,entry,entry,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
4020,d02 Wed 19:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,entry,kitchen,living,bedroom_2,kitchen,kitchen,living,bedroom_1,bedroom_2,entry,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
4080,d02 Wed 20:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,entry,kitchen,kitchen,bedroom_2,kitchen,kitchen,living,bedroom_1,bedroom_2,entry,kitchen,entry,entry,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
4140,d02 Wed 21:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,entry,entry,kitchen,living,bedroom_2,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
4200,d02 Wed 22:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,entry,entry,kitchen,living,bedroom_2,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
4260,d02 Wed 23:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,entry,entry,kitchen,living,bedroom_2,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
4320,d03 Thu 00:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,entry,entry,kitchen,living,bedroom_2,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
4380,d03 Thu 01:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,entry,entry,kitchen,living,bedroom_2,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
4440,d03 Thu 02:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,entry,entry,kitchen,living,bedroom_2,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
4500,d03 Thu 03:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,entry,entry,kitchen,living,bedroom_2,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
4560,d03 Thu 04:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,entry,entry,kitchen,living,bedroom_2,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
4620,d03 Thu 05:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,entry,entry,kitchen,living,bedroom_2,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
4680,d03 Thu 06:00,kitchen,kitchen,bedroom_1,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,entry,kitchen,living,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,entry,kitchen,entry,bedroom_2,bedroom_1,bedroom_2,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
4740,d03 Thu 07:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,kitchen,entry,kitchen,living,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,entry,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,bathroom,entry,kitchen,kitchen,kitchen,entry
4800,d03 Thu 08:00,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_2,entry,kitchen,entry,kitchen,living,bedroom_2,kitchen,kitchen,living,kitchen,bedroom_2,entry,kitchen,entry,living,bedroom_1,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,kitchen,entry
4860,d03 Thu 09:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
4920,d03 Thu 10:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
4980,d03 Thu 11:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
5040,d03 Thu 12:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
5100,d03 Thu 13:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
5160,d03 Thu 14:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
5220,d03 Thu 15:00,kitchen,kitchen,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,outside,living,kitchen,bedroom_2,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,kitchen,outside,outside
