t,stamp,laptop_mara,phone_mara,keys_mara,wallet_mara,mug_mara,water_bottle_mara,headphones_mara,notebook_mara,pen_mara,book_mara,charger_mara,backpack_mara,jacket_mara,glasses_mara,yoga_mat_mara,laptop_leon,phone_leon,keys_leon,wallet_leon,tablet_leon,headphones_leon,notebook_leon,pen_leon,water_bottle_leon,backpack_leon,jacket_leon,gaming_controller_leon,mug_shared_1,bowl_shared_1,plate_shared_1,pot_shared_1,pan_shared_1,remote_shared_1,blanket_shared_1,towel_shared_1,laundry_basket_shared_1,vacuum_cleaner_shared_1,watering_can_shared_1,umbrella_shared_1
600,d00 Mon 10:00,bedroom_2,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_1,bedroom_2,entry,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
660,d00 Mon 11:00,bedroom_2,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_1,bedroom_2,entry,entry,bedroom_2,bedroom_2,bedroom_1,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
720,d00 Mon 12:00,bedroom_2,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_1,bedroom_2,entry,entry,bedroom_2,bedroom_2,bedroom_1,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
780,d00 Mon 13:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_1,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
840,d00 Mon 14:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_1,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
900,d00 Mon 15:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,bedroom_1,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
960,d00 Mon 16:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,living,bedroom_1,living,entry,entry,bedroom_2,bedroom_2,bedroom_1,kitchen,entry,entry,bedroom_1,bedroom_1,kitchen,living,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,living,entry
1020,d00 Mon 17:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,living,bedroom_1,living,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_1,kitchen,living,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,living,entry
1080,d00 Mon 18:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_1,living,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
1140,d00 Mon 19:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,living,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
1200,d00 Mon 20:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,living,entry,entry,bathroom,bedroom_2,kitchen,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
1260,d00 Mon 21:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,living,entry,entry,bathroom,bedroom_2,kitchen,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
1320,d00 Mon 22:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,living,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
1380,d00 Mon 23:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,living,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
1440,d01 Tue 00:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,living,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
1500,d01 Tue 01:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,living,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
1560,d01 Tue 02:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,living,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
1620,d01 Tue 03:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,living,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
1680,d01 Tue 04:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,living,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
1740,d01 Tue 05:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,living,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
1800,d01 Tue 06:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,living,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
1860,d01 Tue 07:00,bedroom_2,bedroom_2,entry,entry,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
1920,d01 Tue 08:00,bedroom_2,bedroom_2,entry,entry,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
1980,d01 Tue 09:00,bedroom_2,bedroom_2,entry,entry,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
2040,d01 Tue 10:00,bedroom_2,bedroom_2,entry,entry,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,living,entry,entry,bedroom_2,bedroom_2,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
2100,d01 Tue 11:00,bedroom_2,kitchen,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,kitchen,entry,entry,kitchen,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
2160,d01 Tue 12:00,bedroom_2,kitchen,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
2220,d01 Tue 13:00,bedroom_2,kitchen,entry,entry,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
2280,d01 Tue 14:00,bedroom_2,kitchen,entry,entry,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
2340,d01 Tue 15:00,bedroom_2,kitchen,entry,entry,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_1,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
2400,d01 Tue 16:00,bedroom_2,kitchen,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
2460,d01 Tue 17:00,outside,outside,outside,outside,kitchen,outside,outside,outside,bedroom_2,bedroom_1,living,outside,outside,bedroom_2,bedroom_2,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
2520,d01 Tue 18:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_1,living,entry,entry,bedroom_2,bedroom_2,bedroom_1,kitchen,entry,entry,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
2580,d01 Tue 19:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,entry,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,living,entry
2640,d01 Tue 20:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,entry,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,living,entry
2700,d01 Tue 21:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,bedroom_1,bedroom_2,entry,entry,bedroom_1,bedroom_2,kitchen,entry,entry,kitchen,living,bedroom_1,kitchen,kitchen,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,bathroom,bedroom_1,entry,living,entry
2760,d01 Tue 22:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,living,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,entry,entry,kitchen,living,bedroom_1,kitchen,kitchen,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,living,entry
2820,d01 Tue 23:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,living,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,entry,entry,kitchen,living,bedroom_1,kitchen,kitchen,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,living,entry
2880,d02 Wed 00:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,living,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,living,entry
2940,d02 Wed 01:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,living,living,entry,entry,bedroom_2,bedroom_2,kitchen,entry,entry,entry,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
3000,d02 Wed 02:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,living,living,entry,entry,bathroom,bedroom_2,kitchen,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
3060,d02 Wed 03:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,living,living,entry,entry,bedroom_1,bedroom_2,kitchen,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
3120,d02 Wed 04:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,living,living,entry,entry,bedroom_1,bedroom_2,kitchen,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
3180,d02 Wed 05:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,entry,bedroom_2,living,living,entry,entry,bedroom_1,bedroom_2,kitchen,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
3240,d02 Wed 06:00,bedroom_2,bedroom_2,entry,entry,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,living,living,entry,entry,bedroom_1,bedroom_2,kitchen,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
3300,d02 Wed 07:00,bedroom_2,kitchen,entry,entry,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,living,kitchen,entry,entry,kitchen,bedroom_2,kitchen,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
3360,d02 Wed 08:00,bedroom_2,kitchen,entry,entry,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,living,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
3420,d02 Wed 09:00,bedroom_2,kitchen,entry,entry,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,living,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
3480,d02 Wed 10:00,bedroom_2,kitchen,entry,entry,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,living,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,entry,entry,entry,bedroom_1,bedroom_1,kitchen,bedroom_1,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
3540,d02 Wed 11:00,bedroom_2,kitchen,entry,entry,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,living,bedroom_1,entry,entry,bedroom_1,bedroom_2,bedroom_1,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
3600,d02 Wed 12:00,bedroom_2,kitchen,entry,entry,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,living,living,entry,entry,bedroom_1,bedroom_2,kitchen,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
3660,d02 Wed 13:00,bedroom_2,kitchen,entry,entry,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,living,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
3720,d02 Wed 14:00,bedroom_2,kitchen,entry,entry,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,living,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
3780,d02 Wed 15:00,bedroom_2,kitchen,entry,entry,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,living,bedroom_2,entry,entry,bedroom_2,bedroom_2,kitchen,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
3840,d02 Wed 16:00,bedroom_2,entry,entry,entry,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,living,kitchen,entry,kitchen,kitchen,bedroom_2,bedroom_1,entry,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
3900,d02 Wed 17:00,bedroom_2,entry,entry,entry,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,living,living,entry,kitchen,kitchen,bedroom_2,bedroom_1,living,entry,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,entry,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bathroom,bedroom_1,entry,kitchen,entry
