t,stamp,mug_1,mug_2,mug_3,mug_4,laptop_1,laptop_2,phone_1,phone_2,phone_3,phone_4,keys_1,keys_2,book_1,book_2,book_3,book_4,water_bottle_1,water_bottle_2,water_bottle_3,water_bottle_4,remote_1,charger_1,charger_2,backpack_1,backpack_2,jacket_1,jacket_2,jacket_3,jacket_4,headphones_1,headphones_2,glasses_1,glasses_2,notebook_1,notebook_2,notebook_3,notebook_4,pen_1,pen_2,pen_3
600,d00 Mon 10:00,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_2,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,bedroom_2,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,living,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,outside,living,kitchen,bedroom_2,outside
660,d00 Mon 11:00,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_2,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,bedroom_2,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,living,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,outside,living,kitchen,bedroom_2,outside
720,d00 Mon 12:00,kitchen,kitchen,entry,kitchen,living,bedroom_2,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,bedroom_2,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,bedroom_1,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,outside,living,kitchen,bedroom_2,outside
780,d00 Mon 13:00,kitchen,kitchen,entry,kitchen,living,bedroom_2,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,bedroom_2,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,bedroom_1,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,outside,living,kitchen,bedroom_2,outside
840,d00 Mon 14:00,kitchen,kitchen,entry,kitchen,living,bedroom_2,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,bedroom_2,outside,bedroom_2,bedroom_1,kitchen,outside,living,living,bedroom_1,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,outside,living,kitchen,bedroom_2,outside
900,d00 Mon 15:00,kitchen,kitchen,kitchen,living,living,bedroom_2,kitchen,outside,kitchen,living,kitchen,entry,kitchen,bedroom_2,kitchen,living,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,bedroom_2,kitchen
960,d00 Mon 16:00,kitchen,kitchen,kitchen,living,living,bedroom_2,kitchen,outside,kitchen,living,kitchen,entry,kitchen,bedroom_2,kitchen,living,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,bedroom_2,kitchen
1020,d00 Mon 17:00,kitchen,kitchen,kitchen,living,living,bedroom_2,kitchen,outside,kitchen,living,kitchen,entry,kitchen,bedroom_2,kitchen,living,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,bedroom_2,kitchen
1080,d00 Mon 18:00,kitchen,kitchen,kitchen,living,living,bedroom_2,kitchen,outside,kitchen,living,kitchen,entry,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,living,bedroom_1,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,bedroom_2,kitchen,living,kitchen,bedroom_2,kitchen
1140,d00 Mon 19:00,kitchen,living,kitchen,living,living,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
1200,d00 Mon 20:00,kitchen,living,kitchen,living,living,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
1260,d00 Mon 21:00,kitchen,living,kitchen,living,living,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
1320,d00 Mon 22:00,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,kitchen,kitchen,bedroom_2,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,entry,entry,kitchen,entry,entry,entry,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,kitchen,living,bedroom_1,bedroom_2,kitchen
1380,d00 Mon 23:00,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_2,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,kitchen,bedroom_3,bedroom_2,bedroom_3,kitchen,bedroom_3,living,bedroom_2,bedroom_1,living,entry,entry,entry,entry,entry,living,kitchen,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_3,living,bedroom_1,bedroom_2,bedroom_3
1440,d01 Tue 00:00,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_2,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,kitchen,bedroom_3,bedroom_2,bedroom_3,kitchen,bedroom_3,living,bedroom_2,bedroom_1,living,entry,entry,entry,entry,entry,living,kitchen,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_3,living,bedroom_1,bedroom_2,bedroom_3
1500,d01 Tue 01:00,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_2,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,kitchen,bedroom_3,bedroom_2,bedroom_3,kitchen,bedroom_3,living,bedroom_2,bedroom_1,living,entry,entry,entry,entry,entry,living,kitchen,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_3,living,bedroom_1,bedroom_2,bedroom_3
1560,d01 Tue 02:00,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_2,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,kitchen,bedroom_3,bedroom_2,bedroom_3,kitchen,bedroom_3,living,bedroom_2,bedroom_1,living,entry,entry,entry,entry,entry,living,kitchen,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_3,living,bedroom_1,bedroom_2,bedroom_3
1620,d01 Tue 03:00,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_2,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,kitchen,bedroom_3,bedroom_2,bedroom_3,kitchen,bedroom_3,living,bedroom_2,bedroom_1,living,entry,entry,entry,entry,entry,living,kitchen,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_3,living,bedroom_1,bedroom_2,bedroom_3
1680,d01 Tue 04:00,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_2,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,kitchen,bedroom_3,bedroom_2,bedroom_3,kitchen,bedroom_3,living,bedroom_2,bedroom_1,living,entry,entry,entry,entry,entry,living,kitchen,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_3,living,bedroom_1,bedroom_2,bedroom_3
1740,d01 Tue 05:00,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_2,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,kitchen,bedroom_3,bedroom_2,bedroom_3,kitchen,bedroom_3,living,bedroom_2,bedroom_1,living,entry,entry,entry,entry,entry,living,kitchen,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_3,living,bedroom_1,bedroom_2,bedroom_3
1800,d01 Tue 06:00,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_2,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,kitchen,bedroom_3,bedroom_2,bedroom_3,kitchen,bedroom_3,living,bedroom_2,bedroom_1,living,entry,entry,entry,entry,entry,living,kitchen,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_3,living,bedroom_1,bedroom_2,bedroom_3
1860,d01 Tue 07:00,kitchen,kitchen,entry,kitchen,bedroom_1,bedroom_2,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,kitchen,bedroom_3,bedroom_2,bedroom_3,kitchen,bedroom_3,living,bedroom_2,bedroom_1,living,entry,entry,entry,entry,entry,living,kitchen,bedroom_2,bedroom_1,bedroom_2,bedroom_1,bedroom_2,bedroom_3,living,bedroom_1,bedroom_2,bedroom_3
1920,d01 Tue 08:00,kitchen,kitchen,entry,kitchen,living,bedroom_2,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,kitchen,outside,living,bedroom_1,kitchen,outside,living,bedroom_2,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,outside,living,kitchen,bedroom_2,outside
1980,d01 Tue 09:00,kitchen,kitchen,entry,kitchen,living,bedroom_2,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,kitchen,outside,living,bedroom_1,kitchen,outside,living,bedroom_2,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,outside,living,kitchen,bedroom_2,outside
2040,d01 Tue 10:00,kitchen,kitchen,entry,kitchen,living,bedroom_2,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,kitchen,outside,living,bedroom_1,kitchen,outside,living,bedroom_2,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,outside,living,kitchen,bedroom_2,outside
2100,d01 Tue 11:00,kitchen,kitchen,entry,kitchen,living,bedroom_2,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,kitchen,outside,living,bedroom_1,kitchen,outside,living,bedroom_2,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,outside,living,kitchen,bedroom_2,outside
2160,d01 Tue 12:00,kitchen,kitchen,entry,kitchen,living,bedroom_2,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,kitchen,outside,living,bedroom_1,kitchen,outside,living,bedroom_2,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,outside,living,kitchen,bedroom_2,outside
2220,d01 Tue 13:00,kitchen,kitchen,entry,kitchen,living,bedroom_2,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,kitchen,outside,living,bedroom_1,kitchen,outside,living,bedroom_2,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,outside,living,kitchen,bedroom_2,outside
2280,d01 Tue 14:00,kitchen,kitchen,entry,kitchen,living,bedroom_2,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,kitchen,outside,living,bedroom_1,kitchen,outside,living,bedroom_2,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,outside,living,kitchen,bedroom_2,outside
2340,d01 Tue 15:00,kitchen,kitchen,entry,kitchen,living,bedroom_2,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,kitchen,outside,living,bedroom_1,kitchen,outside,living,bedroom_2,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,outside,living,kitchen,bedroom_2,outside
2400,d01 Tue 16:00,kitchen,kitchen,kitchen,living,bedroom_1,bedroom_2,kitchen,outside,kitchen,living,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,living,bedroom_2,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,bedroom_2,kitchen
2460,d01 Tue 17:00,kitchen,kitchen,kitchen,living,living,bedroom_2,kitchen,outside,kitchen,living,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,living,bedroom_2,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,bedroom_2,kitchen
2520,d01 Tue 18:00,kitchen,kitchen,kitchen,living,living,bedroom_2,kitchen,outside,living,living,kitchen,entry,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,living,kitchen,bedroom_2,kitchen
2580,d01 Tue 19:00,kitchen,living,kitchen,living,living,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
2640,d01 Tue 20:00,kitchen,living,kitchen,living,living,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
2700,d01 Tue 21:00,kitchen,living,kitchen,living,living,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,bedroom_3,kitchen,kitchen,living,living,bedroom_1,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
2760,d01 Tue 22:00,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,living,living,bedroom_2,bedroom_1,kitchen,living,kitchen,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,kitchen,living,bedroom_1,kitchen,living,living,bedroom_1,kitchen,living
2820,d01 Tue 23:00,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,living,living,bedroom_2,bedroom_1,kitchen,living,kitchen,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,kitchen,living,bedroom_1,kitchen,living,living,bedroom_1,kitchen,living
2880,d02 Wed 00:00,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,living,bedroom_3,bedroom_2,bedroom_1,kitchen,bedroom_3,kitchen,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,kitchen,living,bedroom_1,kitchen,bedroom_3,living,bedroom_1,kitchen,bedroom_3
2940,d02 Wed 01:00,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,living,bedroom_3,bedroom_2,bedroom_1,kitchen,bedroom_3,kitchen,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,kitchen,living,bedroom_1,kitchen,bedroom_3,living,bedroom_1,kitchen,bedroom_3
3000,d02 Wed 02:00,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,living,bedroom_3,bedroom_2,bedroom_1,kitchen,bedroom_3,kitchen,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,kitchen,living,bedroom_1,kitchen,bedroom_3,living,bedroom_1,kitchen,bedroom_3
3060,d02 Wed 03:00,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,living,bedroom_3,bedroom_2,bedroom_1,kitchen,bedroom_3,kitchen,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,kitchen,living,bedroom_1,kitchen,bedroom_3,living,bedroom_1,kitchen,bedroom_3
3120,d02 Wed 04:00,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,living,bedroom_3,bedroom_2,bedroom_1,kitchen,bedroom_3,kitchen,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,kitchen,living,bedroom_1,kitchen,bedroom_3,living,bedroom_1,kitchen,bedroom_3
3180,d02 Wed 05:00,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,living,bedroom_3,bedroom_2,bedroom_1,kitchen,bedroom_3,kitchen,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,kitchen,living,bedroom_1,kitchen,bedroom_3,living,bedroom_1,kitchen,bedroom_3
3240,d02 Wed 06:00,kitchen,living,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_3,bedroom_2,entry,entry,bedroom_1,living,bedroom_3,bedroom_2,bedroom_1,kitchen,bedroom_3,kitchen,living,bedroom_1,kitchen,entry,entry,entry,entry,entry,entry,bedroom_1,bedroom_2,kitchen,living,bedroom_1,kitchen,bedroom_3,living,bedroom_1,kitchen,bedroom_3
3300,d02 Wed 07:00,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_2,kitchen,entry,kitchen,living,bedroom_3,bedroom_2,bedroom_1,kitchen,bedroom_3,kitchen,living,kitchen,kitchen,entry,entry,kitchen,entry,entry,entry,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,bedroom_3,living,kitchen,kitchen,bedroom_3
3360,d02 Wed 08:00,kitchen,living,entry,kitchen,kitchen,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,kitchen,living,kitchen,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
3420,d02 Wed 09:00,kitchen,living,entry,kitchen,bedroom_1,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,kitchen,living,living,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
3480,d02 Wed 10:00,kitchen,living,entry,kitchen,bedroom_1,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,kitchen,living,living,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
3540,d02 Wed 11:00,kitchen,living,entry,kitchen,living,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,kitchen,living,living,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
3600,d02 Wed 12:00,kitchen,living,entry,kitchen,living,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,kitchen,living,living,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
3660,d02 Wed 13:00,kitchen,living,entry,kitchen,living,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,kitchen,living,living,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
3720,d02 Wed 14:00,kitchen,living,entry,kitchen,living,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,kitchen,living,living,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
3780,d02 Wed 15:00,kitchen,living,entry,kitchen,living,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,kitchen,living,living,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
3840,d02 Wed 16:00,kitchen,living,entry,kitchen,living,kitchen,kitchen,outside,outside,bedroom_2,kitchen,entry,kitchen,living,outside,bedroom_2,bedroom_1,kitchen,outside,kitchen,living,living,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,outside,living,kitchen,kitchen,outside
3900,d02 Wed 17:00,kitchen,living,kitchen,living,living,kitchen,kitchen,outside,kitchen,living,kitchen,entry,kitchen,living,kitchen,living,bedroom_1,kitchen,kitchen,living,living,living,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
3960,d02 Wed 18:00,kitchen,living,kitchen,living,living,kitchen,kitchen,outside,kitchen,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,entry,kitchen,entry,entry,living,kitchen,bedroom_2,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen
4020,d02 Wed 19:00,kitchen,living,kitchen,living,living,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
4080,d02 Wed 20:00,kitchen,living,kitchen,living,living,living,kitchen,living,living,living,kitchen,entry,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,living,living,living,living,entry,entry,kitchen,entry,entry,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen,living,kitchen
