policy,wait_hours,label,transition,resense_anchors
always_resense,4.0,bowl_1,unchanged_wrong,dining.table
always_resense,4.0,candle_1,wrong_to_right,dining.table
always_resense,4.0,cup_1,unchanged_wrong,office.desk
always_resense,4.0,keys_1,unchanged_right,office.desk
always_resense,4.0,phone_1,baseline_abstained_abstain,
always_resense,4.0,potted_plant_1,baseline_abstained_abstain,
always_resense,4.0,stool_1,baseline_abstained_abstain,
always_resense,4.0,vase_1,baseline_abstained_abstain,office.desk
confidence_stop,0.25,book_1,baseline_abstained_abstain,
confidence_stop,0.25,bowl_1,unchanged_right,
confidence_stop,0.25,candle_1,unchanged_right,
confidence_stop,0.25,cup_1,unchanged_right,
confidence_stop,0.25,keys_1,unchanged_right,
confidence_stop,0.25,phone_1,baseline_abstained_abstain,
confidence_stop,0.25,potted_plant_1,baseline_abstained_abstain,
confidence_stop,0.25,stool_1,baseline_abstained_abstain,
confidence_stop,0.25,vase_1,baseline_abstained_abstain,
confidence_stop,0.5,book_1,baseline_abstained_abstain,
confidence_stop,0.5,bowl_1,unchanged_right,
confidence_stop,0.5,candle_1,unchanged_right,
confidence_stop,0.5,cup_1,unchanged_right,
confidence_stop,0.5,keys_1,unchanged_right,
confidence_stop,0.5,phone_1,baseline_abstained_abstain,
confidence_stop,0.5,potted_plant_1,baseline_abstained_abstain,
confidence_stop,0.5,stool_1,baseline_abstained_abstain,
confidence_stop,0.5,vase_1,baseline_abstained_abstain,
confidence_stop,1.0,book_1,baseline_abstained_abstain,
confidence_stop,1.0,bowl_1,unchanged_right,
confidence_stop,1.0,candle_1,unchanged_wrong,
confidence_stop,1.0,cup_1,unchanged_right,
confidence_stop,1.0,keys_1,unchanged_right,
confidence_stop,1.0,phone_1,baseline_abstained_abstain,
confidence_stop,1.0,potted_plant_1,baseline_abstained_abstain,
confidence_stop,1.0,stool_1,baseline_abstained_abstain,
confidence_stop,1.0,vase_1,baseline_abstained_abstain,
confidence_stop,2.0,book_1,unchanged_right,
confidence_stop,2.0,bowl_1,unchanged_wrong,
confidence_stop,2.0,candle_1,unchanged_wrong,
confidence_stop,2.0,cup_1,unchanged_right,
confidence_stop,2.0,keys_1,unchanged_right,
confidence_stop,2.0,phone_1,baseline_abstained_abstain,
confidence_stop,2.0,potted_plant_1,baseline_abstained_abstain,
confidence_stop,2.0,stool_1,baseline_abstained_abstain,
confidence_stop,2.0,vase_1,baseline_abstained_abstain,
confidence_stop,4.0,book_1,unchanged_right,
confidence_stop,4.0,bowl_1,unchanged_wrong,
confidence_stop,4.0,candle_1,unchanged_wrong,
confidence_stop,4.0,cup_1,unchanged_wrong,
confidence_stop,4.0,keys_1,unchanged_right,
confidence_stop,4.0,phone_1,baseline_abstained_abstain,
confidence_stop,4.0,potted_plant_1,baseline_abstained_abstain,
confidence_stop,4.0,stool_1,baseline_abstained_abstain,
confidence_stop,4.0,vase_1,baseline_abstained_abstain,
decay_threshold,0.25,book_1,baseline_abstained_abstain,office.desk
decay_threshold,0.25,bowl_1,unchanged_right,
decay_threshold,0.25,candle_1,unchanged_right,
decay_threshold,0.25,cup_1,unchanged_right,
decay_threshold,0.25,keys_1,unchanged_right,
decay_threshold,0.25,phone_1,baseline_abstained_abstain,
decay_threshold,0.25,potted_plant_1,baseline_abstained_abstain,
decay_threshold,0.25,stool_1,baseline_abstained_abstain,
decay_threshold,0.25,vase_1,baseline_abstained_abstain,office.desk
decay_threshold,0.5,book_1,baseline_abstained_abstain,office.desk
decay_threshold,0.5,bowl_1,unchanged_right,
decay_threshold,0.5,candle_1,unchanged_right,
decay_threshold,0.5,cup_1,unchanged_right,
decay_threshold,0.5,keys_1,unchanged_right,
decay_threshold,0.5,phone_1,baseline_abstained_abstain,
decay_threshold,0.5,potted_plant_1,baseline_abstained_abstain,
decay_threshold,0.5,stool_1,baseline_abstained_abstain,
decay_threshold,0.5,vase_1,baseline_abstained_abstain,office.desk
decay_threshold,1.0,book_1,baseline_abstained_abstain,office.desk
decay_threshold,1.0,bowl_1,unchanged_right,
decay_threshold,1.0,candle_1,unchanged_wrong,
decay_threshold,1.0,cup_1,unchanged_right,office.desk
decay_threshold,1.0,keys_1,unchanged_right,
decay_threshold,1.0,phone_1,baseline_abstained_abstain,
decay_threshold,1.0,potted_plant_1,baseline_abstained_abstain,
decay_threshold,1.0,stool_1,baseline_abstained_abstain,
decay_threshold,1.0,vase_1,baseline_abstained_abstain,office.desk
decay_threshold,2.0,book_1,unchanged_right,office.desk
decay_threshold,2.0,bowl_1,unchanged_wrong,dining.table
decay_threshold,2.0,candle_1,unchanged_wrong,
decay_threshold,2.0,cup_1,unchanged_right,office.desk
decay_threshold,2.0,keys_1,unchanged_right,
decay_threshold,2.0,phone_1,baseline_abstained_abstain,
decay_threshold,2.0,potted_plant_1,baseline_abstained_abstain,
decay_threshold,2.0,stool_1,baseline_abstained_abstain,
decay_threshold,2.0,vase_1,baseline_abstained_abstain,office.desk
decay_threshold,4.0,book_1,unchanged_right,office.desk
decay_threshold,4.0,bowl_1,unchanged_wrong,dining.table
decay_threshold,4.0,candle_1,wrong_to_right,dining.table
decay_threshold,4.0,cup_1,unchanged_wrong,office.desk
decay_threshold,4.0,keys_1,unchanged_right,office.desk
decay_threshold,4.0,phone_1,baseline_abstained_abstain,
decay_threshold,4.0,potted_plant_1,baseline_abstained_abstain,
decay_threshold,4.0,stool_1,baseline_abstained_abstain,
decay_threshold,4.0,vase_1,baseline_abstained_abstain,office.desk
decay_voi,0.25,book_1,baseline_abstained_abstain,office.desk
decay_voi,0.25,bowl_1,unchanged_right,
decay_voi,0.25,candle_1,unchanged_right,dining.table
decay_voi,0.25,cup_1,unchanged_right,
decay_voi,0.25,keys_1,unchanged_right,
decay_voi,0.25,phone_1,baseline_abstained_abstain,
decay_voi,0.25,potted_plant_1,baseline_abstained_abstain,
decay_voi,0.25,stool_1,baseline_abstained_abstain,
decay_voi,0.25,vase_1,baseline_abstained_abstain,
decay_voi,0.5,book_1,baseline_abstained_abstain,office.desk
decay_voi,0.5,bowl_1,unchanged_right,
decay_voi,0.5,candle_1,unchanged_right,dining.table
decay_voi,0.5,cup_1,unchanged_right,
decay_voi,0.5,keys_1,unchanged_right,
decay_voi,0.5,phone_1,baseline_abstained_abstain,
decay_voi,0.5,potted_plant_1,baseline_abstained_abstain,
decay_voi,0.5,stool_1,baseline_abstained_abstain,
decay_voi,0.5,vase_1,baseline_abstained_abstain,
decay_voi,1.0,book_1,baseline_abstained_abstain,office.desk
decay_voi,1.0,bowl_1,unchanged_right,
decay_voi,1.0,candle_1,wrong_to_right,dining.table
decay_voi,1.0,cup_1,unchanged_right,
decay_voi,1.0,keys_1,unchanged_right,
decay_voi,1.0,phone_1,baseline_abstained_abstain,
decay_voi,1.0,potted_plant_1,baseline_abstained_abstain,
decay_voi,1.0,stool_1,baseline_abstained_abstain,
decay_voi,1.0,vase_1,baseline_abstained_abstain,
decay_voi,2.0,book_1,unchanged_right,office.desk
decay_voi,2.0,bowl_1,unchanged_wrong,
decay_voi,2.0,candle_1,wrong_to_right,dining.table
decay_voi,2.0,cup_1,unchanged_right,
decay_voi,2.0,keys_1,unchanged_right,
decay_voi,2.0,phone_1,baseline_abstained_abstain,
decay_voi,2.0,potted_plant_1,baseline_abstained_abstain,
decay_voi,2.0,stool_1,baseline_abstained_abstain,
decay_voi,2.0,vase_1,baseline_abstained_abstain,
decay_voi,4.0,book_1,unchanged_right,office.desk
decay_voi,4.0,bowl_1,unchanged_wrong,
decay_voi,4.0,candle_1,wrong_to_right,dining.table
decay_voi,4.0,cup_1,unchanged_wrong,
decay_voi,4.0,keys_1,unchanged_right,
decay_voi,4.0,phone_1,baseline_abstained_abstain,
decay_voi,4.0,potted_plant_1,baseline_abstained_abstain,
decay_voi,4.0,stool_1,baseline_abstained_abstain,
decay_voi,4.0,vase_1,baseline_abstained_abstain,
decay_voi_routing,0.25,book_1,baseline_abstained_abstain,office.desk
decay_voi_routing,0.25,bowl_1,unchanged_right,
decay_voi_routing,0.25,candle_1,unchanged_right,dining.table
decay_voi_routing,0.25,cup_1,unchanged_right,
decay_voi_routing,0.25,keys_1,unchanged_right,
decay_voi_routing,0.25,phone_1,baseline_abstained_abstain,
decay_voi_routing,0.25,potted_plant_1,baseline_abstained_abstain,
decay_voi_routing,0.25,stool_1,baseline_abstained_abstain,
decay_voi_routing,0.25,vase_1,baseline_abstained_abstain,
decay_voi_routing,0.5,book_1,baseline_abstained_abstain,office.desk
decay_voi_routing,0.5,bowl_1,unchanged_right,
decay_voi_routing,0.5,candle_1,unchanged_right,dining.table
decay_voi_routing,0.5,cup_1,unchanged_right,
decay_voi_routing,0.5,keys_1,unchanged_right,
decay_voi_routing,0.5,phone_1,baseline_abstained_abstain,
decay_voi_routing,0.5,potted_plant_1,baseline_abstained_abstain,
decay_voi_routing,0.5,stool_1,baseline_abstained_abstain,
decay_voi_routing,0.5,vase_1,baseline_abstained_abstain,
decay_voi_routing,1.0,book_1,baseline_abstained_abstain,office.desk
decay_voi_routing,1.0,bowl_1,unchanged_right,
decay_voi_routing,1.0,candle_1,wrong_to_right,dining.table
decay_voi_routing,1.0,cup_1,unchanged_right,
decay_voi_routing,1.0,keys_1,unchanged_right,
decay_voi_routing,1.0,phone_1,baseline_abstained_abstain,
decay_voi_routing,1.0,potted_plant_1,baseline_abstained_abstain,
decay_voi_routing,1.0,stool_1,baseline_abstained_abstain,
decay_voi_routing,1.0,vase_1,baseline_abstained_abstain,
decay_voi_routing,2.0,book_1,unchanged_right,office.desk
decay_voi_routing,2.0,bowl_1,unchanged_wrong,
decay_voi_routing,2.0,candle_1,wrong_to_right,dining.table
decay_voi_routing,2.0,cup_1,unchanged_right,
decay_voi_routing,2.0,keys_1,unchanged_right,
decay_voi_routing,2.0,phone_1,baseline_abstained_abstain,
decay_voi_routing,2.0,potted_plant_1,baseline_abstained_abstain,
decay_voi_routing,2.0,stool_1,baseline_abstained_abstain,
decay_voi_routing,2.0,vase_1,baseline_abstained_abstain,
decay_voi_routing,4.0,book_1,unchanged_right,office.desk
decay_voi_routing,4.0,bowl_1,unchanged_wrong,
decay_voi_routing,4.0,candle_1,wrong_to_right,dining.table
decay_voi_routing,4.0,cup_1,unchanged_wrong,
decay_voi_routing,4.0,keys_1,unchanged_right,
decay_voi_routing,4.0,phone_1,baseline_abstained_abstain,
decay_voi_routing,4.0,potted_plant_1,baseline_abstained_abstain,
decay_voi_routing,4.0,stool_1,baseline_abstained_abstain,
decay_voi_routing,4.0,vase_1,baseline_abstained_abstain,
tod_prior,0.25,book_1,baseline_abstained_abstain,
tod_prior,0.25,bowl_1,unchanged_right,
tod_prior,0.25,candle_1,right_to_wrong,
tod_prior,0.25,cup_1,right_to_abstain,
tod_prior,0.25,keys_1,unchanged_right,
tod_prior,0.25,phone_1,baseline_abstained_abstain,
tod_prior,0.25,potted_plant_1,baseline_abstained_abstain,
tod_prior,0.25,stool_1,baseline_abstained_abstain,
tod_prior,0.25,vase_1,baseline_abstained_abstain,
tod_prior,0.5,book_1,baseline_abstained_abstain,
tod_prior,0.5,bowl_1,unchanged_right,
tod_prior,0.5,candle_1,right_to_wrong,
tod_prior,0.5,cup_1,right_to_abstain,
tod_prior,0.5,keys_1,unchanged_right,
tod_prior,0.5,phone_1,baseline_abstained_abstain,
tod_prior,0.5,potted_plant_1,baseline_abstained_abstain,
tod_prior,0.5,stool_1,baseline_abstained_abstain,
tod_prior,0.5,vase_1,baseline_abstained_abstain,
tod_prior,1.0,book_1,baseline_abstained_abstain,
tod_prior,1.0,bowl_1,unchanged_right,
tod_prior,1.0,candle_1,wrong_to_right,
tod_prior,1.0,cup_1,right_to_abstain,
tod_prior,1.0,keys_1,unchanged_right,
tod_prior,1.0,phone_1,baseline_abstained_abstain,
tod_prior,1.0,potted_plant_1,baseline_abstained_abstain,
tod_prior,1.0,stool_1,baseline_abstained_abstain,
tod_prior,1.0,vase_1,baseline_abstained_abstain,
tod_prior,2.0,book_1,unchanged_right,
tod_prior,2.0,bowl_1,unchanged_wrong,
tod_prior,2.0,candle_1,wrong_to_right,
tod_prior,2.0,cup_1,right_to_abstain,
tod_prior,2.0,keys_1,unchanged_right,
tod_prior,2.0,phone_1,baseline_abstained_abstain,
tod_prior,2.0,potted_plant_1,baseline_abstained_abstain,
tod_prior,2.0,stool_1,baseline_abstained_abstain,
tod_prior,2.0,vase_1,baseline_abstained_abstain,
tod_prior,4.0,book_1,unchanged_right,
tod_prior,4.0,bowl_1,unchanged_wrong,
tod_prior,4.0,candle_1,wrong_to_right,
tod_prior,4.0,cup_1,wrong_to_abstain,
tod_prior,4.0,keys_1,unchanged_right,
tod_prior,4.0,phone_1,baseline_abstained_abstain,
tod_prior,4.0,potted_plant_1,baseline_abstained_abstain,
tod_prior,4.0,stool_1,baseline_abstained_abstain,
tod_prior,4.0,vase_1,baseline_abstained_abstain,
