t,stamp,mug_1,mug_2,glasses_1,medication_bottle_1,laptop_1,watering_can_1,blanket_1,book_1,toy_1,phone_1,phone_2,keys_1,keys_2,towel_1,towel_2
960,d00 Mon 16:00,kitchen,kitchen,kitchen,bathroom,living,entry,living,bedroom_1,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
1020,d00 Mon 17:00,kitchen,kitchen,kitchen,bathroom,kitchen,entry,living,bedroom_1,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
1080,d00 Mon 18:00,kitchen,kitchen,kitchen,bathroom,entry,entry,living,bedroom_1,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
1140,d00 Mon 19:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
1200,d00 Mon 20:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
1260,d00 Mon 21:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
1320,d00 Mon 22:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
1380,d00 Mon 23:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
1440,d01 Tue 00:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
1500,d01 Tue 01:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
1560,d01 Tue 02:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
1620,d01 Tue 03:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
1680,d01 Tue 04:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
1740,d01 Tue 05:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
1800,d01 Tue 06:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
1860,d01 Tue 07:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,kitchen,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
1920,d01 Tue 08:00,kitchen,kitchen,kitchen,bathroom,living,kitchen,living,bedroom_1,living,kitchen,bedroom_2,kitchen,kitchen,kitchen,bathroom
1980,d01 Tue 09:00,kitchen,kitchen,living,bathroom,living,kitchen,living,living,living,kitchen,bedroom_2,kitchen,entry,kitchen,bathroom
2040,d01 Tue 10:00,kitchen,kitchen,bedroom_1,bathroom,living,kitchen,living,living,living,kitchen,bedroom_2,kitchen,entry,kitchen,bathroom
2100,d01 Tue 11:00,kitchen,kitchen,bedroom_1,bathroom,living,kitchen,living,living,living,kitchen,bedroom_2,kitchen,entry,kitchen,bathroom
2160,d01 Tue 12:00,kitchen,kitchen,bedroom_1,bathroom,living,kitchen,living,living,living,kitchen,bedroom_2,kitchen,entry,kitchen,bathroom
2220,d01 Tue 13:00,kitchen,kitchen,bedroom_1,bathroom,living,kitchen,living,living,kitchen,kitchen,bedroom_2,kitchen,entry,kitchen,bathroom
2280,d01 Tue 14:00,kitchen,kitchen,bedroom_1,bathroom,kitchen,kitchen,living,living,kitchen,kitchen,bedroom_2,kitchen,entry,kitchen,bathroom
2340,d01 Tue 15:00,kitchen,kitchen,bedroom_1,bathroom,kitchen,kitchen,living,living,kitchen,kitchen,bedroom_2,kitchen,entry,kitchen,bathroom
2400,d01 Tue 16:00,kitchen,kitchen,bedroom_1,bathroom,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom_2,kitchen,entry,kitchen,bathroom
2460,d01 Tue 17:00,kitchen,kitchen,bedroom_1,bathroom,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom_2,kitchen,entry,kitchen,bathroom
2520,d01 Tue 18:00,kitchen,kitchen,bedroom_1,bathroom,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom_2,kitchen,entry,kitchen,bathroom
2580,d01 Tue 19:00,kitchen,kitchen,living,bathroom,entry,kitchen,living,living,living,living,living,kitchen,living,kitchen,bathroom
2640,d01 Tue 20:00,kitchen,kitchen,living,bathroom,entry,kitchen,living,living,living,living,living,kitchen,living,kitchen,bathroom
2700,d01 Tue 21:00,kitchen,kitchen,bedroom_2,bathroom,entry,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
2760,d01 Tue 22:00,kitchen,kitchen,bedroom_2,bathroom,entry,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
2820,d01 Tue 23:00,kitchen,kitchen,bedroom_2,bathroom,entry,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
2880,d02 Wed 00:00,kitchen,kitchen,bedroom_2,bathroom,entry,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
2940,d02 Wed 01:00,kitchen,kitchen,bedroom_2,bathroom,entry,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
3000,d02 Wed 02:00,kitchen,kitchen,bedroom_2,bathroom,entry,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
3060,d02 Wed 03:00,kitchen,kitchen,bedroom_2,bathroom,entry,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
3120,d02 Wed 04:00,kitchen,kitchen,bedroom_2,bathroom,entry,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
3180,d02 Wed 05:00,kitchen,kitchen,bedroom_2,bathroom,entry,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
3240,d02 Wed 06:00,kitchen,kitchen,bedroom_2,bathroom,entry,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
3300,d02 Wed 07:00,kitchen,kitchen,bedroom_2,bathroom,entry,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
3360,d02 Wed 08:00,kitchen,kitchen,kitchen,kitchen,entry,entry,living,bedroom_1,living,bedroom_1,bedroom_2,kitchen,entry,kitchen,bathroom
3420,d02 Wed 09:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
3480,d02 Wed 10:00,kitchen,kitchen,bedroom_1,bathroom,entry,entry,living,living,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
3540,d02 Wed 11:00,kitchen,kitchen,bedroom_1,bathroom,entry,entry,living,living,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
3600,d02 Wed 12:00,kitchen,kitchen,bedroom_1,bathroom,entry,entry,living,living,living,kitchen,kitchen,kitchen,entry,kitchen,bathroom
3660,d02 Wed 13:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
3720,d02 Wed 14:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
3780,d02 Wed 15:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
3840,d02 Wed 16:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
3900,d02 Wed 17:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
3960,d02 Wed 18:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
4020,d02 Wed 19:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
4080,d02 Wed 20:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
4140,d02 Wed 21:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
4200,d02 Wed 22:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,kitchen,kitchen,entry,kitchen,bathroom
4260,d02 Wed 23:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,kitchen,kitchen,entry,kitchen,bathroom
4320,d03 Thu 00:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,kitchen,kitchen,entry,kitchen,bathroom
4380,d03 Thu 01:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,kitchen,kitchen,entry,kitchen,bathroom
4440,d03 Thu 02:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,kitchen,kitchen,entry,kitchen,bathroom
4500,d03 Thu 03:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,kitchen,kitchen,entry,kitchen,bathroom
4560,d03 Thu 04:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,kitchen,kitchen,entry,kitchen,bathroom
4620,d03 Thu 05:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,kitchen,kitchen,entry,kitchen,bathroom
4680,d03 Thu 06:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,kitchen,kitchen,entry,kitchen,bathroom
4740,d03 Thu 07:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,kitchen,kitchen,entry,kitchen,bathroom
4800,d03 Thu 08:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,living,living,living,living,kitchen,living
4860,d03 Thu 09:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,kitchen,bedroom_1,entry,entry,entry,kitchen,bathroom
4920,d03 Thu 10:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,kitchen,bedroom_1,entry,kitchen,entry,kitchen,bathroom
4980,d03 Thu 11:00,kitchen,kitchen,kitchen,bathroom,kitchen,entry,living,living,kitchen,bedroom_1,entry,kitchen,entry,kitchen,bathroom
5040,d03 Thu 12:00,kitchen,kitchen,kitchen,bathroom,living,kitchen,living,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,bathroom
5100,d03 Thu 13:00,kitchen,kitchen,living,bathroom,living,kitchen,living,living,living,living,entry,kitchen,kitchen,kitchen,bathroom
5160,d03 Thu 14:00,kitchen,kitchen,living,bathroom,living,kitchen,living,living,living,living,entry,kitchen,kitchen,kitchen,bathroom
5220,d03 Thu 15:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,living,entry,kitchen,kitchen,kitchen,bathroom
5280,d03 Thu 16:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,living,living,kitchen,living,kitchen,bathroom
5340,d03 Thu 17:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,living,living,kitchen,living,kitchen,bathroom
5400,d03 Thu 18:00,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom
5460,d03 Thu 19:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,living,living,kitchen,living,kitchen,bathroom
5520,d03 Thu 20:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,living,living,kitchen,living,kitchen,bathroom
5580,d03 Thu 21:00,kitchen,kitchen,bedroom_2,kitchen,living,kitchen,living,bedroom_1,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
5640,d03 Thu 22:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
5700,d03 Thu 23:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
5760,d04 Fri 00:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
5820,d04 Fri 01:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
5880,d04 Fri 02:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
5940,d04 Fri 03:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
6000,d04 Fri 04:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
6060,d04 Fri 05:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
6120,d04 Fri 06:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
6180,d04 Fri 07:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bathroom
6240,d04 Fri 08:00,kitchen,kitchen,kitchen,entry,entry,entry,entry,entry,entry,entry,bedroom_2,entry,kitchen,entry,entry
6300,d04 Fri 09:00,kitchen,kitchen,living,bathroom,living,entry,living,bedroom_1,living,bedroom_1,entry,bedroom_1,entry,kitchen,bathroom
6360,d04 Fri 10:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,bathroom
6420,d04 Fri 11:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,bathroom
6480,d04 Fri 12:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,bathroom
6540,d04 Fri 13:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,bedroom_2,kitchen,kitchen,kitchen,bathroom
6600,d04 Fri 14:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,bedroom_2,kitchen,kitchen,kitchen,bathroom
6660,d04 Fri 15:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,bedroom_2,kitchen,kitchen,kitchen,bathroom
6720,d04 Fri 16:00,kitchen,kitchen,living,bathroom,kitchen,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
6780,d04 Fri 17:00,living,living,living,living,living,living,living,living,living,living,living,living,living,living,living
6840,d04 Fri 18:00,kitchen,kitchen,kitchen,bathroom,living,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
6900,d04 Fri 19:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
6960,d04 Fri 20:00,kitchen,kitchen,living,bathroom,living,entry,living,living,living,living,living,kitchen,living,kitchen,bathroom
7020,d04 Fri 21:00,kitchen,kitchen,kitchen,bathroom,living,entry,living,living,living,living,kitchen,kitchen,entry,kitchen,bathroom
7080,d04 Fri 22:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
7140,d04 Fri 23:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
7200,d05 Sat 00:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
7260,d05 Sat 01:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
7320,d05 Sat 02:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
7380,d05 Sat 03:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
7440,d05 Sat 04:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
7500,d05 Sat 05:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
7560,d05 Sat 06:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
7620,d05 Sat 07:00,kitchen,kitchen,bedroom_2,bathroom,living,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
7680,d05 Sat 08:00,kitchen,kitchen,kitchen,bathroom,entry,entry,living,living,living,bedroom_1,bedroom_2,kitchen,entry,kitchen,bathroom
7740,d05 Sat 09:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bedroom_1,kitchen,kitchen,kitchen,kitchen,bathroom
7800,d05 Sat 10:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,bedroom_1,kitchen,kitchen,kitchen,kitchen,bathroom
7860,d05 Sat 11:00,kitchen,kitchen,kitchen,bathroom,entry,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
7920,d05 Sat 12:00,kitchen,kitchen,kitchen,bathroom,entry,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
7980,d05 Sat 13:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,entry,kitchen,entry,kitchen,bathroom
8040,d05 Sat 14:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,entry,kitchen,entry,kitchen,bathroom
8100,d05 Sat 15:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,entry,kitchen,entry,kitchen,bathroom
8160,d05 Sat 16:00,kitchen,kitchen,living,bathroom,entry,living,living,living,living,living,living,kitchen,living,kitchen,bathroom
8220,d05 Sat 17:00,kitchen,kitchen,living,bathroom,entry,living,living,living,living,living,living,kitchen,living,kitchen,bathroom
8280,d05 Sat 18:00,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,bathroom
8340,d05 Sat 19:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,living,living,kitchen,living,kitchen,bathroom
8400,d05 Sat 20:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,living,kitchen,kitchen,living,kitchen,bathroom
8460,d05 Sat 21:00,kitchen,kitchen,living,kitchen,living,kitchen,living,living,living,living,kitchen,kitchen,living,kitchen,bathroom
8520,d05 Sat 22:00,kitchen,kitchen,bedroom_2,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
8580,d05 Sat 23:00,kitchen,kitchen,bedroom_2,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
8640,d06 Sun 00:00,kitchen,kitchen,bedroom_2,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
8700,d06 Sun 01:00,kitchen,kitchen,bedroom_2,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
8760,d06 Sun 02:00,kitchen,kitchen,bedroom_2,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
8820,d06 Sun 03:00,kitchen,kitchen,bedroom_2,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
8880,d06 Sun 04:00,kitchen,kitchen,bedroom_2,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
8940,d06 Sun 05:00,kitchen,kitchen,bedroom_2,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
9000,d06 Sun 06:00,kitchen,kitchen,bedroom_2,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
9060,d06 Sun 07:00,kitchen,kitchen,bedroom_2,kitchen,living,kitchen,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
9120,d06 Sun 08:00,entry,entry,entry,entry,entry,entry,kitchen,entry,entry,entry,bedroom_2,entry,entry,entry,entry
9180,d06 Sun 09:00,kitchen,kitchen,living,living,living,entry,living,bedroom_1,living,living,living,living,living,kitchen,living
9240,d06 Sun 10:00,kitchen,kitchen,living,kitchen,living,entry,living,living,living,kitchen,bedroom_2,entry,kitchen,kitchen,bathroom
9300,d06 Sun 11:00,kitchen,kitchen,living,kitchen,living,entry,living,living,living,kitchen,bedroom_2,entry,kitchen,kitchen,bathroom
9360,d06 Sun 12:00,kitchen,kitchen,kitchen,kitchen,living,entry,living,living,living,kitchen,kitchen,entry,kitchen,kitchen,bathroom
9420,d06 Sun 13:00,kitchen,kitchen,kitchen,kitchen,living,entry,living,living,living,kitchen,kitchen,entry,kitchen,kitchen,bathroom
9480,d06 Sun 14:00,kitchen,kitchen,kitchen,kitchen,living,entry,living,living,living,kitchen,kitchen,entry,kitchen,kitchen,bathroom
9540,d06 Sun 15:00,kitchen,kitchen,living,kitchen,living,entry,living,living,living,living,kitchen,entry,kitchen,kitchen,bathroom
9600,d06 Sun 16:00,kitchen,kitchen,living,kitchen,living,entry,living,living,living,living,kitchen,entry,kitchen,kitchen,bathroom
9660,d06 Sun 17:00,living,living,living,living,living,living,living,living,living,kitchen,kitchen,living,kitchen,living,living
9720,d06 Sun 18:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom
9780,d06 Sun 19:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,kitchen,living,kitchen,living,kitchen,bathroom
9840,d06 Sun 20:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,kitchen,living,kitchen,living,kitchen,bathroom
9900,d06 Sun 21:00,kitchen,kitchen,bedroom_1,bathroom,entry,entry,bedroom_1,living,living,bedroom_1,bedroom_1,kitchen,entry,kitchen,bathroom
9960,d06 Sun 22:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
10020,d06 Sun 23:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
10080,d07 Mon 00:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
10140,d07 Mon 01:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
10200,d07 Mon 02:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
10260,d07 Mon 03:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
10320,d07 Mon 04:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
10380,d07 Mon 05:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
10440,d07 Mon 06:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
10500,d07 Mon 07:00,kitchen,kitchen,bedroom_2,bathroom,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,entry,kitchen,bathroom
10560,d07 Mon 08:00,entry,entry,entry,entry,entry,entry,entry,entry,entry,entry,bedroom_2,entry,entry,entry,entry
10620,d07 Mon 09:00,kitchen,kitchen,living,kitchen,entry,entry,living,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen
10680,d07 Mon 10:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
10740,d07 Mon 11:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
10800,d07 Mon 12:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,kitchen,entry,kitchen,entry,kitchen,bathroom
10860,d07 Mon 13:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,entry,kitchen,entry,kitchen,bathroom
10920,d07 Mon 14:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,entry,kitchen,entry,kitchen,bathroom
10980,d07 Mon 15:00,kitchen,kitchen,living,bathroom,entry,entry,living,living,living,living,entry,kitchen,entry,kitchen,bathroom
