t,stamp,phone_nadia,keys_nadia,wallet_nadia,laptop_nadia,water_bottle_nadia,lunchbox_nadia,book_nadia,notebook_nadia,mug_nadia,glasses_nadia,phone_evan,keys_evan,wallet_evan,backpack_evan,laptop_evan,notebook_evan,pen_evan,jacket_evan,mug_evan,phone_leila,keys_leila,wallet_leila,backpack_leila,laptop_leila,headphones_leila,charger_leila,water_bottle_leila,makeup_kit_leila,hairbrush_leila,yoga_mat_leila,phone_mateo,keys_mateo,backpack_mateo,water_bottle_mateo,lunchbox_mateo,notebook_mateo,pen_mateo,toy_mateo,blanket_mateo,tablet_1,remote_1,charger_1,plate_1,plate_2,plate_3,plate_4,bowl_1,bowl_2,pot_1,pan_1,laundry_basket_1,towel_1,vacuum_cleaner_1
1080,d00 Mon 18:00,coffee_table_l1,counter_k1,entry_table_e1,kitchen_table_k1,sink_k1,sink_k1,nightstand_b1,desk_b1,sink_k1,chair_k1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,sink_k1,nightstand_b2,bedroom_floor_b2,desk_b2,bedroom_floor_b2,desk_b2,bed_b2,desk_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,person:resident_4,entry_floor_e1,kitchen_table_k1,sink_k1,kitchen_table_k1,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,sink_k1,nightstand_b2,kitchen_table_k1,cupboard_k1,sink_k1,sink_k1,counter_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,couch_l1
1140,d00 Mon 19:00,coffee_table_l1,counter_k1,entry_table_e1,kitchen_table_k1,dish_rack_k1,sink_k1,nightstand_b1,desk_b1,sink_k1,chair_k1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,sink_k1,nightstand_b2,bedroom_floor_b2,desk_b2,bedroom_floor_b2,desk_b2,bed_b2,desk_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,person:resident_4,entry_floor_e1,kitchen_table_k1,counter_k1,kitchen_table_k1,desk_b3,toy_chest_l1,bed_b3,counter_k1,coffee_table_l1,counter_k1,sink_k1,sink_k1,kitchen_table_k1,sink_k1,sink_k1,sink_k1,sink_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,couch_l1
1200,d00 Mon 20:00,coffee_table_l1,counter_k1,entry_table_e1,kitchen_table_k1,kitchen_table_k1,sink_k1,bed_b2,desk_b1,cupboard_k1,bed_b2,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,sink_k1,nightstand_b2,bedroom_floor_b2,desk_b2,bedroom_floor_b2,desk_b2,bed_b2,desk_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,person:resident_4,entry_floor_e1,kitchen_table_k1,counter_k1,kitchen_table_k1,desk_b3,toy_chest_l1,couch_l1,bed_b2,couch_l1,counter_k1,sink_k1,dish_rack_k1,kitchen_table_k1,dish_rack_k1,cupboard_k1,sink_k1,dish_rack_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,couch_l1
1260,d00 Mon 21:00,coffee_table_l1,counter_k1,entry_table_e1,kitchen_table_k1,kitchen_table_k1,sink_k1,couch_l1,desk_b1,cupboard_k1,coffee_table_l1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,sink_k1,nightstand_b2,bedroom_floor_b2,desk_b2,bedroom_floor_b2,desk_b2,bed_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,person:resident_4,entry_floor_e1,kitchen_table_k1,counter_k1,kitchen_table_k1,desk_b3,toy_chest_l1,couch_l1,couch_l1,couch_l1,counter_k1,sink_k1,dish_rack_k1,kitchen_table_k1,dish_rack_k1,cupboard_k1,sink_k1,dish_rack_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,couch_l1
1320,d00 Mon 22:00,coffee_table_l1,counter_k1,entry_table_e1,desk_b1,kitchen_table_k1,sink_k1,couch_l1,desk_b1,cupboard_k1,desk_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,sink_k1,nightstand_b2,bedroom_floor_b2,desk_b2,bedroom_floor_b2,desk_b2,bed_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,person:resident_4,chair_k1,kitchen_table_k1,counter_k1,kitchen_table_k1,desk_b3,toy_chest_l1,couch_l1,couch_l1,couch_l1,counter_k1,sink_k1,dish_rack_k1,kitchen_table_k1,dish_rack_k1,cupboard_k1,sink_k1,dish_rack_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,couch_l1
1380,d00 Mon 23:00,coffee_table_l1,counter_k1,entry_table_e1,desk_b1,kitchen_table_k1,sink_k1,couch_l1,desk_b1,cupboard_k1,desk_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,sink_k1,nightstand_b2,bedroom_floor_b2,desk_b2,bedroom_floor_b2,desk_b2,bed_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,person:resident_4,chair_k1,kitchen_table_k1,counter_k1,kitchen_table_k1,desk_b3,toy_chest_l1,couch_l1,couch_l1,couch_l1,counter_k1,sink_k1,dish_rack_k1,kitchen_table_k1,dish_rack_k1,cupboard_k1,sink_k1,dish_rack_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,couch_l1
1440,d01 Tue 00:00,coffee_table_l1,counter_k1,entry_table_e1,desk_b1,kitchen_table_k1,sink_k1,couch_l1,desk_b1,cupboard_k1,desk_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,sink_k1,nightstand_b2,bedroom_floor_b2,desk_b2,bedroom_floor_b2,desk_b2,bed_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,person:resident_4,chair_k1,kitchen_table_k1,counter_k1,kitchen_table_k1,desk_b3,toy_chest_l1,couch_l1,couch_l1,couch_l1,counter_k1,sink_k1,dish_rack_k1,kitchen_table_k1,dish_rack_k1,cupboard_k1,sink_k1,dish_rack_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,couch_l1
1500,d01 Tue 01:00,coffee_table_l1,counter_k1,entry_table_e1,desk_b1,kitchen_table_k1,sink_k1,couch_l1,desk_b1,cupboard_k1,desk_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,sink_k1,nightstand_b2,bedroom_floor_b2,desk_b2,bedroom_floor_b2,desk_b2,bed_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,person:resident_4,chair_k1,kitchen_table_k1,counter_k1,kitchen_table_k1,desk_b3,toy_chest_l1,couch_l1,couch_l1,couch_l1,counter_k1,sink_k1,dish_rack_k1,kitchen_table_k1,dish_rack_k1,cupboard_k1,sink_k1,dish_rack_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,couch_l1
1560,d01 Tue 02:00,coffee_table_l1,counter_k1,entry_table_e1,desk_b1,kitchen_table_k1,sink_k1,couch_l1,desk_b1,cupboard_k1,desk_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,sink_k1,nightstand_b2,bedroom_floor_b2,desk_b2,bedroom_floor_b2,desk_b2,bed_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,person:resident_4,chair_k1,kitchen_table_k1,counter_k1,kitchen_table_k1,desk_b3,toy_chest_l1,couch_l1,couch_l1,couch_l1,counter_k1,sink_k1,dish_rack_k1,kitchen_table_k1,dish_rack_k1,cupboard_k1,sink_k1,dish_rack_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,couch_l1
1620,d01 Tue 03:00,coffee_table_l1,counter_k1,entry_table_e1,desk_b1,kitchen_table_k1,sink_k1,couch_l1,desk_b1,cupboard_k1,desk_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,sink_k1,nightstand_b2,bedroom_floor_b2,desk_b2,bedroom_floor_b2,desk_b2,bed_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,person:resident_4,chair_k1,kitchen_table_k1,counter_k1,kitchen_table_k1,desk_b3,toy_chest_l1,couch_l1,couch_l1,couch_l1,counter_k1,sink_k1,dish_rack_k1,kitchen_table_k1,dish_rack_k1,cupboard_k1,sink_k1,dish_rack_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,couch_l1
1680,d01 Tue 04:00,coffee_table_l1,counter_k1,entry_table_e1,desk_b1,kitchen_table_k1,sink_k1,couch_l1,desk_b1,cupboard_k1,desk_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,sink_k1,nightstand_b2,bedroom_floor_b2,desk_b2,bedroom_floor_b2,desk_b2,bed_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,person:resident_4,chair_k1,kitchen_table_k1,counter_k1,kitchen_table_k1,desk_b3,toy_chest_l1,couch_l1,couch_l1,couch_l1,counter_k1,sink_k1,dish_rack_k1,kitchen_table_k1,dish_rack_k1,cupboard_k1,sink_k1,dish_rack_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,couch_l1
1740,d01 Tue 05:00,coffee_table_l1,counter_k1,entry_table_e1,desk_b1,kitchen_table_k1,sink_k1,couch_l1,desk_b1,cupboard_k1,desk_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,sink_k1,nightstand_b2,bedroom_floor_b2,desk_b2,bedroom_floor_b2,desk_b2,bed_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,person:resident_4,chair_k1,kitchen_table_k1,counter_k1,kitchen_table_k1,desk_b3,toy_chest_l1,couch_l1,couch_l1,couch_l1,counter_k1,sink_k1,dish_rack_k1,kitchen_table_k1,dish_rack_k1,cupboard_k1,sink_k1,dish_rack_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,couch_l1
1800,d01 Tue 06:00,coffee_table_l1,counter_k1,entry_table_e1,desk_b1,kitchen_table_k1,sink_k1,couch_l1,desk_b1,cupboard_k1,desk_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,sink_k1,nightstand_b2,bedroom_floor_b2,desk_b2,bedroom_floor_b2,desk_b2,bed_b2,nightstand_b2,desk_b2,desk_b2,desk_b2,bedroom_floor_b2,counter_k1,person:resident_4,chair_k1,kitchen_table_k1,counter_k1,kitchen_table_k1,desk_b3,toy_chest_l1,couch_l1,couch_l1,couch_l1,counter_k1,sink_k1,dish_rack_k1,kitchen_table_k1,dish_rack_k1,cupboard_k1,sink_k1,dish_rack_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,couch_l1
1860,d01 Tue 07:00,person:resident_1,counter_k1,entry_table_e1,desk_b1,kitchen_table_k1,sink_k1,couch_l1,desk_b1,counter_k1,desk_b1,counter_k1,entry_table_e1,nightstand_b1,chair_k1,chair_k1,kitchen_table_k1,kitchen_table_k1,entry_hook_e1,counter_k1,nightstand_b2,bedroom_floor_b2,desk_b2,bedroom_floor_b2,desk_b2,bed_b2,nightstand_b2,desk_b2,desk_b2,bathroom_shelf_ba1,bedroom_floor_b2,counter_k1,person:resident_4,chair_k1,kitchen_table_k1,counter_k1,kitchen_table_k1,desk_b3,toy_chest_l1,couch_l1,couch_l1,couch_l1,counter_k1,sink_k1,dish_rack_k1,kitchen_table_k1,dish_rack_k1,cupboard_k1,sink_k1,dish_rack_k1,cupboard_k1,bedroom_floor_b1,towel_rack_ba1,couch_l1
