t,stamp,mug_1,bowl_1,phone_1,keys_1,water_bottle_1,book_1,blanket_1,laptop_1
1920,d01 Tue 08:00,kitchen,kitchen,outside,kitchen,living,living,living,living
1980,d01 Tue 09:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
2040,d01 Tue 10:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
2100,d01 Tue 11:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
2160,d01 Tue 12:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
2220,d01 Tue 13:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
2280,d01 Tue 14:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
2340,d01 Tue 15:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
2400,d01 Tue 16:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
2460,d01 Tue 17:00,kitchen,kitchen,bathroom,kitchen,living,living,living,living
2520,d01 Tue 18:00,kitchen,kitchen,outside,outside,living,living,living,living
2580,d01 Tue 19:00,kitchen,kitchen,outside,outside,living,living,living,living
2640,d01 Tue 20:00,kitchen,kitchen,outside,outside,living,living,living,living
2700,d01 Tue 21:00,kitchen,kitchen,outside,outside,living,living,living,living
2760,d01 Tue 22:00,kitchen,kitchen,outside,outside,living,living,living,living
2820,d01 Tue 23:00,kitchen,kitchen,outside,outside,living,living,living,living
2880,d02 Wed 00:00,kitchen,kitchen,outside,outside,living,living,living,living
2940,d02 Wed 01:00,kitchen,kitchen,outside,outside,living,living,living,living
3000,d02 Wed 02:00,kitchen,kitchen,outside,outside,living,living,living,living
3060,d02 Wed 03:00,kitchen,kitchen,outside,outside,living,living,living,living
3120,d02 Wed 04:00,kitchen,kitchen,outside,outside,living,living,living,living
3180,d02 Wed 05:00,kitchen,kitchen,outside,outside,living,living,living,living
3240,d02 Wed 06:00,kitchen,kitchen,outside,outside,living,living,living,living
3300,d02 Wed 07:00,kitchen,kitchen,outside,kitchen,living,living,living,living
3360,d02 Wed 08:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
3420,d02 Wed 09:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
3480,d02 Wed 10:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
3540,d02 Wed 11:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
3600,d02 Wed 12:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
3660,d02 Wed 13:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
3720,d02 Wed 14:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
3780,d02 Wed 15:00,kitchen,kitchen,outside,kitchen,living,living,living,living
3840,d02 Wed 16:00,kitchen,kitchen,outside,kitchen,living,living,living,living
3900,d02 Wed 17:00,kitchen,kitchen,living,kitchen,living,living,living,living
3960,d02 Wed 18:00,kitchen,kitchen,outside,outside,living,living,living,living
4020,d02 Wed 19:00,kitchen,kitchen,outside,outside,living,living,living,living
4080,d02 Wed 20:00,kitchen,kitchen,outside,outside,living,living,living,living
4140,d02 Wed 21:00,kitchen,kitchen,outside,outside,living,living,living,living
4200,d02 Wed 22:00,kitchen,kitchen,outside,outside,living,living,living,living
4260,d02 Wed 23:00,kitchen,kitchen,outside,outside,living,living,living,living
4320,d03 Thu 00:00,kitchen,kitchen,outside,outside,living,living,living,living
4380,d03 Thu 01:00,kitchen,kitchen,outside,outside,living,living,living,living
4440,d03 Thu 02:00,kitchen,kitchen,outside,outside,living,living,living,living
4500,d03 Thu 03:00,kitchen,kitchen,outside,outside,living,living,living,living
4560,d03 Thu 04:00,kitchen,kitchen,outside,outside,living,living,living,living
4620,d03 Thu 05:00,kitchen,kitchen,outside,outside,living,living,living,living
4680,d03 Thu 06:00,kitchen,kitchen,outside,outside,living,living,living,living
4740,d03 Thu 07:00,kitchen,kitchen,outside,outside,living,living,living,living
4800,d03 Thu 08:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
4860,d03 Thu 09:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
4920,d03 Thu 10:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
4980,d03 Thu 11:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
5040,d03 Thu 12:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
5100,d03 Thu 13:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
5160,d03 Thu 14:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
5220,d03 Thu 15:00,kitchen,kitchen,bedroom,kitchen,living,living,living,living
5280,d03 Thu 16:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
5340,d03 Thu 17:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
5400,d03 Thu 18:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
5460,d03 Thu 19:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
5520,d03 Thu 20:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
5580,d03 Thu 21:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
5640,d03 Thu 22:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
5700,d03 Thu 23:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
5760,d04 Fri 00:00,kitchen,kitchen,bathroom,kitchen,bedroom,bedroom,living,living
5820,d04 Fri 01:00,kitchen,kitchen,bathroom,kitchen,bedroom,bedroom,living,living
5880,d04 Fri 02:00,kitchen,kitchen,bathroom,kitchen,bedroom,bedroom,living,living
5940,d04 Fri 03:00,kitchen,kitchen,bathroom,kitchen,bedroom,bedroom,living,living
6000,d04 Fri 04:00,kitchen,kitchen,bathroom,kitchen,bedroom,bedroom,living,living
6060,d04 Fri 05:00,kitchen,kitchen,bathroom,kitchen,bedroom,bedroom,living,living
6120,d04 Fri 06:00,kitchen,kitchen,bathroom,kitchen,bedroom,bedroom,living,living
6180,d04 Fri 07:00,kitchen,kitchen,bathroom,kitchen,bedroom,bedroom,living,living
6240,d04 Fri 08:00,kitchen,kitchen,bathroom,kitchen,bedroom,bedroom,living,living
6300,d04 Fri 09:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
6360,d04 Fri 10:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
6420,d04 Fri 11:00,kitchen,kitchen,outside,kitchen,kitchen,bedroom,living,living
6480,d04 Fri 12:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
6540,d04 Fri 13:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
6600,d04 Fri 14:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
6660,d04 Fri 15:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
6720,d04 Fri 16:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
6780,d04 Fri 17:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
6840,d04 Fri 18:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
6900,d04 Fri 19:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
6960,d04 Fri 20:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
7020,d04 Fri 21:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
7080,d04 Fri 22:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
7140,d04 Fri 23:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
7200,d05 Sat 00:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
7260,d05 Sat 01:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
7320,d05 Sat 02:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
7380,d05 Sat 03:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
7440,d05 Sat 04:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
7500,d05 Sat 05:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
7560,d05 Sat 06:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
7620,d05 Sat 07:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
7680,d05 Sat 08:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
7740,d05 Sat 09:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
7800,d05 Sat 10:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
7860,d05 Sat 11:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
7920,d05 Sat 12:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
7980,d05 Sat 13:00,kitchen,kitchen,outside,kitchen,kitchen,bedroom,living,living
8040,d05 Sat 14:00,kitchen,kitchen,outside,kitchen,kitchen,bedroom,living,living
8100,d05 Sat 15:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
8160,d05 Sat 16:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
8220,d05 Sat 17:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
8280,d05 Sat 18:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
8340,d05 Sat 19:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
8400,d05 Sat 20:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
8460,d05 Sat 21:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
8520,d05 Sat 22:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
8580,d05 Sat 23:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
8640,d06 Sun 00:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
8700,d06 Sun 01:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
8760,d06 Sun 02:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
8820,d06 Sun 03:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
8880,d06 Sun 04:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
8940,d06 Sun 05:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
9000,d06 Sun 06:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
9060,d06 Sun 07:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
9120,d06 Sun 08:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
9180,d06 Sun 09:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
9240,d06 Sun 10:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
9300,d06 Sun 11:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
9360,d06 Sun 12:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
9420,d06 Sun 13:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
9480,d06 Sun 14:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
9540,d06 Sun 15:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
9600,d06 Sun 16:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
9660,d06 Sun 17:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
9720,d06 Sun 18:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
9780,d06 Sun 19:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
9840,d06 Sun 20:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
9900,d06 Sun 21:00,kitchen,kitchen,bathroom,living,kitchen,bedroom,living,living
9960,d06 Sun 22:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
10020,d06 Sun 23:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
10080,d07 Mon 00:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
10140,d07 Mon 01:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
10200,d07 Mon 02:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
10260,d07 Mon 03:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
10320,d07 Mon 04:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
10380,d07 Mon 05:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
10440,d07 Mon 06:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
10500,d07 Mon 07:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
10560,d07 Mon 08:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
10620,d07 Mon 09:00,kitchen,kitchen,bathroom,living,bedroom,bedroom,living,living
10680,d07 Mon 10:00,kitchen,kitchen,outside,living,bedroom,bedroom,living,living
10740,d07 Mon 11:00,kitchen,kitchen,outside,living,bedroom,bedroom,living,living
10800,d07 Mon 12:00,kitchen,kitchen,kitchen,living,bedroom,bedroom,living,living
10860,d07 Mon 13:00,kitchen,kitchen,living,living,bedroom,bedroom,living,living
10920,d07 Mon 14:00,kitchen,kitchen,living,living,bedroom,bedroom,living,living
10980,d07 Mon 15:00,kitchen,kitchen,kitchen,living,bedroom,bedroom,living,living
11040,d07 Mon 16:00,kitchen,kitchen,kitchen,living,bedroom,bedroom,living,living
11100,d07 Mon 17:00,kitchen,kitchen,kitchen,living,bedroom,bedroom,living,living
11160,d07 Mon 18:00,kitchen,kitchen,outside,living,bedroom,bedroom,living,living
11220,d07 Mon 19:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
11280,d07 Mon 20:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
11340,d07 Mon 21:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
11400,d07 Mon 22:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
11460,d07 Mon 23:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
11520,d08 Tue 00:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
11580,d08 Tue 01:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
11640,d08 Tue 02:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
11700,d08 Tue 03:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
11760,d08 Tue 04:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
11820,d08 Tue 05:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
11880,d08 Tue 06:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
11940,d08 Tue 07:00,kitchen,kitchen,outside,kitchen,bedroom,bedroom,living,living
12000,d08 Tue 08:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
12060,d08 Tue 09:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
12120,d08 Tue 10:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
12180,d08 Tue 11:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
12240,d08 Tue 12:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
12300,d08 Tue 13:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
12360,d08 Tue 14:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
12420,d08 Tue 15:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
12480,d08 Tue 16:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
12540,d08 Tue 17:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
12600,d08 Tue 18:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
12660,d08 Tue 19:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
12720,d08 Tue 20:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
12780,d08 Tue 21:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
12840,d08 Tue 22:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
12900,d08 Tue 23:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
12960,d09 Wed 00:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
13020,d09 Wed 01:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
13080,d09 Wed 02:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
13140,d09 Wed 03:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
13200,d09 Wed 04:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
13260,d09 Wed 05:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
13320,d09 Wed 06:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
13380,d09 Wed 07:00,kitchen,kitchen,outside,outside,bedroom,bedroom,living,living
13440,d09 Wed 08:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
13500,d09 Wed 09:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
13560,d09 Wed 10:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
13620,d09 Wed 11:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
13680,d09 Wed 12:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
13740,d09 Wed 13:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
13800,d09 Wed 14:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
13860,d09 Wed 15:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
13920,d09 Wed 16:00,kitchen,kitchen,outside,kitchen,living,bedroom,living,living
13980,d09 Wed 17:00,kitchen,kitchen,outside,outside,living,bedroom,living,living
14040,d09 Wed 18:00,kitchen,kitchen,outside,outside,living,bedroom,living,living
14100,d09 Wed 19:00,kitchen,kitchen,outside,outside,living,bedroom,living,living
14160,d09 Wed 20:00,kitchen,kitchen,outside,outside,living,bedroom,living,living
14220,d09 Wed 21:00,kitchen,kitchen,outside,outside,living,bedroom,living,living
14280,d09 Wed 22:00,kitchen,kitchen,outside,living,living,bedroom,living,living
14340,d09 Wed 23:00,kitchen,kitchen,outside,living,living,bedroom,living,living
14400,d10 Thu 00:00,kitchen,kitchen,outside,living,living,bedroom,living,living
14460,d10 Thu 01:00,kitchen,kitchen,outside,living,living,bedroom,living,living
14520,d10 Thu 02:00,kitchen,kitchen,outside,living,living,bedroom,living,living
14580,d10 Thu 03:00,kitchen,kitchen,outside,living,living,bedroom,living,living
14640,d10 Thu 04:00,kitchen,kitchen,outside,living,living,bedroom,living,living
14700,d10 Thu 05:00,kitchen,kitchen,outside,living,living,bedroom,living,living
14760,d10 Thu 06:00,kitchen,kitchen,outside,living,living,bedroom,living,living
14820,d10 Thu 07:00,kitchen,kitchen,outside,living,living,bedroom,living,living
14880,d10 Thu 08:00,kitchen,kitchen,outside,kitchen,living,bedroom,living,living
14940,d10 Thu 09:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
15000,d10 Thu 10:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
15060,d10 Thu 11:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
15120,d10 Thu 12:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
15180,d10 Thu 13:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
15240,d10 Thu 14:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
15300,d10 Thu 15:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
15360,d10 Thu 16:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
15420,d10 Thu 17:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
15480,d10 Thu 18:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
15540,d10 Thu 19:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
15600,d10 Thu 20:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
15660,d10 Thu 21:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
15720,d10 Thu 22:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
15780,d10 Thu 23:00,kitchen,kitchen,bedroom,kitchen,living,bedroom,living,living
15840,d11 Fri 00:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
15900,d11 Fri 01:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
15960,d11 Fri 02:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
16020,d11 Fri 03:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
16080,d11 Fri 04:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
16140,d11 Fri 05:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
16200,d11 Fri 06:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
16260,d11 Fri 07:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
16320,d11 Fri 08:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
16380,d11 Fri 09:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
16440,d11 Fri 10:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
16500,d11 Fri 11:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
16560,d11 Fri 12:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
16620,d11 Fri 13:00,kitchen,kitchen,outside,kitchen,kitchen,bedroom,living,living
16680,d11 Fri 14:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
16740,d11 Fri 15:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
16800,d11 Fri 16:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
16860,d11 Fri 17:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
16920,d11 Fri 18:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
16980,d11 Fri 19:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
17040,d11 Fri 20:00,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living
17100,d11 Fri 21:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
17160,d11 Fri 22:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
17220,d11 Fri 23:00,kitchen,kitchen,bathroom,kitchen,kitchen,bedroom,living,living
17280,d12 Sat 00:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
17340,d12 Sat 01:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
17400,d12 Sat 02:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
17460,d12 Sat 03:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
17520,d12 Sat 04:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
17580,d12 Sat 05:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
17640,d12 Sat 06:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
17700,d12 Sat 07:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
17760,d12 Sat 08:00,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,living,living
17820,d12 Sat 09:00,kitchen,kitchen,bathroom,kitchen,bedroom,living,living,living
17880,d12 Sat 10:00,kitchen,kitchen,outside,kitchen,bedroom,living,living,living
17940,d12 Sat 11:00,kitchen,kitchen,outside,kitchen,bedroom,living,living,living
18000,d12 Sat 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living
18060,d12 Sat 13:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living
18120,d12 Sat 14:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living
18180,d12 Sat 15:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living
18240,d12 Sat 16:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living
18300,d12 Sat 17:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living
18360,d12 Sat 18:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living
18420,d12 Sat 19:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living
18480,d12 Sat 20:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living
18540,d12 Sat 21:00,kitchen,kitchen,living,kitchen,kitchen,living,living,living
18600,d12 Sat 22:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
18660,d12 Sat 23:00,kitchen,kitchen,bedroom,kitchen,bedroom,living,living,living
18720,d13 Sun 00:00,kitchen,kitchen,bedroom,kitchen,bedroom,living,living,living
18780,d13 Sun 01:00,kitchen,kitchen,bedroom,kitchen,bedroom,living,living,living
18840,d13 Sun 02:00,kitchen,kitchen,bedroom,kitchen,bedroom,living,living,living
18900,d13 Sun 03:00,kitchen,kitchen,bedroom,kitchen,bedroom,living,living,living
