t,stamp,mug_1,mug_2,laptop_alex,laptop_bella,laptop_chad,laptop_dana,phone_alex,phone_bella,phone_chad,phone_dana,keys_alex,keys_bella,keys_chad,keys_dana,wallet_alex,wallet_bella,wallet_chad,wallet_dana,book_alex,book_bella,book_chad,book_dana,water_bottle_alex,water_bottle_bella,water_bottle_chad,water_bottle_dana,remote_1,charger_alex,charger_bella,charger_chad,charger_dana,backpack_alex,backpack_bella,backpack_chad,backpack_dana,jacket_alex,jacket_bella,jacket_chad,jacket_dana,headphones_bella,headphones_chad,glasses_alex,glasses_dana,notebook_bella,notebook_dana,pen_1,pen_2,medication_bottle_alex,toy_chad,blanket_1,towel_1,towel_2,gaming_controller_chad,dog_leash_none,lunchbox_alex,lunchbox_dana,umbrella_dana,laundry_basket_1,laundry_basket_2,vacuum_cleaner_1
600,d00 Mon 10:00,kitchen,kitchen,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,entry,entry,outside,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,bedroom_3,outside,bedroom_4,bedroom_1,bedroom_2,bedroom_3,outside,outside,entry,bedroom_3,outside,outside,kitchen,kitchen,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,outside,kitchen,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,bedroom_3,entry,outside,outside,outside,entry,entry,entry
660,d00 Mon 11:00,kitchen,kitchen,outside,bedroom_2,outside,outside,outside,bedroom_2,outside,outside,outside,entry,outside,outside,outside,bedroom_2,outside,outside,outside,bedroom_2,outside,outside,outside,bedroom_2,outside,outside,bedroom_4,bedroom_1,bedroom_2,outside,outside,outside,entry,outside,outside,outside,kitchen,outside,outside,bedroom_2,outside,outside,outside,bedroom_2,outside,kitchen,bedroom_4,bedroom_1,outside,living,bathroom,bathroom,bedroom_3,entry,outside,outside,outside,entry,entry,entry
720,d00 Mon 12:00,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_4,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_4,bedroom_1,outside,living,bathroom,bathroom,bedroom_3,entry,outside,outside,outside,entry,entry,entry
780,d00 Mon 13:00,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_4,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_4,bedroom_1,outside,living,bathroom,bathroom,bedroom_3,entry,outside,outside,outside,entry,entry,entry
840,d00 Mon 14:00,kitchen,kitchen,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,entry,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,bedroom_4,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,outside,outside,bedroom_1,bedroom_4,outside,bedroom_4,bedroom_4,bedroom_4,bedroom_1,outside,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
900,d00 Mon 15:00,kitchen,kitchen,bedroom_1,outside,living,bedroom_4,bedroom_1,outside,bedroom_3,bedroom_4,bedroom_1,outside,living,entry,bedroom_1,outside,bedroom_3,bedroom_4,bedroom_1,outside,bedroom_3,bedroom_4,bedroom_1,outside,bedroom_3,bedroom_4,living,bedroom_1,outside,bedroom_3,bedroom_4,bedroom_1,outside,bedroom_3,bedroom_4,bedroom_1,outside,kitchen,bedroom_4,outside,bedroom_3,bedroom_1,bedroom_4,outside,bedroom_4,bedroom_4,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,living,entry,kitchen,kitchen,entry,entry,entry,entry
960,d00 Mon 16:00,living,living,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,kitchen,living,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,living,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,kitchen,living,bedroom_2,bedroom_3,bedroom_1,living,bedroom_2,bedroom_4,kitchen,bedroom_4,living,bedroom_3,living,living,living,living,entry,kitchen,kitchen,entry,living,living,living
1020,d00 Mon 17:00,kitchen,kitchen,outside,bedroom_2,living,bedroom_4,outside,bedroom_2,bedroom_3,bedroom_4,outside,kitchen,kitchen,bedroom_4,outside,bedroom_2,bedroom_3,bedroom_4,outside,bedroom_2,living,bedroom_4,outside,bedroom_2,living,bedroom_4,living,bedroom_1,bedroom_2,living,bedroom_4,outside,entry,bedroom_3,bedroom_4,outside,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_3,outside,kitchen,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,living,living,bathroom,bathroom,living,entry,outside,kitchen,entry,entry,entry,entry
1080,d00 Mon 18:00,kitchen,kitchen,outside,bedroom_2,living,bedroom_4,outside,bedroom_2,living,bedroom_4,outside,kitchen,kitchen,bedroom_4,outside,bedroom_2,bedroom_3,bedroom_4,outside,bedroom_2,living,bedroom_4,outside,bedroom_2,living,bedroom_4,living,bedroom_1,bedroom_2,living,bedroom_4,outside,entry,bedroom_3,bedroom_4,outside,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_3,outside,kitchen,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,living,living,bathroom,bathroom,living,entry,outside,kitchen,entry,entry,entry,entry
1140,d00 Mon 19:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,entry,bedroom_2,kitchen,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,kitchen,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
1200,d00 Mon 20:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,entry,kitchen,living,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,bedroom_2,kitchen,living,bedroom_2,bedroom_3,bedroom_1,living,bedroom_2,bedroom_4,kitchen,living,bedroom_1,bedroom_3,living,bathroom,bathroom,living,entry,kitchen,kitchen,entry,entry,entry,entry
1260,d00 Mon 21:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,entry,kitchen,living,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,bedroom_2,kitchen,living,bedroom_2,bedroom_3,bedroom_1,living,bedroom_2,bedroom_4,kitchen,living,bedroom_1,bedroom_3,living,bathroom,bathroom,living,entry,kitchen,kitchen,entry,entry,entry,entry
1320,d00 Mon 22:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,entry,kitchen,living,entry,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,bedroom_2,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,living,entry,kitchen,kitchen,entry,entry,entry,entry
1380,d00 Mon 23:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,kitchen,bedroom_3,entry,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,bedroom_2,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
1440,d01 Tue 00:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,kitchen,bedroom_3,entry,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,bedroom_2,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
1500,d01 Tue 01:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,kitchen,bedroom_3,entry,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,bedroom_2,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
1560,d01 Tue 02:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,kitchen,bedroom_3,entry,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,bedroom_2,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
1620,d01 Tue 03:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,kitchen,bedroom_3,entry,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,bedroom_2,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
1680,d01 Tue 04:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,kitchen,bedroom_3,entry,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,bedroom_2,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
1740,d01 Tue 05:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,kitchen,bedroom_3,entry,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,bedroom_2,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
1800,d01 Tue 06:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,kitchen,bedroom_3,entry,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,bedroom_2,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
1860,d01 Tue 07:00,kitchen,kitchen,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,kitchen,bedroom_3,entry,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,bedroom_1,bedroom_2,living,bedroom_4,living,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,bedroom_2,kitchen,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,kitchen,bedroom_4,bedroom_1,living,living,bathroom,bathroom,bedroom_3,entry,kitchen,kitchen,entry,entry,entry,entry
1920,d01 Tue 08:00,kitchen,kitchen,outside,bedroom_2,living,outside,outside,bedroom_2,bedroom_3,outside,outside,kitchen,bedroom_3,outside,outside,kitchen,bedroom_3,outside,outside,bedroom_2,living,outside,outside,bedroom_2,living,outside,living,bedroom_1,bedroom_2,bedroom_3,outside,outside,entry,bedroom_3,outside,outside,kitchen,kitchen,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,outside,bedroom_2,bedroom_4,bedroom_1,living,living,bathroom,bathroom,kitchen,entry,outside,outside,outside,entry,entry,entry
1980,d01 Tue 09:00,kitchen,kitchen,outside,bedroom_2,living,outside,outside,bedroom_2,bedroom_3,outside,outside,kitchen,bedroom_3,outside,outside,kitchen,bedroom_3,outside,outside,bedroom_2,living,outside,outside,bedroom_2,living,outside,living,bedroom_1,bedroom_2,bedroom_3,outside,outside,entry,bedroom_3,outside,outside,kitchen,kitchen,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,outside,bedroom_2,bedroom_4,bedroom_1,living,living,bathroom,bathroom,kitchen,entry,outside,outside,outside,entry,entry,entry
2040,d01 Tue 10:00,kitchen,kitchen,outside,bedroom_2,living,outside,outside,bedroom_2,bedroom_3,outside,outside,kitchen,bedroom_3,outside,outside,kitchen,bedroom_3,outside,outside,bedroom_2,living,outside,outside,bedroom_2,living,outside,living,bedroom_1,bedroom_2,bedroom_3,outside,outside,entry,bedroom_3,outside,outside,kitchen,kitchen,outside,bedroom_2,bedroom_3,outside,outside,bedroom_2,outside,bedroom_2,bedroom_4,bedroom_1,living,living,bathroom,bathroom,kitchen,entry,outside,outside,outside,entry,entry,entry
2100,d01 Tue 11:00,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_4,bedroom_1,outside,living,bathroom,bathroom,kitchen,entry,outside,outside,outside,entry,entry,entry
2160,d01 Tue 12:00,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_4,bedroom_1,outside,living,bathroom,bathroom,kitchen,entry,outside,outside,outside,entry,entry,entry
2220,d01 Tue 13:00,kitchen,kitchen,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,entry,outside,outside,outside,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,living,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,bedroom_1,outside,outside,outside,outside,outside,bedroom_1,outside,outside,outside,bedroom_1,bedroom_4,bedroom_1,outside,living,bathroom,bathroom,kitchen,entry,kitchen,outside,outside,entry,entry,entry
2280,d01 Tue 14:00,kitchen,kitchen,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,entry,outside,outside,entry,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,kitchen,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,outside,outside,bedroom_1,bedroom_4,outside,bedroom_4,bedroom_4,bedroom_4,bedroom_1,outside,living,bathroom,bathroom,kitchen,entry,kitchen,kitchen,entry,entry,entry,entry
2340,d01 Tue 15:00,kitchen,kitchen,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,entry,outside,outside,entry,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,kitchen,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,bedroom_1,outside,outside,bedroom_4,outside,outside,bedroom_1,bedroom_4,outside,bedroom_4,bedroom_4,bedroom_4,bedroom_1,outside,living,bathroom,bathroom,kitchen,entry,kitchen,kitchen,entry,entry,entry,entry
2400,d01 Tue 16:00,kitchen,kitchen,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,entry,kitchen,bedroom_3,entry,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_1,bedroom_2,bedroom_3,bedroom_4,kitchen,bedroom_1,kitchen,bedroom_3,bedroom_4,bedroom_1,entry,bedroom_3,bedroom_4,bedroom_1,kitchen,living,bedroom_4,bedroom_2,bedroom_3,bedroom_1,bedroom_4,bedroom_2,bedroom_4,bedroom_4,bedroom_4,bedroom_1,bedroom_3,living,bathroom,bathroom,kitchen,entry,kitchen,kitchen,entry,entry,entry,entry
