t,stamp,laptop_arthur,phone_arthur,keys_arthur,glasses_arthur,water_bottle_arthur,tablet_elena,phone_elena,keys_elena,makeup_kit_elena,notebook_elena,pen_elena,toy_leo,blanket_leo,water_bottle_leo,plate_shared,bowl_shared,mug_arthur,mug_elena,remote_shared,laundry_basket_shared
900,d00 Mon 15:00,couch_l1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,couch_l1,couch_l1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,bed_b2,counter_k1,dish_rack_k1,couch_l1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
960,d00 Mon 16:00,couch_l1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,couch_l1,couch_l1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,bed_b2,counter_k1,dish_rack_k1,couch_l1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
1020,d00 Mon 17:00,couch_l1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,couch_l1,couch_l1,bathroom_shelf_ba1,kitchen_table_k1,counter_k1,couch_l1,bed_b2,bookshelf_l1,dish_rack_k1,couch_l1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
1080,d00 Mon 18:00,bed_b1,kitchen_table_k1,entry_table_e1,desk_b1,kitchen_table_k1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,bed_b2,bookshelf_l1,dish_rack_k1,couch_l1,desk_b1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
1140,d00 Mon 19:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,coffee_table_l1,coffee_table_l1,entry_floor_e1
1200,d00 Mon 20:00,desk_b1,couch_l1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,couch_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,dish_rack_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
1260,d00 Mon 21:00,desk_b1,couch_l1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,nightstand_b1,couch_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,dish_rack_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
1320,d00 Mon 22:00,desk_b1,nightstand_b1,entry_table_e1,couch_l1,counter_k1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,couch_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
1380,d00 Mon 23:00,desk_b1,armchair_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,couch_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,armchair_l1,entry_floor_e1
1440,d01 Tue 00:00,desk_b1,armchair_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,couch_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,armchair_l1,entry_floor_e1
1500,d01 Tue 01:00,desk_b1,armchair_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,couch_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,armchair_l1,entry_floor_e1
1560,d01 Tue 02:00,desk_b1,armchair_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,couch_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,armchair_l1,entry_floor_e1
1620,d01 Tue 03:00,desk_b1,armchair_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,couch_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,armchair_l1,entry_floor_e1
1680,d01 Tue 04:00,desk_b1,armchair_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,couch_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,armchair_l1,entry_floor_e1
1740,d01 Tue 05:00,desk_b1,armchair_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,couch_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,armchair_l1,entry_floor_e1
1800,d01 Tue 06:00,desk_b1,armchair_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,couch_l1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,armchair_l1,entry_floor_e1
1860,d01 Tue 07:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
1920,d01 Tue 08:00,kitchen_table_k1,nightstand_b1,kitchen_table_k1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
1980,d01 Tue 09:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,bathroom_shelf_ba1,kitchen_table_k1,desk_b1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,desk_b1,couch_l1,coffee_table_l1,entry_floor_e1
2040,d01 Tue 10:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,couch_l1,kitchen_table_k1,bathroom_shelf_ba1,kitchen_table_k1,desk_b1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
2100,d01 Tue 11:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,couch_l1,kitchen_table_k1,bathroom_shelf_ba1,kitchen_table_k1,desk_b1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
2160,d01 Tue 12:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,coffee_table_l1,couch_l1,couch_l1,kitchen_table_k1,bathroom_shelf_ba1,kitchen_table_k1,coffee_table_l1,kitchen_table_k1,bed_b2,coffee_table_l1,cupboard_k1,sink_k1,counter_k1,coffee_table_l1,coffee_table_l1,entry_floor_e1
2220,d01 Tue 13:00,bed_b1,desk_b1,entry_table_e1,kitchen_table_k1,desk_b1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,couch_l1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
2280,d01 Tue 14:00,bed_b1,desk_b1,entry_table_e1,kitchen_table_k1,desk_b1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,couch_l1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
2340,d01 Tue 15:00,bed_b1,desk_b1,entry_table_e1,kitchen_table_k1,desk_b1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,couch_l1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
2400,d01 Tue 16:00,bed_b1,desk_b1,entry_table_e1,kitchen_table_k1,desk_b1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,couch_l1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
2460,d01 Tue 17:00,bed_b1,desk_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,couch_l1,cupboard_k1,cupboard_k1,counter_k1,couch_l1,coffee_table_l1,entry_floor_e1
2520,d01 Tue 18:00,bed_b1,desk_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,couch_l1,coffee_table_l1,cupboard_k1,sink_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
2580,d01 Tue 19:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,bed_b2,kitchen_table_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
2640,d01 Tue 20:00,desk_b1,nightstand_b1,entry_table_e1,couch_l1,counter_k1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,couch_l1,coffee_table_l1,counter_k1,bed_b2,kitchen_table_k1,dish_rack_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
2700,d01 Tue 21:00,desk_b1,nightstand_b1,entry_table_e1,couch_l1,counter_k1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,couch_l1,kitchen_table_k1,counter_k1,bed_b2,kitchen_table_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
2760,d01 Tue 22:00,desk_b1,nightstand_b1,entry_table_e1,couch_l1,counter_k1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,couch_l1,kitchen_table_k1,counter_k1,bed_b2,kitchen_table_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
2820,d01 Tue 23:00,desk_b1,nightstand_b1,entry_table_e1,couch_l1,counter_k1,couch_l1,couch_l1,entry_table_e1,bathroom_shelf_ba1,couch_l1,kitchen_table_k1,counter_k1,bed_b2,kitchen_table_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
2880,d02 Wed 00:00,desk_b1,coffee_table_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,coffee_table_l1,kitchen_table_k1,counter_k1,bed_b2,kitchen_table_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
2940,d02 Wed 01:00,desk_b1,coffee_table_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,coffee_table_l1,kitchen_table_k1,counter_k1,bed_b2,kitchen_table_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
3000,d02 Wed 02:00,desk_b1,coffee_table_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,coffee_table_l1,kitchen_table_k1,counter_k1,bed_b2,kitchen_table_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
3060,d02 Wed 03:00,desk_b1,coffee_table_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,coffee_table_l1,kitchen_table_k1,counter_k1,bed_b2,kitchen_table_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
3120,d02 Wed 04:00,desk_b1,coffee_table_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,coffee_table_l1,kitchen_table_k1,counter_k1,bed_b2,kitchen_table_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
3180,d02 Wed 05:00,desk_b1,coffee_table_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,coffee_table_l1,kitchen_table_k1,counter_k1,bed_b2,kitchen_table_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
3240,d02 Wed 06:00,desk_b1,coffee_table_l1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bathroom_shelf_ba1,coffee_table_l1,kitchen_table_k1,counter_k1,bed_b2,kitchen_table_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,bookshelf_l1,entry_floor_e1
3300,d02 Wed 07:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,kitchen_table_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
3360,d02 Wed 08:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,couch_l1,counter_k1,kitchen_table_k1,kitchen_table_k1,couch_l1,kitchen_table_k1,couch_l1,entry_floor_e1
3420,d02 Wed 09:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,couch_l1,couch_l1,dish_rack_k1,cupboard_k1,counter_k1,couch_l1,couch_l1,entry_floor_e1
3480,d02 Wed 10:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,couch_l1,couch_l1,dish_rack_k1,cupboard_k1,counter_k1,couch_l1,couch_l1,entry_floor_e1
3540,d02 Wed 11:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,couch_l1,couch_l1,dish_rack_k1,cupboard_k1,counter_k1,couch_l1,couch_l1,entry_floor_e1
3600,d02 Wed 12:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,couch_l1,couch_l1,dish_rack_k1,cupboard_k1,counter_k1,couch_l1,couch_l1,entry_floor_e1
3660,d02 Wed 13:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,couch_l1,couch_l1,couch_l1,bed_b2,coffee_table_l1,cupboard_k1,sink_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
3720,d02 Wed 14:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,couch_l1,couch_l1,couch_l1,bed_b2,coffee_table_l1,cupboard_k1,sink_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
3780,d02 Wed 15:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,couch_l1,couch_l1,couch_l1,bed_b2,coffee_table_l1,cupboard_k1,sink_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
3840,d02 Wed 16:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,couch_l1,couch_l1,couch_l1,bed_b2,coffee_table_l1,cupboard_k1,sink_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
3900,d02 Wed 17:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,couch_l1,counter_k1,cupboard_k1,cupboard_k1,couch_l1,kitchen_table_k1,couch_l1,entry_floor_e1
3960,d02 Wed 18:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,couch_l1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,couch_l1,counter_k1,cupboard_k1,cupboard_k1,couch_l1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
4020,d02 Wed 19:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,coffee_table_l1,coffee_table_l1,kitchen_table_k1,counter_k1,bathroom_shelf_ba1,kitchen_table_k1,couch_l1,couch_l1,bed_b2,kitchen_table_k1,kitchen_table_k1,counter_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
4080,d02 Wed 20:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,coffee_table_l1,kitchen_table_k1,counter_k1,nightstand_b1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,kitchen_table_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
4140,d02 Wed 21:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,couch_l1,entry_table_e1,nightstand_b1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
4200,d02 Wed 22:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,couch_l1,entry_table_e1,nightstand_b1,kitchen_table_k1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,couch_l1,entry_floor_e1
4260,d02 Wed 23:00,desk_b1,nightstand_b1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,couch_l1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
4320,d03 Thu 00:00,desk_b1,nightstand_b1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,couch_l1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
4380,d03 Thu 01:00,desk_b1,nightstand_b1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,couch_l1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
4440,d03 Thu 02:00,desk_b1,nightstand_b1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,couch_l1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
4500,d03 Thu 03:00,desk_b1,nightstand_b1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,couch_l1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
4560,d03 Thu 04:00,desk_b1,nightstand_b1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,couch_l1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
4620,d03 Thu 05:00,desk_b1,nightstand_b1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,couch_l1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
4680,d03 Thu 06:00,desk_b1,nightstand_b1,entry_table_e1,armchair_l1,counter_k1,couch_l1,armchair_l1,entry_table_e1,bed_b1,couch_l1,kitchen_table_k1,counter_k1,bed_b2,counter_k1,kitchen_table_k1,cupboard_k1,counter_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
4740,d03 Thu 07:00,desk_b1,nightstand_b1,entry_table_e1,desk_b1,counter_k1,couch_l1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,couch_l1,kitchen_table_k1,couch_l1,bed_b2,couch_l1,cupboard_k1,cupboard_k1,couch_l1,couch_l1,couch_l1,entry_floor_e1
4800,d03 Thu 08:00,desk_b1,kitchen_table_k1,entry_table_e1,desk_b1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,kitchen_table_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
4860,d03 Thu 09:00,desk_b1,kitchen_table_k1,entry_table_e1,desk_b1,kitchen_table_k1,kitchen_table_k1,kitchen_table_k1,entry_table_e1,bathroom_shelf_ba1,kitchen_table_k1,kitchen_table_k1,couch_l1,bed_b2,counter_k1,cupboard_k1,cupboard_k1,kitchen_table_k1,kitchen_table_k1,coffee_table_l1,entry_floor_e1
