t,stamp,mug_1,mug_2,bowl_1,bowl_2,plate_1,plate_2,laptop_1,laptop_2,phone_1,phone_2,keys_1,keys_2,book_1,book_2,water_bottle_1,water_bottle_2,backpack_1,backpack_2,jacket_1,jacket_2,charger_1,charger_2,notebook_1,pen_1,medication_bottle_1,toy_1,toy_2,blanket_1,blanket_2,dog_leash_1,towel_1,towel_2,wallet_1,wallet_2,umbrella_1,remote_1,headphones_1,lunchbox_1,lunchbox_2,gaming_controller_1
600,d00 Mon 10:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
660,d00 Mon 11:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
720,d00 Mon 12:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
780,d00 Mon 13:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
840,d00 Mon 14:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
900,d00 Mon 15:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
960,d00 Mon 16:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1020,d00 Mon 17:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1080,d00 Mon 18:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1140,d00 Mon 19:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1200,d00 Mon 20:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1260,d00 Mon 21:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1320,d00 Mon 22:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1380,d00 Mon 23:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1440,d01 Tue 00:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1500,d01 Tue 01:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1560,d01 Tue 02:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1620,d01 Tue 03:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1680,d01 Tue 04:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1740,d01 Tue 05:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1800,d01 Tue 06:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1860,d01 Tue 07:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1920,d01 Tue 08:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
1980,d01 Tue 09:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
2040,d01 Tue 10:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
2100,d01 Tue 11:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
2160,d01 Tue 12:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
2220,d01 Tue 13:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
2280,d01 Tue 14:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
2340,d01 Tue 15:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
2400,d01 Tue 16:00,counter_k1,nightstand_b2,cupboard_k1,cupboard_k1,cupboard_k1,cupboard_k1,counter_k1,kitchen_table_k1,person:resident_1,person:resident_2,entry_table_e1,entry_hook_e1,coffee_table_l1,bookshelf_l1,couch_l1,counter_k1,entry_floor_e1,entry_table_e1,chair_k1,entry_floor_e1,counter_k1,nightstand_b2,kitchen_table_k1,kitchen_table_k1,bathroom_shelf_ba1,bed_b3,couch_l1,couch_l1,couch_l1,entry_hook_e1,towel_rack_ba1,towel_rack_ba1,entry_table_e1,nightstand_b2,entry_hook_e1,couch_l1,counter_k1,counter_k1,counter_k1,coffee_table_l1
