t,stamp,mug_arthur,mug_martha,mug_shared_1,phone_arthur,phone_martha,keys_arthur,keys_martha,wallet_arthur,wallet_martha,glasses_arthur,glasses_martha,book_arthur_1,book_martha_1,notebook_arthur,notebook_martha,water_bottle_arthur,water_bottle_martha,remote_shared,laptop_martha,watering_can_shared,jacket_martha,blanket_shared,pen_arthur,vacuum_cleaner_shared
1440,d01 Tue 00:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
1500,d01 Tue 01:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
1560,d01 Tue 02:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
1620,d01 Tue 03:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
1680,d01 Tue 04:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
1740,d01 Tue 05:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
1800,d01 Tue 06:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
1860,d01 Tue 07:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
1920,d01 Tue 08:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,kitchen
1980,d01 Tue 09:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
2040,d01 Tue 10:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
2100,d01 Tue 11:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,kitchen,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
2160,d01 Tue 12:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,kitchen,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
2220,d01 Tue 13:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
2280,d01 Tue 14:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,outside,entry,outside,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
2340,d01 Tue 15:00,bedroom_1,kitchen,kitchen,bedroom_1,living,outside,entry,outside,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
2400,d01 Tue 16:00,bedroom_1,kitchen,kitchen,bedroom_1,living,outside,entry,outside,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
2460,d01 Tue 17:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
2520,d01 Tue 18:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
2580,d01 Tue 19:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,living,living,living,entry,entry,living,bedroom_1,entry
2640,d01 Tue 20:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,living,living,living,entry,entry,living,bedroom_1,entry
2700,d01 Tue 21:00,bedroom_1,kitchen,bathroom,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,entry,living,bedroom_1,bathroom
2760,d01 Tue 22:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,entry,living,bedroom_1,entry
2820,d01 Tue 23:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,entry,living,bedroom_1,bedroom_1
2880,d02 Wed 00:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,entry,living,bedroom_1,bedroom_1
2940,d02 Wed 01:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,entry,living,bedroom_1,bedroom_1
3000,d02 Wed 02:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,entry,living,bedroom_1,bedroom_1
3060,d02 Wed 03:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,entry,living,bedroom_1,bedroom_1
3120,d02 Wed 04:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,entry,living,bedroom_1,bedroom_1
3180,d02 Wed 05:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,entry,living,bedroom_1,bedroom_1
3240,d02 Wed 06:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,entry,living,bedroom_1,bedroom_1
3300,d02 Wed 07:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,entry,living,bedroom_1,bedroom_1
3360,d02 Wed 08:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
3420,d02 Wed 09:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
3480,d02 Wed 10:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_1,entry
3540,d02 Wed 11:00,bedroom_1,kitchen,kitchen,bedroom_1,living,outside,entry,outside,entry,living,kitchen,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_1,entry
3600,d02 Wed 12:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_1,entry
3660,d02 Wed 13:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,kitchen,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_1,entry
3720,d02 Wed 14:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
3780,d02 Wed 15:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,living,entry,entry,living,bedroom_1,entry
3840,d02 Wed 16:00,living,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,living,living,living,living,living,kitchen,living,living,living,kitchen,entry,entry,living,living,entry
3900,d02 Wed 17:00,living,kitchen,kitchen,living,living,kitchen,entry,kitchen,entry,living,living,living,living,living,kitchen,living,living,living,kitchen,entry,entry,living,living,entry
3960,d02 Wed 18:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
4020,d02 Wed 19:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
4080,d02 Wed 20:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
4140,d02 Wed 21:00,bedroom_1,kitchen,bathroom,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,bathroom
4200,d02 Wed 22:00,bedroom_1,kitchen,bathroom,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,bathroom
4260,d02 Wed 23:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
4320,d03 Thu 00:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
4380,d03 Thu 01:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
4440,d03 Thu 02:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
4500,d03 Thu 03:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
4560,d03 Thu 04:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
4620,d03 Thu 05:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
4680,d03 Thu 06:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
4740,d03 Thu 07:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,kitchen,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
4800,d03 Thu 08:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,kitchen,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
4860,d03 Thu 09:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
4920,d03 Thu 10:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,kitchen,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
4980,d03 Thu 11:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
5040,d03 Thu 12:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
5100,d03 Thu 13:00,bedroom_1,kitchen,kitchen,bedroom_1,outside,kitchen,outside,kitchen,outside,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,outside,living,bedroom_1,entry
5160,d03 Thu 14:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
5220,d03 Thu 15:00,living,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,entry,living,living,living,living,living,kitchen,living,living,living,kitchen,entry,entry,living,living,entry
5280,d03 Thu 16:00,living,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,entry,living,living,living,living,living,kitchen,living,living,living,kitchen,entry,entry,living,living,entry
5340,d03 Thu 17:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
5400,d03 Thu 18:00,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,entry
5460,d03 Thu 19:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
5520,d03 Thu 20:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,living,entry,entry,living,bedroom_1,entry
5580,d03 Thu 21:00,bedroom_1,kitchen,bathroom,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,bathroom
5640,d03 Thu 22:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
5700,d03 Thu 23:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
5760,d04 Fri 00:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
5820,d04 Fri 01:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
5880,d04 Fri 02:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
5940,d04 Fri 03:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
6000,d04 Fri 04:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
6060,d04 Fri 05:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
6120,d04 Fri 06:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
6180,d04 Fri 07:00,bedroom_1,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,living,bedroom_1,kitchen,bedroom_1,living,living,kitchen,entry,entry,living,bedroom_1,entry
6240,d04 Fri 08:00,kitchen,kitchen,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,living,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
6300,d04 Fri 09:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_1,entry
6360,d04 Fri 10:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_1,entry
6420,d04 Fri 11:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_1,entry
6480,d04 Fri 12:00,bedroom_1,kitchen,kitchen,kitchen,outside,kitchen,outside,kitchen,outside,living,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,outside,living,bedroom_1,entry
6540,d04 Fri 13:00,bedroom_1,kitchen,kitchen,kitchen,kitchen,outside,entry,outside,entry,living,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
6600,d04 Fri 14:00,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,entry,bedroom_1,living,bedroom_1,living,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
6660,d04 Fri 15:00,living,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,entry,living,living,living,living,living,kitchen,living,kitchen,living,kitchen,entry,entry,living,living,entry
6720,d04 Fri 16:00,living,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,entry,living,living,living,living,living,kitchen,living,kitchen,living,kitchen,entry,entry,living,living,entry
6780,d04 Fri 17:00,living,kitchen,kitchen,living,kitchen,kitchen,entry,kitchen,entry,living,living,living,living,living,kitchen,living,kitchen,living,kitchen,entry,entry,living,living,entry
6840,d04 Fri 18:00,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,entry,living,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,bedroom_1,kitchen,living,kitchen,entry,entry,living,bedroom_1,entry
