t,stamp,laptop_elena,phone_elena,keys_elena,wallet_elena,backpack_elena,charger_elena,notebook_elena,pen_elena,water_bottle_elena,mug_elena,book_elena,glasses_elena,jacket_elena,lunchbox_elena,hairbrush_elena,makeup_kit_elena,yoga_mat_elena,phone_marcus,keys_marcus,wallet_marcus,backpack_marcus,water_bottle_marcus,jacket_marcus,mug_marcus,charger_marcus,headphones_marcus,lunchbox_marcus,umbrella_marcus,medication_bottle_marcus,remote_shared,blanket_shared,plate_shared_1,plate_shared_2,bowl_shared_1,pot_shared_1,pan_shared_1,towel_shared_1,laundry_basket_shared,vacuum_cleaner_shared,watering_can_shared,suitcase_shared
900,d00 Mon 15:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_1,bedroom_1,outside,outside,bedroom_1,outside,outside,entry,entry,entry,entry,kitchen,kitchen,living,bedroom_1,entry,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
960,d00 Mon 16:00,bedroom_2,kitchen,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,entry,entry,entry,entry,bedroom_1,living,bedroom_1,bedroom_1,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1020,d00 Mon 17:00,bedroom_2,kitchen,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,kitchen,entry,entry,entry,entry,bedroom_1,living,bedroom_1,bedroom_1,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1080,d00 Mon 18:00,bedroom_2,kitchen,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,kitchen,entry,entry,entry,entry,bedroom_1,living,bedroom_1,bedroom_1,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1140,d00 Mon 19:00,kitchen,kitchen,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,kitchen,entry,entry,entry,entry,bedroom_1,living,bedroom_1,bedroom_1,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1200,d00 Mon 20:00,kitchen,living,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,kitchen,entry,entry,entry,entry,bedroom_1,living,bedroom_1,bedroom_1,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1260,d00 Mon 21:00,kitchen,living,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,kitchen,entry,entry,entry,entry,bedroom_1,living,bedroom_1,bedroom_1,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1320,d00 Mon 22:00,kitchen,living,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,kitchen,entry,entry,entry,entry,bedroom_1,living,bedroom_1,bedroom_1,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1380,d00 Mon 23:00,kitchen,living,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,kitchen,entry,entry,entry,entry,bedroom_1,living,bedroom_1,bedroom_1,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1440,d01 Tue 00:00,kitchen,living,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,kitchen,entry,entry,entry,entry,bedroom_1,living,bedroom_1,bedroom_1,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1500,d01 Tue 01:00,kitchen,living,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,kitchen,entry,entry,entry,entry,bedroom_1,living,bedroom_1,bedroom_1,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1560,d01 Tue 02:00,kitchen,living,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,kitchen,entry,entry,entry,entry,bedroom_1,living,bedroom_1,bedroom_1,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1620,d01 Tue 03:00,kitchen,living,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,kitchen,entry,entry,entry,entry,bedroom_1,living,bedroom_1,bedroom_1,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1680,d01 Tue 04:00,kitchen,living,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,kitchen,entry,entry,entry,entry,bedroom_1,living,bedroom_1,bedroom_1,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1740,d01 Tue 05:00,kitchen,living,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,kitchen,entry,entry,entry,entry,bedroom_1,living,bedroom_1,bedroom_1,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1800,d01 Tue 06:00,kitchen,living,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,kitchen,entry,entry,entry,entry,bedroom_1,living,bedroom_1,bedroom_1,kitchen,entry,bedroom_1,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1860,d01 Tue 07:00,kitchen,bathroom,entry,entry,entry,bedroom_2,bedroom_2,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,kitchen,entry,entry,entry,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1920,d01 Tue 08:00,kitchen,kitchen,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_2,outside,outside,outside,outside,outside,outside,living,kitchen,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
1980,d01 Tue 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
2040,d01 Tue 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
2100,d01 Tue 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
2160,d01 Tue 12:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
2220,d01 Tue 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
2280,d01 Tue 14:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
2340,d01 Tue 15:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
2400,d01 Tue 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
2460,d01 Tue 17:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,bedroom_1,outside,outside,bedroom_1,outside,outside,entry,entry,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
2520,d01 Tue 18:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,entry,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
2580,d01 Tue 19:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,kitchen,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
2640,d01 Tue 20:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,kitchen,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
2700,d01 Tue 21:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,kitchen,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
2760,d01 Tue 22:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,kitchen,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
2820,d01 Tue 23:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,kitchen,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
2880,d02 Wed 00:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,kitchen,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
2940,d02 Wed 01:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,kitchen,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
3000,d02 Wed 02:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,kitchen,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
3060,d02 Wed 03:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,kitchen,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
3120,d02 Wed 04:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,kitchen,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
3180,d02 Wed 05:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,kitchen,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
3240,d02 Wed 06:00,bedroom_2,bathroom,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,kitchen,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2
3300,d02 Wed 07:00,bedroom_2,bedroom_1,entry,entry,entry,bedroom_2,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,kitchen,bedroom_1,bedroom_1,bedroom_2,entry,kitchen,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
3360,d02 Wed 08:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,bedroom_1,outside,outside,bedroom_1,outside,outside,entry,kitchen,entry,entry,kitchen,bedroom_1,living,kitchen,entry,kitchen,entry,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
3420,d02 Wed 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
3480,d02 Wed 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
3540,d02 Wed 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
3600,d02 Wed 12:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
3660,d02 Wed 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,kitchen,outside,outside,outside,living,kitchen,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
3720,d02 Wed 14:00,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,bedroom_2,living,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,kitchen,outside,outside,outside,living,kitchen,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
3780,d02 Wed 15:00,outside,outside,kitchen,outside,outside,outside,outside,outside,outside,bedroom_2,living,bedroom_1,outside,outside,bedroom_1,outside,outside,outside,outside,kitchen,outside,outside,outside,living,kitchen,outside,outside,outside,bathroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2
