t,stamp,mug_elena,mug_leo,mug_maya,bowl_1,bowl_2,plate_1,plate_2,laptop_leo,laptop_maya,phone_elena,phone_leo,phone_maya,keys_elena,keys_leo,keys_maya,wallet_elena,book_maya,notebook_elena,headphones_leo,water_bottle_maya,towel_maya,jacket_leo,backpack_leo,backpack_maya,gaming_controller_leo,blanket_elena,lunchbox_bag_maya
1080,d00 Mon 18:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom_2,living,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,kitchen,kitchen,living,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
1140,d00 Mon 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom_2,living,entry,entry,bedroom_3,bedroom_1,bedroom_3,outside,bedroom_2,living,bathroom,entry,entry,entry,bedroom_2,living,entry
1200,d00 Mon 20:00,outside,kitchen,bedroom_3,outside,kitchen,kitchen,kitchen,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
1260,d00 Mon 21:00,bathroom,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bedroom_2,bathroom,outside,kitchen,bedroom_3,outside,bathroom,outside,bedroom_2,bathroom,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,bathroom,bathroom
1320,d00 Mon 22:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
1380,d00 Mon 23:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_2,bedroom_3,outside,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
1440,d01 Tue 00:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,kitchen,bedroom_1,bedroom_3
1500,d01 Tue 01:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
1560,d01 Tue 02:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
1620,d01 Tue 03:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
1680,d01 Tue 04:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
1740,d01 Tue 05:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
1800,d01 Tue 06:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
1860,d01 Tue 07:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,outside,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
1920,d01 Tue 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,kitchen,bedroom_2,bedroom_3,outside,bedroom_3,outside,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
1980,d01 Tue 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,bedroom_1,bedroom_2,bedroom_3,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_1,bedroom_2
2040,d01 Tue 10:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,kitchen,bedroom_2,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
2100,d01 Tue 11:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,kitchen,bedroom_2,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
2160,d01 Tue 12:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,kitchen,bedroom_2,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
2220,d01 Tue 13:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,kitchen,bedroom_2,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
2280,d01 Tue 14:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,kitchen,bedroom_2,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
2340,d01 Tue 15:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,bedroom_3,kitchen,bedroom_2,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,bedroom_1,bedroom_3
2400,d01 Tue 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,entry,kitchen,bedroom_3,bedroom_1,kitchen,kitchen,kitchen,bedroom_3,bathroom,kitchen,bedroom_2,bedroom_3,bedroom_2,bedroom_1,bedroom_3
2460,d01 Tue 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,entry,kitchen,bedroom_3,bedroom_1,kitchen,kitchen,kitchen,bedroom_3,bathroom,kitchen,bedroom_2,bedroom_3,bedroom_2,bedroom_1,bedroom_3
2520,d01 Tue 18:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom_2,living,entry,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_1,kitchen,living,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
2580,d01 Tue 19:00,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,bedroom_2,living,kitchen,kitchen,bedroom_3,bedroom_1,living,kitchen,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
2640,d01 Tue 20:00,kitchen,kitchen,living,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,living,bathroom,bedroom_2,living,entry,kitchen,bedroom_3,bedroom_1,living,bedroom_1,bedroom_2,living,bathroom,kitchen,entry,bathroom,bedroom_2,bathroom,bathroom
2700,d01 Tue 21:00,bathroom,kitchen,living,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_2,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,living,bedroom_1,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
2760,d01 Tue 22:00,bathroom,kitchen,living,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_2,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,living,bedroom_1,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
2820,d01 Tue 23:00,bathroom,kitchen,living,bedroom_2,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_2,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,living,bedroom_1,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
2880,d02 Wed 00:00,bathroom,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,living,bedroom_1,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
2940,d02 Wed 01:00,bathroom,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,living,bedroom_1,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
3000,d02 Wed 02:00,bathroom,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,living,bedroom_1,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
3060,d02 Wed 03:00,bathroom,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,living,bedroom_1,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
3120,d02 Wed 04:00,bathroom,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,living,bedroom_1,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
3180,d02 Wed 05:00,bathroom,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,living,bedroom_1,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
3240,d02 Wed 06:00,bathroom,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,living,bedroom_1,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
3300,d02 Wed 07:00,bathroom,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,living,bedroom_1,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
3360,d02 Wed 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,living,bedroom_1,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
3420,d02 Wed 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,living,outside,bedroom_2,bedroom_3,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,bedroom_2
3480,d02 Wed 10:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,living,living,bedroom_2,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,living,living,bedroom_3
3540,d02 Wed 11:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,living,living,bedroom_2,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,bedroom_3
3600,d02 Wed 12:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,living,living,bedroom_2,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,bedroom_3
3660,d02 Wed 13:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,living,living,bedroom_2,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,bedroom_3
3720,d02 Wed 14:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,living,kitchen,kitchen,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,bedroom_3
3780,d02 Wed 15:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_2,bedroom_3,bedroom_1,living,kitchen,kitchen,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,bedroom_3
3840,d02 Wed 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,bedroom_3,entry,kitchen,bedroom_3,bedroom_1,living,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,kitchen,living,bedroom_3
3900,d02 Wed 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom_3,bedroom_1,living,living,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,kitchen,living,bedroom_3
3960,d02 Wed 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,bedroom_2,living,entry,kitchen,bedroom_3,bedroom_1,bedroom_3,kitchen,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
4020,d02 Wed 19:00,outside,kitchen,kitchen,outside,kitchen,kitchen,kitchen,kitchen,living,outside,kitchen,living,outside,bedroom_2,bedroom_3,outside,bedroom_3,outside,kitchen,outside,bathroom,kitchen,kitchen,bedroom_3,bedroom_2,living,bedroom_3
4080,d02 Wed 20:00,outside,kitchen,living,outside,kitchen,kitchen,kitchen,kitchen,bedroom_3,outside,kitchen,bedroom_3,outside,bedroom_3,bedroom_3,outside,bedroom_3,outside,kitchen,bedroom_3,bathroom,bedroom_3,bedroom_3,bedroom_3,bedroom_2,living,bedroom_3
4140,d02 Wed 21:00,bathroom,kitchen,living,outside,kitchen,kitchen,kitchen,kitchen,bedroom_3,bathroom,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,bathroom,outside,kitchen,bathroom,bathroom,kitchen,entry,bathroom,bedroom_2,bathroom,bathroom
4200,d02 Wed 22:00,kitchen,kitchen,living,outside,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_1,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,bedroom_3,kitchen,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
4260,d02 Wed 23:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,bedroom_2,bedroom_3,outside,bedroom_2,bedroom_3,outside,bedroom_3,kitchen,bedroom_2,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
4320,d03 Thu 00:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,bedroom_3,kitchen,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
4380,d03 Thu 01:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,bedroom_3,kitchen,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
4440,d03 Thu 02:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,bedroom_3,kitchen,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
4500,d03 Thu 03:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,bedroom_3,kitchen,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
4560,d03 Thu 04:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,bedroom_3,kitchen,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
4620,d03 Thu 05:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,bedroom_3,kitchen,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
4680,d03 Thu 06:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,bedroom_3,kitchen,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
4740,d03 Thu 07:00,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,bedroom_1,kitchen,bedroom_3,outside,bedroom_2,bedroom_3,outside,bedroom_3,kitchen,kitchen,bedroom_3,bathroom,kitchen,entry,bedroom_3,bedroom_2,living,bedroom_3
4800,d03 Thu 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,bedroom_2,bedroom_3,entry,outside,bedroom_3,entry,bedroom_3,living,kitchen,bedroom_3,bathroom,outside,outside,outside,bedroom_2,living,bedroom_3
4860,d03 Thu 09:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_2,bedroom_3,entry,bedroom_3,living,kitchen,bedroom_3,bathroom,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,bedroom_2
4920,d03 Thu 10:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,outside,bedroom_3,entry,kitchen,bedroom_3,entry,bedroom_3,living,kitchen,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,bedroom_3
4980,d03 Thu 11:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,outside,bedroom_3,entry,kitchen,bedroom_3,entry,bedroom_3,living,kitchen,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,bedroom_3
5040,d03 Thu 12:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,outside,bedroom_3,entry,kitchen,bedroom_3,entry,bedroom_3,living,kitchen,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,bedroom_3
5100,d03 Thu 13:00,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,bedroom_2,bedroom_3,kitchen,outside,bedroom_3,entry,kitchen,bedroom_3,entry,bedroom_3,living,kitchen,bedroom_3,bathroom,bedroom_2,entry,bedroom_3,bedroom_2,living,bedroom_3
