t,stamp,mug_sarah,mug_david,mug_shared_1,bowl_shared_1,bowl_shared_2,plate_shared_1,plate_shared_2,laptop_sarah,laptop_leo,phone_sarah,phone_david,phone_leo,phone_mia,tablet_david,keys_sarah,keys_david,keys_leo,wallet_sarah,wallet_david,backpack_leo,backpack_mia,headphones_leo,gaming_controller_leo,glasses_sarah,notebook_mia,pen_mia,toy_mia,blanket_mia,water_bottle_shared,jacket_david,vacuum_cleaner_shared,laundry_basket_shared,remote_shared
960,d00 Mon 16:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,bedroom_3,bedroom_2,living,outside,kitchen,entry,outside,outside,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,outside,entry,bedroom_1,living
1020,d00 Mon 17:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,bedroom_3,bedroom_2,living,outside,kitchen,entry,outside,outside,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,outside,entry,bedroom_1,living
1080,d00 Mon 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,living,entry,entry,living,entry,outside,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,entry,living,living,kitchen,living,entry,bedroom_1,living
1140,d00 Mon 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,living,entry,entry,bedroom_3,entry,outside,bedroom_3,entry,living,living,kitchen,kitchen,entry,living,bathroom,bedroom_3,living,entry,bedroom_1,living
1200,d00 Mon 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,entry,living,entry,entry,bedroom_3,entry,outside,bedroom_3,kitchen,living,living,kitchen,kitchen,entry,living,bathroom,bedroom_3,living,entry,bedroom_1,living
1260,d00 Mon 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,bedroom_2,living,entry,entry,bedroom_3,entry,outside,bedroom_3,kitchen,living,living,kitchen,kitchen,entry,living,living,kitchen,living,entry,entry,living
1320,d00 Mon 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,bedroom_2,living,entry,entry,bathroom,entry,outside,bedroom_3,kitchen,living,living,kitchen,kitchen,entry,living,bathroom,kitchen,living,entry,entry,living
1380,d00 Mon 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,outside,bedroom_3,bedroom_2,living,entry,entry,bedroom_3,entry,outside,bedroom_3,kitchen,living,living,kitchen,kitchen,entry,living,bedroom_2,kitchen,living,entry,entry,living
1440,d01 Tue 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,outside,bedroom_3,bedroom_2,living,entry,entry,bedroom_3,entry,outside,bedroom_3,kitchen,bedroom_3,living,kitchen,kitchen,entry,living,bedroom_2,kitchen,living,entry,entry,living
1500,d01 Tue 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,outside,bedroom_3,bedroom_2,living,entry,entry,bedroom_3,entry,outside,bedroom_3,kitchen,bedroom_3,living,kitchen,kitchen,entry,living,bedroom_2,kitchen,living,entry,entry,living
1560,d01 Tue 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,outside,bedroom_3,bedroom_2,living,entry,entry,bedroom_3,entry,outside,bedroom_3,kitchen,bedroom_3,living,kitchen,kitchen,entry,living,bedroom_2,kitchen,living,entry,entry,living
1620,d01 Tue 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,outside,bedroom_3,bedroom_2,living,entry,entry,bedroom_3,entry,outside,bedroom_3,kitchen,bedroom_3,living,kitchen,kitchen,entry,living,bedroom_2,kitchen,living,entry,entry,living
1680,d01 Tue 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,outside,bedroom_3,bedroom_2,living,entry,entry,bedroom_3,entry,outside,bedroom_3,kitchen,bedroom_3,living,kitchen,kitchen,entry,living,bedroom_2,kitchen,living,entry,entry,living
1740,d01 Tue 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,outside,bedroom_3,bedroom_2,living,entry,entry,bedroom_3,entry,outside,bedroom_3,kitchen,bedroom_3,living,kitchen,kitchen,entry,living,bedroom_2,kitchen,living,entry,entry,living
1800,d01 Tue 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,outside,bedroom_3,bedroom_2,living,entry,entry,bedroom_3,entry,outside,bedroom_3,kitchen,bedroom_3,living,kitchen,kitchen,entry,living,bedroom_2,kitchen,living,entry,entry,living
1860,d01 Tue 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,outside,bedroom_3,bedroom_2,living,entry,entry,bathroom,entry,outside,bedroom_3,kitchen,living,living,kitchen,kitchen,entry,living,bedroom_2,kitchen,living,entry,entry,living
1920,d01 Tue 08:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,kitchen,outside,entry,entry,living
1980,d01 Tue 09:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,kitchen,outside,entry,entry,living
2040,d01 Tue 10:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,kitchen,outside,entry,entry,living
2100,d01 Tue 11:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,kitchen,outside,entry,entry,living
2160,d01 Tue 12:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,kitchen,outside,entry,entry,living
2220,d01 Tue 13:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,kitchen,outside,entry,entry,living
2280,d01 Tue 14:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,kitchen,outside,entry,entry,living
2340,d01 Tue 15:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,bedroom_2,living,outside,outside,outside,outside,outside,outside,kitchen,outside,living,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,outside,entry,entry,living
2400,d01 Tue 16:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,bedroom_2,living,outside,outside,outside,outside,outside,outside,kitchen,outside,living,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,outside,entry,entry,living
2460,d01 Tue 17:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,bedroom_3,bedroom_2,living,outside,outside,bedroom_3,outside,outside,bedroom_3,kitchen,bedroom_3,living,kitchen,living,kitchen,living,bedroom_2,bedroom_3,outside,entry,entry,living
2520,d01 Tue 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,entry,bedroom_3,entry,living,entry,kitchen,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,living,kitchen,living,bedroom_2,kitchen,entry,entry,entry,living
2580,d01 Tue 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,entry,bedroom_3,entry,living,entry,kitchen,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,bedroom_3,kitchen,living,living,bedroom_3,entry,entry,entry,living
2640,d01 Tue 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,living,bedroom_3,entry,living,entry,kitchen,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,bedroom_3,kitchen,living,living,bedroom_3,living,entry,entry,living
2700,d01 Tue 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,entry,bedroom_3,bedroom_2,living,entry,kitchen,living,entry,entry,living,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,living,kitchen,living,entry,entry,living
2760,d01 Tue 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,bedroom_1,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,living,entry,entry,living
2820,d01 Tue 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,bedroom_1,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,living,entry,entry,living
2880,d02 Wed 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,bedroom_1,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,living,entry,entry,living
2940,d02 Wed 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,bedroom_1,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,living,entry,entry,living
3000,d02 Wed 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,bedroom_1,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,living,entry,entry,living
3060,d02 Wed 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,bedroom_1,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,living,entry,entry,living
3120,d02 Wed 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,bedroom_1,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,living,entry,entry,living
3180,d02 Wed 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,bedroom_1,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,living,entry,entry,living
3240,d02 Wed 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,bedroom_1,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,living,entry,entry,living
3300,d02 Wed 07:00,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,bedroom_1,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,entry,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,living,entry,entry,living
3360,d02 Wed 08:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,bedroom_2,living,outside,outside,outside,outside,outside,outside,kitchen,outside,living,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,outside,entry,entry,living
3420,d02 Wed 09:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,kitchen,outside,entry,entry,living
3480,d02 Wed 10:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,kitchen,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,kitchen,outside,entry,entry,living
3540,d02 Wed 11:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,kitchen,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,kitchen,outside,entry,entry,living
3600,d02 Wed 12:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,kitchen,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,kitchen,outside,entry,entry,living
3660,d02 Wed 13:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,kitchen,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,kitchen,outside,entry,entry,living
3720,d02 Wed 14:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,kitchen,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,kitchen,outside,entry,entry,living
3780,d02 Wed 15:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,bedroom_3,outside,living,outside,outside,bedroom_3,outside,kitchen,kitchen,outside,bedroom_3,living,kitchen,kitchen,outside,living,bedroom_2,kitchen,outside,entry,entry,living
3840,d02 Wed 16:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,bedroom_3,bedroom_2,living,outside,outside,bedroom_3,outside,kitchen,bedroom_3,entry,bedroom_3,living,kitchen,bedroom_3,kitchen,living,bedroom_2,bedroom_3,outside,entry,entry,living
3900,d02 Wed 17:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,bedroom_3,bedroom_2,living,outside,outside,bedroom_3,outside,kitchen,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_3,outside,entry,entry,living
3960,d02 Wed 18:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,entry,bedroom_3,entry,living,outside,entry,bedroom_3,outside,entry,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,entry,living,bedroom_2,kitchen,living,entry,entry,living
4020,d02 Wed 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,entry,bedroom_3,entry,living,entry,kitchen,kitchen,bedroom_1,outside,kitchen,entry,bedroom_3,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,living,entry,entry,living
4080,d02 Wed 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,living,bedroom_3,entry,living,entry,kitchen,bedroom_3,bedroom_1,outside,bedroom_3,entry,bedroom_3,kitchen,bedroom_3,kitchen,kitchen,living,living,kitchen,living,entry,entry,living
4140,d02 Wed 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,bedroom_1,outside,bedroom_3,entry,bedroom_3,kitchen,kitchen,kitchen,kitchen,living,bedroom_2,kitchen,living,entry,entry,living
4200,d02 Wed 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,bedroom_1,outside,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,entry,entry,living
4260,d02 Wed 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,bedroom_1,outside,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,entry,entry,living
4320,d03 Thu 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,bedroom_1,outside,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,entry,entry,living
4380,d03 Thu 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,bedroom_1,outside,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,entry,entry,living
4440,d03 Thu 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,bedroom_1,outside,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,entry,entry,living
4500,d03 Thu 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,bedroom_1,outside,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,entry,entry,living
4560,d03 Thu 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,bedroom_1,outside,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,entry,entry,living
4620,d03 Thu 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,bedroom_1,outside,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,entry,entry,living
4680,d03 Thu 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,bedroom_1,outside,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,entry,entry,living
4740,d03 Thu 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,living,bedroom_3,bedroom_2,living,entry,kitchen,bedroom_3,bedroom_1,outside,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,bedroom_1,living,entry,entry,living
4800,d03 Thu 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_3,kitchen,outside,bedroom_3,bedroom_2,living,entry,outside,bedroom_3,bedroom_1,kitchen,bedroom_3,entry,bedroom_3,living,kitchen,kitchen,kitchen,living,bedroom_2,outside,outside,entry,entry,living
4860,d03 Thu 09:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,kitchen,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,outside,outside,entry,entry,living
4920,d03 Thu 10:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,kitchen,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,outside,outside,entry,entry,living
4980,d03 Thu 11:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,kitchen,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,outside,outside,entry,entry,living
5040,d03 Thu 12:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,kitchen,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,outside,outside,entry,entry,living
5100,d03 Thu 13:00,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,bedroom_3,outside,outside,outside,outside,living,outside,outside,outside,outside,kitchen,outside,outside,outside,living,kitchen,kitchen,outside,living,bedroom_2,outside,outside,entry,entry,living
