t,stamp,phone_dana,keys_dana,wallet_dana,lunchbox_dana,mug_dana,notebook_dana,pen_dana,book_dana,glasses_dana,jacket_dana,blanket_1,phone_maya,keys_maya,wallet_maya,laptop_maya,backpack_maya,mug_maya,headphones_maya,notebook_maya,makeup_kit_maya,hairbrush_maya,phone_eli,keys_eli,wallet_eli,backpack_eli,water_bottle_eli,lunchbox_eli,jacket_eli,gaming_controller_eli,headphones_eli,charger_1,remote_1,plate_1,plate_2,plate_3,bowl_1,bowl_2,pot_1,pan_1,laundry_basket_1,vacuum_cleaner_1,towel_1,towel_2
1020,d00 Mon 17:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,bathroom,bathroom,outside,outside,outside,outside,outside,outside,entry,kitchen,outside,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,kitchen
1080,d00 Mon 18:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,outside,outside,outside,outside,outside,outside,entry,kitchen,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,kitchen
1140,d00 Mon 19:00,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,entry,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,kitchen
1200,d00 Mon 20:00,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,kitchen,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,kitchen
1260,d00 Mon 21:00,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,kitchen,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,kitchen
1320,d00 Mon 22:00,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,kitchen,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,kitchen
1380,d00 Mon 23:00,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,kitchen,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,kitchen
1440,d01 Tue 00:00,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,kitchen,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,kitchen
1500,d01 Tue 01:00,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,kitchen,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,kitchen
1560,d01 Tue 02:00,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,kitchen,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,kitchen
1620,d01 Tue 03:00,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,kitchen,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,kitchen
1680,d01 Tue 04:00,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,kitchen,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,kitchen
1740,d01 Tue 05:00,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,entry,entry,kitchen,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,kitchen
1800,d01 Tue 06:00,bedroom_1,kitchen,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_1,bathroom,bedroom_3,entry,entry,entry,kitchen,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
1860,d01 Tue 07:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,outside,living,bedroom_2,bedroom_2,entry,bedroom_2,kitchen,kitchen,bedroom_2,kitchen,bedroom_2,bedroom_2,kitchen,entry,entry,entry,kitchen,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
1920,d01 Tue 08:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
1980,d01 Tue 09:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
2040,d01 Tue 10:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
2100,d01 Tue 11:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
2160,d01 Tue 12:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
2220,d01 Tue 13:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,kitchen,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
2280,d01 Tue 14:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,kitchen,outside,outside,outside,kitchen,outside,outside,outside,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
2340,d01 Tue 15:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
2400,d01 Tue 16:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
2460,d01 Tue 17:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,living,bedroom_2,entry,entry,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bedroom_2,bedroom_2
2520,d01 Tue 18:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,entry,entry,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,bathroom,bathroom
2580,d01 Tue 19:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,entry,living,bedroom_2,entry,entry,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,kitchen,entry,bedroom_3,entry,entry,kitchen,kitchen,living,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
2640,d01 Tue 20:00,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bathroom,kitchen,living,bedroom_2,entry,entry,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,kitchen,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
2700,d01 Tue 21:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
2760,d01 Tue 22:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
2820,d01 Tue 23:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
2880,d02 Wed 00:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
2940,d02 Wed 01:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
3000,d02 Wed 02:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
3060,d02 Wed 03:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
3120,d02 Wed 04:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
3180,d02 Wed 05:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,living,entry,bedroom_3,entry,entry,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
3240,d02 Wed 06:00,bedroom_1,entry,entry,kitchen,kitchen,kitchen,kitchen,living,bedroom_1,kitchen,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bedroom_1,bathroom,bedroom_3,entry,bedroom_3,entry,entry,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bedroom_3
3300,d02 Wed 07:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,bedroom_1,outside,living,bedroom_2,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,bathroom,bathroom,bedroom_3,entry,bedroom_3,entry,entry,kitchen,kitchen,living,kitchen,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bathroom
3360,d02 Wed 08:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bedroom_3
3420,d02 Wed 09:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bedroom_3
3480,d02 Wed 10:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bedroom_3
3540,d02 Wed 11:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bedroom_3
3600,d02 Wed 12:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bedroom_3
3660,d02 Wed 13:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bedroom_3
3720,d02 Wed 14:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bedroom_3
3780,d02 Wed 15:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bedroom_2,outside,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bedroom_3
3840,d02 Wed 16:00,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,living,bedroom_2,bedroom_2,entry,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bathroom,bedroom_2,bedroom_3,entry,entry,bedroom_3,entry,kitchen,entry,living,living,bedroom_2,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bedroom_3
3900,d02 Wed 17:00,entry,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_2,bedroom_2,entry,kitchen,bedroom_2,kitchen,bedroom_2,kitchen,bathroom,bedroom_2,bedroom_3,kitchen,entry,bedroom_3,entry,kitchen,entry,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,bedroom_3,entry,bathroom,bedroom_3
