t,stamp,laptop_leena,phone_leena,keys_leena,wallet_leena,backpack_leena,mug_leena,mug_1,bowl_1,bowl_2,plate_1,plate_2,pot_1,pan_1,water_bottle_leena,notebook_leena,pen_leena,tablet_leena,charger_leena,headphones_leena,book_leena,glasses_leena,blanket_leena,remote_1,yoga_mat_leena,watering_can_leena,jacket_leena,umbrella_leena,laundry_basket_leena,towel_leena,hairbrush_leena,makeup_kit_leena,suitcase_leena
1500,d01 Tue 01:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
1560,d01 Tue 02:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
1620,d01 Tue 03:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
1680,d01 Tue 04:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
1740,d01 Tue 05:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
1800,d01 Tue 06:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
1860,d01 Tue 07:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
1920,d01 Tue 08:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
1980,d01 Tue 09:00,bedroom,bedroom,entry,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
2040,d01 Tue 10:00,bedroom,bedroom,entry,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
2100,d01 Tue 11:00,bedroom,bedroom,entry,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bathroom,bedroom
2160,d01 Tue 12:00,bedroom,bedroom,entry,bedroom,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bathroom,bedroom
2220,d01 Tue 13:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,outside,kitchen,bedroom,bedroom,bedroom,outside,bedroom,bedroom,living,living,living,kitchen,outside,outside,bedroom,bathroom,bedroom,outside,outside
2280,d01 Tue 14:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,outside,kitchen,bedroom,bedroom,bedroom,outside,bedroom,bedroom,living,living,living,kitchen,outside,outside,bedroom,bathroom,bedroom,outside,outside
2340,d01 Tue 15:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
2400,d01 Tue 16:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
2460,d01 Tue 17:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
2520,d01 Tue 18:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
2580,d01 Tue 19:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
2640,d01 Tue 20:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
2700,d01 Tue 21:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
2760,d01 Tue 22:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
2820,d01 Tue 23:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
2880,d02 Wed 00:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
2940,d02 Wed 01:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
3000,d02 Wed 02:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
3060,d02 Wed 03:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
3120,d02 Wed 04:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
3180,d02 Wed 05:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
3240,d02 Wed 06:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
3300,d02 Wed 07:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
3360,d02 Wed 08:00,bedroom,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
3420,d02 Wed 09:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
3480,d02 Wed 10:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
3540,d02 Wed 11:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
3600,d02 Wed 12:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
3660,d02 Wed 13:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
3720,d02 Wed 14:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
3780,d02 Wed 15:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,bedroom,living,bedroom,kitchen,living,kitchen,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
3840,d02 Wed 16:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,outside,kitchen,bedroom,living,bedroom,outside,living,bedroom,living,living,living,kitchen,outside,outside,bedroom,bathroom,bedroom,outside,outside
3900,d02 Wed 17:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
3960,d02 Wed 18:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
4020,d02 Wed 19:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
4080,d02 Wed 20:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,bedroom,bedroom,living,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom
4140,d02 Wed 21:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom
4200,d02 Wed 22:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom
4260,d02 Wed 23:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom
4320,d03 Thu 00:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom
4380,d03 Thu 01:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom
4440,d03 Thu 02:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom
4500,d03 Thu 03:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom
4560,d03 Thu 04:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom
4620,d03 Thu 05:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom
4680,d03 Thu 06:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom
4740,d03 Thu 07:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,kitchen,bedroom,bedroom
4800,d03 Thu 08:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
4860,d03 Thu 09:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,outside,bedroom,bedroom,living,bedroom,outside,bedroom,bedroom,living,living,living,kitchen,outside,outside,bedroom,bathroom,bedroom,outside,outside
4920,d03 Thu 10:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,outside,kitchen,kitchen,outside,bedroom,bedroom,living,bedroom,outside,bedroom,bedroom,living,living,living,kitchen,outside,outside,bedroom,bathroom,bedroom,outside,outside
4980,d03 Thu 11:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
5040,d03 Thu 12:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,kitchen,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
5100,d03 Thu 13:00,kitchen,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
5160,d03 Thu 14:00,kitchen,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
5220,d03 Thu 15:00,kitchen,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,living,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
