t,stamp,mug_1,mug_2,laptop_1,phone_1,phone_2,keys_1,keys_2,book_1,book_2,water_bottle_1,water_bottle_2,remote_1,charger_1,charger_2,glasses_1,glasses_2,notebook_1,pen_1,medication_bottle_1,medication_bottle_2,jacket_1,jacket_2,wallet_1,wallet_2
2820,d01 Tue 23:00,kitchen,kitchen,living,living,entry,entry,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
2880,d02 Wed 00:00,kitchen,kitchen,living,living,entry,entry,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
2940,d02 Wed 01:00,kitchen,kitchen,living,living,entry,entry,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
3000,d02 Wed 02:00,kitchen,kitchen,living,living,entry,entry,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
3060,d02 Wed 03:00,kitchen,kitchen,living,living,entry,entry,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
3120,d02 Wed 04:00,kitchen,kitchen,living,living,entry,entry,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
3180,d02 Wed 05:00,kitchen,kitchen,living,living,entry,entry,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
3240,d02 Wed 06:00,kitchen,kitchen,living,living,entry,entry,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
3300,d02 Wed 07:00,kitchen,kitchen,living,living,entry,entry,entry,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,entry,entry
3360,d02 Wed 08:00,kitchen,kitchen,living,living,entry,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_2
3420,d02 Wed 09:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
3480,d02 Wed 10:00,kitchen,kitchen,living,living,entry,kitchen,entry,bedroom_1,kitchen,living,entry,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,entry
3540,d02 Wed 11:00,kitchen,kitchen,living,living,entry,living,entry,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,entry
3600,d02 Wed 12:00,kitchen,kitchen,living,living,entry,living,entry,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,entry
3660,d02 Wed 13:00,kitchen,kitchen,living,living,entry,kitchen,entry,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,entry
3720,d02 Wed 14:00,kitchen,kitchen,bedroom_2,living,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,bedroom_2
3780,d02 Wed 15:00,kitchen,kitchen,bedroom_2,living,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,bedroom_2
3840,d02 Wed 16:00,kitchen,kitchen,living,living,entry,living,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen
3900,d02 Wed 17:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
3960,d02 Wed 18:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
4020,d02 Wed 19:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
4080,d02 Wed 20:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
4140,d02 Wed 21:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
4200,d02 Wed 22:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
4260,d02 Wed 23:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
4320,d03 Thu 00:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
4380,d03 Thu 01:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
4440,d03 Thu 02:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
4500,d03 Thu 03:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
4560,d03 Thu 04:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
4620,d03 Thu 05:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
4680,d03 Thu 06:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
4740,d03 Thu 07:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
4800,d03 Thu 08:00,kitchen,kitchen,living,living,entry,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_2
4860,d03 Thu 09:00,kitchen,kitchen,living,living,entry,living,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen
4920,d03 Thu 10:00,kitchen,kitchen,living,living,entry,living,kitchen,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen
4980,d03 Thu 11:00,kitchen,kitchen,living,living,entry,living,entry,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,entry
5040,d03 Thu 12:00,kitchen,kitchen,living,living,entry,living,entry,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,entry
5100,d03 Thu 13:00,kitchen,kitchen,living,living,entry,living,kitchen,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen
5160,d03 Thu 14:00,kitchen,kitchen,living,living,entry,living,kitchen,living,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,kitchen
5220,d03 Thu 15:00,kitchen,kitchen,bedroom_2,living,entry,living,bedroom_2,living,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,bedroom_2
5280,d03 Thu 16:00,kitchen,kitchen,living,living,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,bedroom_2
5340,d03 Thu 17:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
5400,d03 Thu 18:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
5460,d03 Thu 19:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
5520,d03 Thu 20:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
5580,d03 Thu 21:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
5640,d03 Thu 22:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
5700,d03 Thu 23:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
5760,d04 Fri 00:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
5820,d04 Fri 01:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
5880,d04 Fri 02:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
5940,d04 Fri 03:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
6000,d04 Fri 04:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
6060,d04 Fri 05:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
6120,d04 Fri 06:00,kitchen,kitchen,living,living,entry,bedroom_1,bedroom_2,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom_1,bedroom_2
6180,d04 Fri 07:00,kitchen,kitchen,living,living,entry,entry,entry,bedroom_1,kitchen,living,kitchen,bedroom_2,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,entry,entry
6240,d04 Fri 08:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
6300,d04 Fri 09:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,kitchen,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
6360,d04 Fri 10:00,kitchen,kitchen,living,living,entry,living,entry,bedroom_1,kitchen,living,entry,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,entry
6420,d04 Fri 11:00,kitchen,kitchen,living,living,entry,living,entry,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,entry
6480,d04 Fri 12:00,kitchen,kitchen,living,living,entry,living,entry,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,entry
6540,d04 Fri 13:00,kitchen,kitchen,bedroom_2,living,entry,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_2
6600,d04 Fri 14:00,kitchen,kitchen,bedroom_2,living,entry,living,bedroom_2,living,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,bedroom_2
6660,d04 Fri 15:00,kitchen,kitchen,bedroom_2,living,entry,living,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,bedroom_2
6720,d04 Fri 16:00,kitchen,kitchen,living,living,entry,kitchen,bedroom_2,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,bedroom_2
6780,d04 Fri 17:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
6840,d04 Fri 18:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
6900,d04 Fri 19:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
6960,d04 Fri 20:00,kitchen,kitchen,living,living,entry,kitchen,kitchen,bedroom_1,kitchen,living,kitchen,living,living,bedroom_1,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen
