t,stamp,laptop_mara,phone_mara,keys_mara,wallet_mara,backpack_mara,lunchbox_mara,water_bottle_mara,mug_mara,notebook_mara,pen_mara,book_mara,glasses_mara,charger_mara,jacket_mara,yoga_mat_mara,phone_darren,keys_darren,wallet_darren,backpack_darren,lunchbox_darren,water_bottle_darren,jacket_darren,headphones_darren,book_darren,glasses_darren,charger_darren,gaming_controller_darren,mug_shared_1,bowl_shared_1,plate_shared_1,remote_shared_1,blanket_shared_1,laundry_basket_shared_1,vacuum_cleaner_shared_1,pot_shared_1,pan_shared_1,towel_shared_1
600,d00 Mon 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,kitchen,entry,entry,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
660,d00 Mon 11:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,kitchen,entry,entry,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
720,d00 Mon 12:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,kitchen,entry,entry,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
780,d00 Mon 13:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,kitchen,entry,entry,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
840,d00 Mon 14:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,kitchen,entry,entry,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
900,d00 Mon 15:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,kitchen,entry,entry,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
960,d00 Mon 16:00,kitchen,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,living,kitchen,entry,entry,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
1020,d00 Mon 17:00,kitchen,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,living,kitchen,entry,entry,kitchen,kitchen,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
1080,d00 Mon 18:00,kitchen,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
1140,d00 Mon 19:00,kitchen,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
1200,d00 Mon 20:00,kitchen,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
1260,d00 Mon 21:00,kitchen,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
1320,d00 Mon 22:00,kitchen,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
1380,d00 Mon 23:00,kitchen,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
1440,d01 Tue 00:00,kitchen,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
1500,d01 Tue 01:00,kitchen,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
1560,d01 Tue 02:00,kitchen,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
1620,d01 Tue 03:00,kitchen,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
1680,d01 Tue 04:00,kitchen,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
1740,d01 Tue 05:00,kitchen,bedroom_1,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
1800,d01 Tue 06:00,kitchen,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
1860,d01 Tue 07:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
1920,d01 Tue 08:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
1980,d01 Tue 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,entry,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
2040,d01 Tue 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,entry,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
2100,d01 Tue 11:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,entry,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
2160,d01 Tue 12:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,entry,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
2220,d01 Tue 13:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,entry,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
2280,d01 Tue 14:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,entry,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
2340,d01 Tue 15:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,entry,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,outside
2400,d01 Tue 16:00,living,kitchen,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,entry,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
2460,d01 Tue 17:00,living,kitchen,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,living,kitchen,entry,kitchen,kitchen,kitchen,bedroom_2,living,kitchen,entry,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
2520,d01 Tue 18:00,living,kitchen,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,bedroom_2,living,kitchen,entry,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
2580,d01 Tue 19:00,living,outside,outside,outside,entry,entry,living,kitchen,kitchen,kitchen,bedroom_1,outside,bedroom_1,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,bedroom_2,living,living,living,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
2640,d01 Tue 20:00,living,outside,outside,outside,entry,entry,living,kitchen,kitchen,kitchen,bedroom_1,outside,bedroom_1,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,bedroom_2,living,living,living,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
2700,d01 Tue 21:00,living,outside,outside,outside,entry,entry,living,kitchen,kitchen,kitchen,bedroom_1,outside,bedroom_1,kitchen,living,living,kitchen,entry,kitchen,entry,kitchen,bedroom_2,living,living,living,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
2760,d01 Tue 22:00,living,outside,outside,outside,entry,entry,living,kitchen,kitchen,kitchen,bedroom_1,outside,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
2820,d01 Tue 23:00,living,outside,outside,outside,entry,entry,living,kitchen,kitchen,kitchen,bedroom_1,outside,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
2880,d02 Wed 00:00,living,bedroom_1,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
2940,d02 Wed 01:00,living,bedroom_1,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
3000,d02 Wed 02:00,living,bedroom_1,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
3060,d02 Wed 03:00,living,bedroom_1,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
3120,d02 Wed 04:00,living,bedroom_1,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
3180,d02 Wed 05:00,living,bedroom_1,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
3240,d02 Wed 06:00,living,bedroom_1,entry,entry,entry,entry,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
3300,d02 Wed 07:00,living,entry,entry,entry,entry,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
3360,d02 Wed 08:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
3420,d02 Wed 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
3480,d02 Wed 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,entry,outside,outside,outside,outside,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,entry,living,entry,entry,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
3540,d02 Wed 11:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,entry,outside,outside,outside,outside,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,entry,living,entry,entry,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
3600,d02 Wed 12:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,entry,outside,outside,outside,outside,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,entry,living,entry,entry,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
3660,d02 Wed 13:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,entry,outside,outside,outside,outside,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,entry,living,entry,entry,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
3720,d02 Wed 14:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,entry,outside,outside,outside,outside,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,entry,living,entry,entry,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
3780,d02 Wed 15:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,entry,outside,outside,outside,outside,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,entry,living,entry,entry,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
3840,d02 Wed 16:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,entry,outside,outside,outside,outside,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,entry,living,entry,entry,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
3900,d02 Wed 17:00,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,bedroom_1,bedroom_1,kitchen,kitchen,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,entry,living,entry,entry,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
3960,d02 Wed 18:00,kitchen,kitchen,entry,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,kitchen,entry,living,entry,entry,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
4020,d02 Wed 19:00,kitchen,kitchen,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,entry,living,entry,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
4080,d02 Wed 20:00,kitchen,kitchen,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,entry,living,entry,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
4140,d02 Wed 21:00,kitchen,kitchen,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,entry,kitchen,kitchen,kitchen,kitchen,bedroom_2,living,entry,living,entry,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
4200,d02 Wed 22:00,kitchen,kitchen,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,entry,kitchen,entry,kitchen,kitchen,bedroom_2,living,entry,living,entry,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
4260,d02 Wed 23:00,kitchen,kitchen,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
4320,d03 Thu 00:00,kitchen,bedroom_1,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
4380,d03 Thu 01:00,kitchen,bedroom_1,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
4440,d03 Thu 02:00,kitchen,bedroom_1,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
4500,d03 Thu 03:00,kitchen,bedroom_1,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
4560,d03 Thu 04:00,kitchen,bedroom_1,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
4620,d03 Thu 05:00,kitchen,bedroom_1,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
4680,d03 Thu 06:00,kitchen,kitchen,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
4740,d03 Thu 07:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
4800,d03 Thu 08:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
4860,d03 Thu 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,bathroom
4920,d03 Thu 10:00,outside,outside,outside,outside,outside,outside,outside,bathroom,kitchen,kitchen,outside,outside,outside,outside,living,living,entry,kitchen,entry,kitchen,kitchen,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
4980,d03 Thu 11:00,outside,outside,outside,outside,outside,outside,outside,bathroom,kitchen,kitchen,outside,outside,outside,outside,living,living,entry,kitchen,entry,kitchen,kitchen,entry,entry,living,living,living,living,kitchen,kitchen,kitchen,living,living,bedroom_2,entry,kitchen,kitchen,kitchen
