t,stamp,phone_elias,keys_elias,wallet_elias,laptop_elias,charger_elias,backpack_elias,mug_elias,water_bottle_elias,notebook_elias,pen_elias,headphones_elias,jacket_elias,phone_priya,keys_priya,wallet_priya,backpack_priya,lunchbox_priya,water_bottle_priya,mug_priya,jacket_priya,yoga_mat_priya,hairbrush_priya,makeup_kit_priya,blanket_noa,water_bottle_noa,backpack_noa,toy_noa,book_noa,towel_noa,medication_bottle_noa,plate_shared_1,bowl_shared_1,pot_shared_1,pan_shared_1,remote_shared_1,tablet_shared_1,charger_shared_1,laundry_basket_shared_1,vacuum_cleaner_shared_1,umbrella_shared_1,suitcase_shared_1
840,d00 Mon 14:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,bathroom,living,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
900,d00 Mon 15:00,bedroom_1,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,living,kitchen,entry,living,living,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
960,d00 Mon 16:00,bedroom_1,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,living,living,entry,living,living,bathroom,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
1020,d00 Mon 17:00,bedroom_1,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,kitchen,living,kitchen,entry,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
1080,d00 Mon 18:00,bedroom_1,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,kitchen,living,kitchen,entry,bathroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
1140,d00 Mon 19:00,bedroom_1,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,kitchen,living,kitchen,entry,bathroom,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
1200,d00 Mon 20:00,bedroom_1,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,kitchen,living,kitchen,entry,bathroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
1260,d00 Mon 21:00,bedroom_1,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,kitchen,living,kitchen,entry,bathroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
1320,d00 Mon 22:00,bedroom_1,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,kitchen,living,kitchen,entry,bathroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
1380,d00 Mon 23:00,bedroom_1,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,kitchen,living,kitchen,entry,bathroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
1440,d01 Tue 00:00,bedroom_1,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,kitchen,living,kitchen,entry,bathroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
1500,d01 Tue 01:00,bedroom_1,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,kitchen,living,kitchen,entry,bathroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
1560,d01 Tue 02:00,bedroom_1,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,kitchen,living,kitchen,entry,bathroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
1620,d01 Tue 03:00,bedroom_1,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,kitchen,living,kitchen,entry,bathroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
1680,d01 Tue 04:00,bedroom_1,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,kitchen,living,kitchen,entry,bathroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
1740,d01 Tue 05:00,bedroom_1,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,kitchen,living,kitchen,entry,bathroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
1800,d01 Tue 06:00,entry,entry,entry,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,bathroom,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,living,kitchen,entry,bathroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
1860,d01 Tue 07:00,kitchen,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,entry,entry,living,kitchen,entry,bathroom,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom_1,bedroom_1,entry,bedroom_1
1920,d01 Tue 08:00,entry,entry,entry,bedroom_1,kitchen,entry,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,outside,outside,outside,living,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
1980,d01 Tue 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,outside,outside,outside,living,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
2040,d01 Tue 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,outside,outside,outside,living,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
2100,d01 Tue 11:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,outside,outside,outside,living,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
2160,d01 Tue 12:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,outside,outside,outside,living,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
2220,d01 Tue 13:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,bathroom,outside,outside,outside,living,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
2280,d01 Tue 14:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,entry,entry,kitchen,entry,kitchen,kitchen,kitchen,entry,living,kitchen,bathroom,outside,outside,outside,living,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
2340,d01 Tue 15:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,bathroom,bedroom_2,kitchen,entry,living,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
2400,d01 Tue 16:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,kitchen,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,bathroom,bedroom_2,kitchen,entry,living,living,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
2460,d01 Tue 17:00,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,kitchen,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bathroom,bedroom_2,kitchen,entry,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
2520,d01 Tue 18:00,entry,entry,entry,kitchen,bedroom_1,kitchen,kitchen,kitchen,bedroom_1,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bathroom,bedroom_2,kitchen,entry,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
2580,d01 Tue 19:00,entry,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,bathroom,living,kitchen,bedroom_1,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
2640,d01 Tue 20:00,bedroom_1,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,bathroom,living,kitchen,bedroom_1,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,living,bedroom_1,kitchen,bedroom_1
2700,d01 Tue 21:00,bedroom_1,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,bathroom,bedroom_2,kitchen,bedroom_1,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
2760,d01 Tue 22:00,bedroom_1,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,bathroom,bedroom_2,kitchen,bedroom_1,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
2820,d01 Tue 23:00,bedroom_1,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,bathroom,bedroom_2,kitchen,bedroom_1,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
2880,d02 Wed 00:00,bedroom_1,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,bathroom,bedroom_2,kitchen,bedroom_1,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
2940,d02 Wed 01:00,bedroom_1,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,bathroom,bedroom_2,kitchen,bedroom_1,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
3000,d02 Wed 02:00,bedroom_1,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,bathroom,bedroom_2,kitchen,bedroom_1,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
3060,d02 Wed 03:00,bedroom_1,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,bathroom,bedroom_2,kitchen,bedroom_1,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
3120,d02 Wed 04:00,bedroom_1,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,bathroom,bedroom_2,kitchen,bedroom_1,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
3180,d02 Wed 05:00,bedroom_1,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,bathroom,bedroom_2,kitchen,bedroom_1,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
3240,d02 Wed 06:00,kitchen,entry,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,living,kitchen,bathroom,bedroom_2,kitchen,bedroom_1,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
3300,d02 Wed 07:00,entry,kitchen,bedroom_1,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,bedroom_2,kitchen,bedroom_1,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
3360,d02 Wed 08:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,outside,kitchen,kitchen,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
3420,d02 Wed 09:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,outside,kitchen,kitchen,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
3480,d02 Wed 10:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,outside,kitchen,kitchen,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
3540,d02 Wed 11:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,outside,kitchen,kitchen,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
3600,d02 Wed 12:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,outside,kitchen,kitchen,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
3660,d02 Wed 13:00,kitchen,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,outside,kitchen,kitchen,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
3720,d02 Wed 14:00,kitchen,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,outside,kitchen,kitchen,outside,outside,outside,kitchen,outside,outside,bathroom,bathroom,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,kitchen,bedroom_1
3780,d02 Wed 15:00,bedroom_1,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,kitchen,entry,entry,entry,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,outside,outside,outside,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,bedroom_1,entry,bedroom_1
3840,d02 Wed 16:00,entry,entry,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,living,bathroom,bathroom,living,living,entry,living,bedroom_2,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
3900,d02 Wed 17:00,entry,entry,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bathroom,bathroom,living,living,entry,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
3960,d02 Wed 18:00,entry,entry,bedroom_1,kitchen,bedroom_1,entry,kitchen,kitchen,bedroom_1,kitchen,bedroom_1,entry,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bathroom,bathroom,living,living,entry,living,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
4020,d02 Wed 19:00,outside,outside,outside,outside,outside,outside,kitchen,outside,bedroom_1,kitchen,outside,outside,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bathroom,bathroom,bedroom_2,living,entry,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom_1,living,bedroom_1,entry,bedroom_1
