activity,measure,status,n_casas_persons,n_casas_days,n_atus_diaries,sigma2_within,sigma2_total,icc,icc_lo,icc_hi,phi_ar1,resid_skew,resid_kurtosis,note
dishes,log_duration,INSUFFICIENT_DATA,2,113,44795,nan,nan,nan,nan,nan,nan,nan,nan,needs >= 3 CASAS persons with >= 10 days and >= 500 ATUS diaries
dishes,participation,OK,4,606,189292,0.1169605274626488,0.172120288350788,0.3204721617461005,-0.21189587510594501,1.0,0.21129474892821765,0.9110615560046843,0.16633105801937464,
housekeeping,start_min,INSUFFICIENT_DATA,1,27,68531,nan,nan,nan,nan,nan,nan,nan,nan,needs >= 3 CASAS persons with >= 10 days and >= 500 ATUS diaries
housekeeping,log_duration,INSUFFICIENT_DATA,1,27,68531,nan,nan,nan,nan,nan,nan,nan,nan,needs >= 3 CASAS persons with >= 10 days and >= 500 ATUS diaries
housekeeping,participation,OK,5,401,189292,0.09376782154503874,0.21772810996048428,0.5693352522921511,0.3758101691578994,0.9797824348507643,0.3375517614214061,2.465668839969643,4.268435643563786,
leisure,log_duration,OK,3,390,166333,0.67242663484611,0.8084144148391826,0.16821543195778443,-1.0580450290316845,0.788606734415492,0.3001093081353556,-2.1496922575052864,9.378424385112634,
leisure,participation,OK,5,665,189292,0.02008343265434168,0.11712453923003732,0.8285292494094939,0.418289127377776,1.0,0.09474389019082696,-5.432557320557109,31.81993922101471,
work_home,start_min,OK,4,266,20023,44687.58094635056,106035.21987013017,0.5785590768700908,0.33770346079467056,0.754383100190136,0.048763993039525784,1.2909277262690975,2.8796149629115058,
work_home,log_duration,OK,4,266,20023,1.1145584083834572,1.9408684861462189,0.4257424362654678,0.2730300411097846,0.62116996752663,0.08084545469320034,-0.9962105681641774,1.4776656605260308,
work_home,participation,FLAGGED_NEGATIVE,8,791,189292,0.10165123134804642,0.09816365943455013,-0.035528136721732606,-0.9448676561763357,0.8854044801689804,0.17082049857196435,0.33245550576931665,-0.1753529521879722,"sigma2_within exceeds sigma2_total: the two sources are not measuring the same quantity here. Requires manual resolution (crosswalk, measurement noise, or genuinely more erratic CASAS residents); excluded from the automated path. The bootstrap CI includes 0, so this is consistent with a true ICC of zero rather than with a gross mismatch."
leave_home,start_min,OK,4,345,161358,21353.123371416226,39787.44587975134,0.46332007749501525,-0.017272307100544664,0.666093058879263,0.12806231828875528,0.5910488598372673,0.638795110308974,
leave_home,participation,OK,8,791,189292,0.08357102689980006,0.11645471379691925,0.28237317172462206,-0.2525683706677458,0.933737320670622,0.27245655941246893,-1.3064308551773995,2.4947653046930096,
hygiene,log_duration,INSUFFICIENT_DATA,2,188,146745,nan,nan,nan,nan,nan,nan,nan,nan,needs >= 3 CASAS persons with >= 10 days and >= 500 ATUS diaries
hygiene,participation,OK,4,449,189292,0.0022332659453829684,0.16095031845152966,0.9861245012320027,0.9437189180080761,1.0,-0.007812034110561152,-20.985925079610265,443.25176006723717,
