t,stamp,mug_1,laptop_1,phone_1,keys_1,book_1,water_bottle_1,remote_1,charger_1,backpack_1,jacket_1,headphones_1,glasses_1,notebook_1,pen_1,blanket_1,towel_1,wallet_1
1860,d01 Tue 07:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
1920,d01 Tue 08:00,kitchen,bedroom,kitchen,bedroom,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
1980,d01 Tue 09:00,kitchen,bedroom,kitchen,outside,bedroom,outside,living,bedroom,outside,outside,outside,bedroom,bedroom,bedroom,living,bathroom,outside
2040,d01 Tue 10:00,kitchen,bedroom,kitchen,outside,bedroom,outside,living,bedroom,outside,outside,outside,bedroom,bedroom,bedroom,living,bathroom,outside
2100,d01 Tue 11:00,kitchen,bedroom,kitchen,outside,bedroom,outside,living,bedroom,outside,outside,outside,bedroom,bedroom,bedroom,living,bathroom,outside
2160,d01 Tue 12:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
2220,d01 Tue 13:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
2280,d01 Tue 14:00,kitchen,bedroom,kitchen,outside,bedroom,outside,living,bedroom,outside,outside,outside,bedroom,bedroom,bedroom,living,bathroom,outside
2340,d01 Tue 15:00,kitchen,bedroom,kitchen,outside,bedroom,outside,living,bedroom,outside,outside,outside,bedroom,bedroom,bedroom,living,bathroom,outside
2400,d01 Tue 16:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
2460,d01 Tue 17:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,entry
2520,d01 Tue 18:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,entry
2580,d01 Tue 19:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,entry
2640,d01 Tue 20:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,entry
2700,d01 Tue 21:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,entry
2760,d01 Tue 22:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,entry
2820,d01 Tue 23:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,entry
2880,d02 Wed 00:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,entry
2940,d02 Wed 01:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,entry
3000,d02 Wed 02:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,entry
3060,d02 Wed 03:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,entry
3120,d02 Wed 04:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,entry
3180,d02 Wed 05:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,entry
3240,d02 Wed 06:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,entry
3300,d02 Wed 07:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,entry
3360,d02 Wed 08:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,living,bedroom,bedroom,bedroom,living,bathroom,entry
3420,d02 Wed 09:00,kitchen,bedroom,kitchen,outside,bedroom,outside,living,bedroom,outside,outside,outside,bedroom,bedroom,bedroom,living,bathroom,outside
3480,d02 Wed 10:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
3540,d02 Wed 11:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
3600,d02 Wed 12:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
3660,d02 Wed 13:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
3720,d02 Wed 14:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
3780,d02 Wed 15:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
3840,d02 Wed 16:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
3900,d02 Wed 17:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
3960,d02 Wed 18:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4020,d02 Wed 19:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4080,d02 Wed 20:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4140,d02 Wed 21:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4200,d02 Wed 22:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4260,d02 Wed 23:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4320,d03 Thu 00:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4380,d03 Thu 01:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4440,d03 Thu 02:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4500,d03 Thu 03:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4560,d03 Thu 04:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4620,d03 Thu 05:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4680,d03 Thu 06:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4740,d03 Thu 07:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4800,d03 Thu 08:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4860,d03 Thu 09:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4920,d03 Thu 10:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
4980,d03 Thu 11:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
5040,d03 Thu 12:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
5100,d03 Thu 13:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
5160,d03 Thu 14:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
5220,d03 Thu 15:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
5280,d03 Thu 16:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
5340,d03 Thu 17:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
5400,d03 Thu 18:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
5460,d03 Thu 19:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
5520,d03 Thu 20:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
5580,d03 Thu 21:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
5640,d03 Thu 22:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
5700,d03 Thu 23:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
5760,d04 Fri 00:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
5820,d04 Fri 01:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
5880,d04 Fri 02:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
5940,d04 Fri 03:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
6000,d04 Fri 04:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
6060,d04 Fri 05:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
6120,d04 Fri 06:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
6180,d04 Fri 07:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
6240,d04 Fri 08:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
6300,d04 Fri 09:00,kitchen,bedroom,kitchen,outside,bedroom,outside,living,bedroom,outside,outside,outside,bedroom,bedroom,bedroom,living,bathroom,outside
6360,d04 Fri 10:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
6420,d04 Fri 11:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,entry
6480,d04 Fri 12:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,entry
6540,d04 Fri 13:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,entry
6600,d04 Fri 14:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,entry
6660,d04 Fri 15:00,kitchen,bedroom,kitchen,outside,bedroom,outside,living,bedroom,outside,outside,outside,bedroom,bedroom,bedroom,living,bathroom,outside
6720,d04 Fri 16:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
6780,d04 Fri 17:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
6840,d04 Fri 18:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
6900,d04 Fri 19:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
6960,d04 Fri 20:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
7020,d04 Fri 21:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
7080,d04 Fri 22:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
7140,d04 Fri 23:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
7200,d05 Sat 00:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
7260,d05 Sat 01:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
7320,d05 Sat 02:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
7380,d05 Sat 03:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
7440,d05 Sat 04:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
7500,d05 Sat 05:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
7560,d05 Sat 06:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
7620,d05 Sat 07:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
7680,d05 Sat 08:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
7740,d05 Sat 09:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
7800,d05 Sat 10:00,kitchen,bedroom,kitchen,outside,bedroom,outside,living,bedroom,outside,outside,outside,bedroom,bedroom,bedroom,living,bathroom,outside
7860,d05 Sat 11:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
7920,d05 Sat 12:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
7980,d05 Sat 13:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
8040,d05 Sat 14:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
8100,d05 Sat 15:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,living,bedroom,bedroom,bedroom,living,bathroom,kitchen
8160,d05 Sat 16:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
8220,d05 Sat 17:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
8280,d05 Sat 18:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
8340,d05 Sat 19:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
8400,d05 Sat 20:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
8460,d05 Sat 21:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
8520,d05 Sat 22:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
8580,d05 Sat 23:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
8640,d06 Sun 00:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
8700,d06 Sun 01:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
8760,d06 Sun 02:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
8820,d06 Sun 03:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
8880,d06 Sun 04:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
8940,d06 Sun 05:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
9000,d06 Sun 06:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
9060,d06 Sun 07:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
9120,d06 Sun 08:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
9180,d06 Sun 09:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,entry
9240,d06 Sun 10:00,kitchen,bedroom,kitchen,outside,bedroom,outside,living,bedroom,outside,outside,outside,bedroom,bedroom,bedroom,living,bathroom,outside
9300,d06 Sun 11:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,living,bedroom,bedroom,bedroom,bedroom,living,bathroom,kitchen
9360,d06 Sun 12:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,entry
9420,d06 Sun 13:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,entry
9480,d06 Sun 14:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,entry
9540,d06 Sun 15:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,living,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,entry
9600,d06 Sun 16:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,entry
9660,d06 Sun 17:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,entry
9720,d06 Sun 18:00,kitchen,bedroom,kitchen,entry,bedroom,kitchen,living,bedroom,entry,kitchen,living,bedroom,bedroom,bedroom,living,bathroom,entry
