belief,alpha,mode,age_bin,n,n_covered,coverage,qhat,target,n_calibration,fallback_to_global
MostFrequentLocation(hl=24h),0.05,global,0-6h,4947,4947,1.0,1.0,0.95,6132,
MostFrequentLocation(hl=24h),0.05,global,6-24h,11660,11660,1.0,1.0,0.95,12053,
MostFrequentLocation(hl=24h),0.05,global,24-72h,4691,4691,1.0,1.0,0.95,3750,
MostFrequentLocation(hl=24h),0.05,global,72h+,1202,1202,1.0,1.0,0.95,565,
MostFrequentLocation(hl=24h),0.05,age_binned,0-6h,4947,4947,1.0,1.0,0.95,6132,False
MostFrequentLocation(hl=24h),0.05,age_binned,6-24h,11660,11660,1.0,1.0,0.95,12053,False
MostFrequentLocation(hl=24h),0.05,age_binned,24-72h,4691,4691,1.0,1.0,0.95,3750,False
MostFrequentLocation(hl=24h),0.05,age_binned,72h+,1202,1202,1.0,1.0,0.95,565,False
MostFrequentLocation(hl=24h),0.1,global,0-6h,4947,4947,1.0,1.0,0.9,6132,
MostFrequentLocation(hl=24h),0.1,global,6-24h,11660,11660,1.0,1.0,0.9,12053,
MostFrequentLocation(hl=24h),0.1,global,24-72h,4691,4691,1.0,1.0,0.9,3750,
MostFrequentLocation(hl=24h),0.1,global,72h+,1202,1202,1.0,1.0,0.9,565,
MostFrequentLocation(hl=24h),0.1,age_binned,0-6h,4947,4373,0.88397,0.999654,0.9,6132,False
MostFrequentLocation(hl=24h),0.1,age_binned,6-24h,11660,11660,1.0,1.0,0.9,12053,False
MostFrequentLocation(hl=24h),0.1,age_binned,24-72h,4691,4691,1.0,1.0,0.9,3750,False
MostFrequentLocation(hl=24h),0.1,age_binned,72h+,1202,1202,1.0,1.0,0.9,565,False
MostFrequentLocation(hl=24h),0.2,global,0-6h,4947,4947,1.0,1.0,0.8,6132,
MostFrequentLocation(hl=24h),0.2,global,6-24h,11660,11660,1.0,1.0,0.8,12053,
MostFrequentLocation(hl=24h),0.2,global,24-72h,4691,4691,1.0,1.0,0.8,3750,
MostFrequentLocation(hl=24h),0.2,global,72h+,1202,1202,1.0,1.0,0.8,565,
MostFrequentLocation(hl=24h),0.2,age_binned,0-6h,4947,4014,0.811401,0.537959,0.8,6132,False
MostFrequentLocation(hl=24h),0.2,age_binned,6-24h,11660,11660,1.0,1.0,0.8,12053,False
MostFrequentLocation(hl=24h),0.2,age_binned,24-72h,4691,4691,1.0,1.0,0.8,3750,False
MostFrequentLocation(hl=24h),0.2,age_binned,72h+,1202,1202,1.0,1.0,0.8,565,False
MostFrequentLocation(hl=24h),0.3,global,0-6h,4947,4246,0.858298,0.981448,0.7,6132,
MostFrequentLocation(hl=24h),0.3,global,6-24h,11660,7837,0.672127,0.981448,0.7,12053,
MostFrequentLocation(hl=24h),0.3,global,24-72h,4691,1905,0.406097,0.981448,0.7,3750,
MostFrequentLocation(hl=24h),0.3,global,72h+,1202,444,0.369384,0.981448,0.7,565,
MostFrequentLocation(hl=24h),0.3,age_binned,0-6h,4947,3557,0.719022,0.435252,0.7,6132,False
MostFrequentLocation(hl=24h),0.3,age_binned,6-24h,11660,7444,0.638422,0.94824,0.7,12053,False
MostFrequentLocation(hl=24h),0.3,age_binned,24-72h,4691,4691,1.0,1.0,0.7,3750,False
MostFrequentLocation(hl=24h),0.3,age_binned,72h+,1202,1202,1.0,1.0,0.7,565,False
MostFrequentLocation(hl=24h),0.4,global,0-6h,4947,3898,0.787952,0.5,0.6,6132,
MostFrequentLocation(hl=24h),0.4,global,6-24h,11660,6920,0.593482,0.5,0.6,12053,
MostFrequentLocation(hl=24h),0.4,global,24-72h,4691,1848,0.393946,0.5,0.6,3750,
MostFrequentLocation(hl=24h),0.4,global,72h+,1202,444,0.369384,0.5,0.6,565,
MostFrequentLocation(hl=24h),0.4,age_binned,0-6h,4947,3052,0.61694,0.325922,0.6,6132,False
MostFrequentLocation(hl=24h),0.4,age_binned,6-24h,11660,6588,0.565009,0.448533,0.6,12053,False
MostFrequentLocation(hl=24h),0.4,age_binned,24-72h,4691,4691,1.0,1.0,0.6,3750,False
MostFrequentLocation(hl=24h),0.4,age_binned,72h+,1202,1202,1.0,1.0,0.6,565,False
MostFrequentLocation(hl=24h),0.5,global,0-6h,4947,3348,0.676774,0.389263,0.5,6132,
MostFrequentLocation(hl=24h),0.5,global,6-24h,11660,6177,0.52976,0.389263,0.5,12053,
MostFrequentLocation(hl=24h),0.5,global,24-72h,4691,685,0.146024,0.389263,0.5,3750,
MostFrequentLocation(hl=24h),0.5,global,72h+,1202,0,0.0,0.389263,0.5,565,
MostFrequentLocation(hl=24h),0.5,age_binned,0-6h,4947,2601,0.525773,0.237191,0.5,6132,False
MostFrequentLocation(hl=24h),0.5,age_binned,6-24h,11660,5467,0.468868,0.290744,0.5,12053,False
MostFrequentLocation(hl=24h),0.5,age_binned,24-72h,4691,4691,1.0,1.0,0.5,3750,False
MostFrequentLocation(hl=24h),0.5,age_binned,72h+,1202,1202,1.0,1.0,0.5,565,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.02,global,0-6h,4947,4947,1.0,1.0,0.98,6132,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.02,global,6-24h,11660,11660,1.0,1.0,0.98,12053,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.02,global,24-72h,4691,4691,1.0,1.0,0.98,3750,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.02,global,72h+,1202,1202,1.0,1.0,0.98,565,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.02,age_binned,0-6h,4947,4947,1.0,1.0,0.98,6132,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.02,age_binned,6-24h,11660,11660,1.0,1.0,0.98,12053,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.02,age_binned,24-72h,4691,4691,1.0,1.0,0.98,3750,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.02,age_binned,72h+,1202,1202,1.0,1.0,0.98,565,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.05,global,0-6h,4947,4947,1.0,1.0,0.95,6132,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.05,global,6-24h,11660,11660,1.0,1.0,0.95,12053,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.05,global,24-72h,4691,4691,1.0,1.0,0.95,3750,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.05,global,72h+,1202,1202,1.0,1.0,0.95,565,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.05,age_binned,0-6h,4947,4947,1.0,1.0,0.95,6132,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.05,age_binned,6-24h,11660,11660,1.0,1.0,0.95,12053,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.05,age_binned,24-72h,4691,4691,1.0,1.0,0.95,3750,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.05,age_binned,72h+,1202,1202,1.0,1.0,0.95,565,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.1,global,0-6h,4947,4947,1.0,1.0,0.9,6132,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.1,global,6-24h,11660,11660,1.0,1.0,0.9,12053,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.1,global,24-72h,4691,4691,1.0,1.0,0.9,3750,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.1,global,72h+,1202,1202,1.0,1.0,0.9,565,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.1,age_binned,0-6h,4947,4947,1.0,1.0,0.9,6132,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.1,age_binned,6-24h,11660,11660,1.0,1.0,0.9,12053,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.1,age_binned,24-72h,4691,4691,1.0,1.0,0.9,3750,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.1,age_binned,72h+,1202,1202,1.0,1.0,0.9,565,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.2,global,0-6h,4947,4947,1.0,1.0,0.8,6132,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.2,global,6-24h,11660,11660,1.0,1.0,0.8,12053,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.2,global,24-72h,4691,4691,1.0,1.0,0.8,3750,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.2,global,72h+,1202,1202,1.0,1.0,0.8,565,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.2,age_binned,0-6h,4947,3907,0.789772,0.952381,0.8,6132,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.2,age_binned,6-24h,11660,11660,1.0,1.0,0.8,12053,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.2,age_binned,24-72h,4691,4691,1.0,1.0,0.8,3750,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.2,age_binned,72h+,1202,1202,1.0,1.0,0.8,565,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.3,global,0-6h,4947,4192,0.847382,0.999995,0.7,6132,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.3,global,6-24h,11660,8253,0.707804,0.999995,0.7,12053,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.3,global,24-72h,4691,1924,0.410147,0.999995,0.7,3750,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.3,global,72h+,1202,444,0.369384,0.999995,0.7,565,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.3,age_binned,0-6h,4947,3642,0.736204,0.597059,0.7,6132,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.3,age_binned,6-24h,11660,7546,0.64717,0.977379,0.7,12053,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.3,age_binned,24-72h,4691,4691,1.0,1.0,0.7,3750,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.3,age_binned,72h+,1202,1202,1.0,1.0,0.7,565,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.4,global,0-6h,4947,3715,0.75096,0.875,0.6,6132,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.4,global,6-24h,11660,6752,0.579074,0.875,0.6,12053,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.4,global,24-72h,4691,1850,0.394372,0.875,0.6,3750,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.4,global,72h+,1202,444,0.369384,0.875,0.6,565,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.4,age_binned,0-6h,4947,3099,0.62644,0.371911,0.6,6132,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.4,age_binned,6-24h,11660,6568,0.563293,0.8,0.6,12053,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.4,age_binned,24-72h,4691,4691,1.0,1.0,0.6,3750,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.4,age_binned,72h+,1202,1202,1.0,1.0,0.6,565,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.5,global,0-6h,4947,3520,0.711542,0.5,0.5,6132,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.5,global,6-24h,11660,6211,0.532676,0.5,0.5,12053,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.5,global,24-72h,4691,1773,0.377958,0.5,0.5,3750,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.5,global,72h+,1202,444,0.369384,0.5,0.5,565,
"TimetableLookup(bin=1h,days=all,hl=24h)",0.5,age_binned,0-6h,4947,2519,0.509197,0.192107,0.5,6132,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.5,age_binned,6-24h,11660,5718,0.490395,0.40838,0.5,12053,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.5,age_binned,24-72h,4691,4691,1.0,1.0,0.5,3750,False
"TimetableLookup(bin=1h,days=all,hl=24h)",0.5,age_binned,72h+,1202,1202,1.0,1.0,0.5,565,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.02,global,0-6h,4947,4947,1.0,1.0,0.98,6132,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.02,global,6-24h,11660,11660,1.0,1.0,0.98,12053,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.02,global,24-72h,4691,4691,1.0,1.0,0.98,3750,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.02,global,72h+,1202,1202,1.0,1.0,0.98,565,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.02,age_binned,0-6h,4947,4947,1.0,1.0,0.98,6132,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.02,age_binned,6-24h,11660,11660,1.0,1.0,0.98,12053,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.02,age_binned,24-72h,4691,4691,1.0,1.0,0.98,3750,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.02,age_binned,72h+,1202,1202,1.0,1.0,0.98,565,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.05,global,0-6h,4947,4947,1.0,1.0,0.95,6132,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.05,global,6-24h,11660,11660,1.0,1.0,0.95,12053,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.05,global,24-72h,4691,4691,1.0,1.0,0.95,3750,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.05,global,72h+,1202,1202,1.0,1.0,0.95,565,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.05,age_binned,0-6h,4947,4947,1.0,1.0,0.95,6132,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.05,age_binned,6-24h,11660,11660,1.0,1.0,0.95,12053,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.05,age_binned,24-72h,4691,4691,1.0,1.0,0.95,3750,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.05,age_binned,72h+,1202,1202,1.0,1.0,0.95,565,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.1,global,0-6h,4947,4947,1.0,1.0,0.9,6132,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.1,global,6-24h,11660,11660,1.0,1.0,0.9,12053,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.1,global,24-72h,4691,4691,1.0,1.0,0.9,3750,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.1,global,72h+,1202,1202,1.0,1.0,0.9,565,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.1,age_binned,0-6h,4947,4947,1.0,1.0,0.9,6132,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.1,age_binned,6-24h,11660,11660,1.0,1.0,0.9,12053,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.1,age_binned,24-72h,4691,4691,1.0,1.0,0.9,3750,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.1,age_binned,72h+,1202,1202,1.0,1.0,0.9,565,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.2,global,0-6h,4947,4947,1.0,1.0,0.8,6132,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.2,global,6-24h,11660,11660,1.0,1.0,0.8,12053,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.2,global,24-72h,4691,4691,1.0,1.0,0.8,3750,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.2,global,72h+,1202,1202,1.0,1.0,0.8,565,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.2,age_binned,0-6h,4947,3938,0.796038,0.103644,0.8,6132,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.2,age_binned,6-24h,11660,11660,1.0,1.0,0.8,12053,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.2,age_binned,24-72h,4691,4691,1.0,1.0,0.8,3750,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.2,age_binned,72h+,1202,1202,1.0,1.0,0.8,565,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.3,global,0-6h,4947,4237,0.856479,0.998081,0.7,6132,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.3,global,6-24h,11660,7922,0.679417,0.998081,0.7,12053,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.3,global,24-72h,4691,1912,0.407589,0.998081,0.7,3750,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.3,global,72h+,1202,444,0.369384,0.998081,0.7,565,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.3,age_binned,0-6h,4947,3547,0.717,0.037024,0.7,6132,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.3,age_binned,6-24h,11660,7423,0.636621,0.983485,0.7,12053,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.3,age_binned,24-72h,4691,4691,1.0,1.0,0.7,3750,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.3,age_binned,72h+,1202,1202,1.0,1.0,0.7,565,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.4,global,0-6h,4947,4084,0.825551,0.5,0.6,6132,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.4,global,6-24h,11660,7045,0.604202,0.5,0.6,12053,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.4,global,24-72h,4691,1850,0.394372,0.5,0.6,3750,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.4,global,72h+,1202,444,0.369384,0.5,0.6,565,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.4,age_binned,0-6h,4947,3134,0.633515,0.017681,0.6,6132,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.4,age_binned,6-24h,11660,6555,0.562178,0.216223,0.6,12053,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.4,age_binned,24-72h,4691,4691,1.0,1.0,0.6,3750,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.4,age_binned,72h+,1202,1202,1.0,1.0,0.6,565,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.5,global,0-6h,4947,3918,0.791995,0.09464,0.5,6132,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.5,global,6-24h,11660,5725,0.490995,0.09464,0.5,12053,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.5,global,24-72h,4691,569,0.121296,0.09464,0.5,3750,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.5,global,72h+,1202,0,0.0,0.09464,0.5,565,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.5,age_binned,0-6h,4947,2590,0.52355,0.006687,0.5,6132,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.5,age_binned,6-24h,11660,5746,0.492796,0.09682,0.5,12053,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.5,age_binned,24-72h,4691,4691,1.0,1.0,0.5,3750,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.5,age_binned,72h+,1202,1202,1.0,1.0,0.5,565,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.02,global,0-6h,4947,4947,1.0,1.0,0.98,6132,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.02,global,6-24h,11660,11660,1.0,1.0,0.98,12053,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.02,global,24-72h,4691,4691,1.0,1.0,0.98,3750,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.02,global,72h+,1202,1202,1.0,1.0,0.98,565,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.02,age_binned,0-6h,4947,4947,1.0,1.0,0.98,6132,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.02,age_binned,6-24h,11660,11660,1.0,1.0,0.98,12053,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.02,age_binned,24-72h,4691,4691,1.0,1.0,0.98,3750,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.02,age_binned,72h+,1202,1202,1.0,1.0,0.98,565,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.05,global,0-6h,4947,4947,1.0,1.0,0.95,6132,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.05,global,6-24h,11660,11660,1.0,1.0,0.95,12053,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.05,global,24-72h,4691,4691,1.0,1.0,0.95,3750,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.05,global,72h+,1202,1202,1.0,1.0,0.95,565,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.05,age_binned,0-6h,4947,4947,1.0,1.0,0.95,6132,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.05,age_binned,6-24h,11660,11660,1.0,1.0,0.95,12053,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.05,age_binned,24-72h,4691,4691,1.0,1.0,0.95,3750,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.05,age_binned,72h+,1202,1202,1.0,1.0,0.95,565,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.1,global,0-6h,4947,4947,1.0,1.0,0.9,6132,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.1,global,6-24h,11660,11660,1.0,1.0,0.9,12053,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.1,global,24-72h,4691,4691,1.0,1.0,0.9,3750,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.1,global,72h+,1202,1202,1.0,1.0,0.9,565,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.1,age_binned,0-6h,4947,4364,0.882151,0.993544,0.9,6132,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.1,age_binned,6-24h,11660,11660,1.0,1.0,0.9,12053,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.1,age_binned,24-72h,4691,4691,1.0,1.0,0.9,3750,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.1,age_binned,72h+,1202,1202,1.0,1.0,0.9,565,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.2,global,0-6h,4947,4947,1.0,1.0,0.8,6132,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.2,global,6-24h,11660,11660,1.0,1.0,0.8,12053,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.2,global,24-72h,4691,4691,1.0,1.0,0.8,3750,
